Activity Date	Activity Name	Distance (mi)	Moving Time	Elapsed Time	Avg Pace (min/mi)	Elevation Gain (ft)	Notes
2025-08-22	Morning Run - Cylburn Arboretum Perimeter	4.57	00:46:32	00:49:02	10:11	72	
2025-08-23	Morning Run - Hampden North Baltimore Streets	3.29	00:34:29	00:36:23	10:29	80	felt strong
2025-08-25	Morning Run - Druid Hill Park Inner and Outer Loop	4.8	00:58:14	00:58:53	12:08	86	
2025-08-27	Morning Run - Charles Village South Loop	3.31	00:38:07	00:40:48	11:31	28	
2025-08-29	Morning Run - Greenway Trail North	3.84	00:40:42	00:43:24	10:36	74	
2025-08-30	Morning Run - Wyman Park Dell Loop	3.9	00:39:03	00:40:25	10:01	62	windy
2025-09-01	Morning Run - Druid Hill Park Outer Loop	4.36	00:44:58	00:45:35	10:19	58	
2025-09-03	Morning Run - Charles Village Streets North	3.12	00:35:59	00:36:52	11:32	56	windy
2025-09-05	Morning Run - Stony Run Trail Out and Back	3.93	00:40:28	00:41:37	10:18	91	windy
2025-09-06	Morning Run - Roland Park Loop via University Pkwy	4.37	00:50:32	00:53:05	11:34	88	
2025-09-08	Morning Run - Cylburn Arboretum Perimeter	4.76	00:56:57	00:58:01	11:58	36	
2025-09-10	Morning Run - Hampden North Baltimore Streets	3.85	00:46:00	00:47:38	11:57	28	
2025-09-12	Morning Run - Druid Hill Park Inner and Outer Loop	4.16	00:52:24	00:54:59	12:36	47	
2025-09-13	Morning Run - Charles Village South Loop	3.7	00:44:49	00:46:55	12:07	86	felt strong
2025-09-15	Morning Run - Greenway Trail North	4.87	00:52:40	00:55:36	10:49	77	
2025-09-17	Morning Run - Wyman Park Dell Loop	3.18	00:37:34	00:39:41	11:49	77	windy
2025-09-19	Morning Run - Druid Hill Park Outer Loop	4.27	00:44:33	00:47:09	10:26	32	
2025-09-20	Morning Run - Charles Village Streets North	3.7	00:37:48	00:40:10	10:13	40	
2025-09-22	Morning Run - Stony Run Trail Out and Back	3.84	00:48:19	00:49:28	12:35	37	
2025-09-24	Morning Run - Roland Park Loop via University Pkwy	3.71	00:42:36	00:43:26	11:29	70	windy
2025-09-26	Morning Run - Cylburn Arboretum Perimeter	3.78	00:42:08	00:44:42	11:09	32	
2025-09-27	Morning Run - Hampden North Baltimore Streets	4.33	00:47:42	00:49:10	11:01	39	
2025-09-29	Morning Run - Druid Hill Park Inner and Outer Loop	4.67	00:54:33	00:55:45	11:41	66	windy
2025-10-03	Morning Run - Charles Village South Loop	3.63	00:41:19	00:43:39	11:23	46	
2025-10-04	Morning Run - Greenway Trail North	4.33	00:45:45	00:46:58	10:34	50	windy
2025-10-06	Morning Run - Wyman Park Dell Loop	3.53	00:43:21	00:44:27	12:17	57	
2025-10-08	Morning Run - Druid Hill Park Outer Loop	3.56	00:35:00	00:37:29	9:50	64	
2025-10-10	Morning Run - Charles Village Streets North	3.9	00:43:56	00:46:56	11:16	66	
2025-10-11	Morning Run - Stony Run Trail Out and Back	3.55	00:39:20	00:40:40	11:05	77	felt strong
2025-10-13	Morning Run - Roland Park Loop via University Pkwy	3.79	00:42:53	00:45:50	11:19	65	windy
2025-10-15	Morning Run - Cylburn Arboretum Perimeter	4.86	01:01:14	01:03:25	12:36	63	
2025-10-17	Morning Run - Hampden North Baltimore Streets	4.5	00:45:00	00:47:37	10:00	64	
2025-10-18	Morning Run - Druid Hill Park Inner and Outer Loop	4.54	00:48:43	00:50:01	10:44	60	felt strong
2025-10-20	Morning Run - Charles Village South Loop	4.29	00:44:32	00:45:26	10:23	33	
2025-10-22	Morning Run - Greenway Trail North	4.14	00:42:50	00:43:43	10:21	65	
2025-10-24	Morning Run - Wyman Park Dell Loop	3.46	00:41:51	00:43:54	12:06	95	
2025-10-25	Morning Run - Druid Hill Park Outer Loop	3.4	00:40:17	00:42:02	11:51	71	felt strong
2025-10-27	Morning Run - Charles Village Streets North	3.24	00:34:49	00:37:00	10:45	74	
2025-10-29	Morning Run - Stony Run Trail Out and Back	3.58	00:36:56	00:39:22	10:19	75	
2025-10-31	Morning Run - Roland Park Loop via University Pkwy	4.15	00:51:56	00:54:01	12:31	41	
2025-11-01	Morning Run - Cylburn Arboretum Perimeter	4.22	00:51:24	00:53:17	12:11	56	felt strong
2025-11-03	Morning Run - Hampden North Baltimore Streets	3.94	00:43:40	00:45:54	11:05	42	
2025-11-05	Morning Run - Druid Hill Park Inner and Outer Loop	3.65	00:43:26	00:44:25	11:54	40	
2025-11-07	Morning Run - Charles Village South Loop	3.8	00:43:11	00:45:59	11:22	81	
2025-11-08	Morning Run - Greenway Trail North	4.69	00:59:00	00:59:55	12:35	90	felt strong
2025-11-10	Morning Run - Wyman Park Dell Loop	3.6	00:40:55	00:42:20	11:22	84	
2025-11-12	Morning Run - Druid Hill Park Outer Loop	3.75	00:42:37	00:45:26	11:22	73	
2025-11-14	Morning Run - Charles Village Streets North	4.84	00:56:47	00:57:40	11:44	55	
2025-11-15	Morning Run - Stony Run Trail Out and Back	3.14	00:35:13	00:36:45	11:13	44	felt strong
2025-11-17	Morning Run - Roland Park Loop via University Pkwy	4.59	00:55:46	00:57:09	12:09	55	
2025-11-19	Morning Run - Cylburn Arboretum Perimeter	4.49	00:55:22	00:55:52	12:20	63	windy
2025-11-21	Morning Run - Hampden North Baltimore Streets	3.33	00:36:11	00:37:25	10:52	42	
2025-11-26	Morning Run - Druid Hill Park Inner and Outer Loop	3.53	00:39:25	00:39:59	11:10	50	
2025-11-28	Morning Run - Charles Village South Loop	3.86	00:39:41	00:40:27	10:17	88	
2025-11-29	Morning Run - Greenway Trail North	4.17	00:48:51	00:51:29	11:43	56	felt strong
2025-12-03	Morning Run - Wyman Park Dell Loop	4.66	00:55:59	00:57:46	12:01	86	
2025-12-06	Morning Run - Druid Hill Park Outer Loop	4.63	00:53:47	00:54:44	11:37	90	felt strong
2025-12-08	Morning Run - Charles Village Streets North	4.72	00:52:42	00:53:49	11:10	36	
2025-12-10	Morning Run - Stony Run Trail Out and Back	4.15	00:46:24	00:48:31	11:11	95	
2025-12-12	Morning Run - Roland Park Loop via University Pkwy	3.87	00:39:47	00:42:38	10:17	55	
2025-12-13	Morning Run - Cylburn Arboretum Perimeter	3.84	00:45:03	00:47:15	11:44	81	felt strong
2025-12-15	Morning Run - Hampden North Baltimore Streets	3.66	00:39:49	00:41:54	10:53	47	
2025-12-17	Morning Run - Druid Hill Park Inner and Outer Loop	3.26	00:33:05	00:33:58	10:09	83	
2025-12-19	Morning Run - Charles Village South Loop	4.56	00:55:28	00:56:13	12:10	70	
2025-12-20	Morning Run - Greenway Trail North	4.67	00:54:10	00:54:53	11:36	64	felt strong
2025-12-22	Morning Run - Wyman Park Dell Loop	4.14	00:44:17	00:45:26	10:42	89	
2025-12-24	Morning Run - Druid Hill Park Outer Loop	4.62	00:52:30	00:53:29	11:22	63	
2025-12-26	Morning Run - Charles Village Streets North	4.62	00:57:31	01:00:23	12:27	31	
2025-12-27	Morning Run - Stony Run Trail Out and Back	4.35	00:43:08	00:44:24	9:55	62	felt strong
2025-12-29	Morning Run - Roland Park Loop via University Pkwy	3.71	00:36:25	00:37:41	9:49	46	
2025-12-31	Morning Run - Cylburn Arboretum Perimeter	3.36	00:42:00	00:42:37	12:30	39	
