Track	Artist	Album	Genre	Duration	Play Date	Play Time (ET)
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-01-07	20:28
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-01-07	20:42
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-01-07	20:47
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-01-08	20:20
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-01-08	20:29
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-01-08	20:43
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-01-08	20:59
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-01-08	21:05
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-01-08	21:15
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-01-08	21:28
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-01-09	20:13
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-01-09	20:28
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-01-09	20:34
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-01-09	20:45
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-01-09	20:59
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-01-09	21:13
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-01-09	21:19
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-01-10	20:18
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-01-10	20:26
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-01-10	20:40
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-01-10	20:48
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-01-10	20:55
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-01-10	21:00
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-01-10	21:04
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-01-11	20:13
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-01-11	20:28
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-01-12	20:14
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-01-12	20:27
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-01-13	20:04
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-01-13	20:08
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-01-14	20:18
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-01-14	20:28
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-01-14	20:36
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-01-14	20:39
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-01-15	20:15
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-01-15	20:26
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-01-15	20:42
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-01-16	20:06
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-01-16	20:21
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-01-16	20:30
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-01-16	20:44
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-01-16	20:58
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-01-16	21:05
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-01-16	21:18
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-01-17	20:18
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-01-17	20:26
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-01-17	20:38
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-01-17	20:47
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-01-17	21:00
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-01-18	20:10
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-01-18	20:20
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-01-19	20:01
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-01-19	20:14
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-01-19	20:20
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-01-19	20:30
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-01-19	20:39
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-01-19	20:42
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-01-19	20:53
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-01-19	20:58
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-01-20	20:03
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-01-20	20:19
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-01-21	20:09
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-01-21	20:16
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-01-21	20:24
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-01-21	20:28
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-01-22	20:18
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-01-22	20:27
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-01-22	20:35
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-01-22	20:42
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-01-22	20:57
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-01-23	20:28
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-01-23	20:42
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-01-23	20:45
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-01-24	20:04
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-01-24	20:14
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-01-24	20:18
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-01-24	20:25
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-01-24	20:28
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-01-24	20:41
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-01-24	20:52
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-01-25	20:12
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-01-25	20:28
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-01-25	20:31
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-01-25	20:43
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-01-25	20:54
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-01-25	21:05
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-01-26	20:30
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-01-26	20:37
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-01-26	20:41
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-01-27	20:05
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-01-27	20:09
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-01-28	20:27
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-01-28	20:35
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-01-28	20:40
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-01-28	20:55
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-01-29	20:09
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-01-29	20:18
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-01-30	20:04
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-01-30	20:14
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-01-30	20:17
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-01-30	20:20
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-01-31	20:10
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-01-31	20:16
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-01-31	20:25
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-01-31	20:41
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-02-01	20:04
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-02-01	20:16
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-02-01	20:26
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-02-01	20:41
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-02-02	20:26
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-02-02	20:29
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-02-02	20:32
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-02-02	20:48
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-02-02	20:53
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-02-03	20:18
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-02-03	20:25
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-02-04	20:16
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-02-04	20:22
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-02-04	20:25
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-02-04	20:28
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-02-04	20:35
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-02-04	20:48
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-02-05	20:13
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-02-05	20:19
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-02-05	20:22
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-02-05	20:28
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-02-05	20:39
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-02-05	20:42
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-02-06	20:29
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-02-06	20:42
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-02-06	20:54
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-02-06	21:05
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-02-06	21:11
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-02-06	21:25
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-02-06	21:29
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-02-06	21:34
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-02-07	20:26
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-02-07	20:39
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-02-07	20:53
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-02-07	21:06
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-02-08	20:08
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-02-08	20:13
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-02-09	20:01
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-02-09	20:14
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-02-10	20:16
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-02-10	20:31
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-02-10	20:39
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-02-10	20:51
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-02-10	21:01
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-02-10	21:12
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-02-10	21:16
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-02-11	20:10
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-02-11	20:23
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-02-11	20:29
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-02-11	20:38
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-02-12	20:15
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-02-12	20:22
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-02-12	20:36
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-02-12	20:45
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-02-12	20:55
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-02-12	21:09
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-02-12	21:13
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-02-12	21:19
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-02-13	20:10
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-02-13	20:26
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-02-13	20:32
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-02-13	20:43
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-02-13	20:46
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-02-13	20:59
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-02-14	20:20
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-02-14	20:24
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-02-15	20:06
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-02-15	20:11
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-02-15	20:16
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-02-15	20:19
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-02-15	20:25
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-02-15	20:37
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-02-15	20:50
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-02-16	20:25
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-02-16	20:41
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-02-17	20:01
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-02-17	20:13
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-02-18	20:16
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-02-18	20:20
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-02-18	20:27
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-02-18	20:34
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-02-18	20:41
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-02-18	20:56
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-02-18	21:10
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-02-18	21:19
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-02-19	20:22
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-02-19	20:26
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-02-19	20:31
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-02-19	20:47
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-02-19	21:02
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-02-19	21:07
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-02-19	21:19
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-02-20	20:15
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-02-20	20:27
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-02-21	20:28
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-02-21	20:39
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-02-21	20:44
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-02-21	20:50
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-02-21	20:58
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-02-21	21:02
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-02-21	21:16
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-02-22	20:03
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-02-22	20:13
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-02-22	20:22
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-02-22	20:36
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-02-22	20:49
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-02-22	20:54
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-02-22	21:02
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-02-23	20:00
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-02-23	20:08
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-02-23	20:23
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-02-23	20:37
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-02-23	20:41
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-02-24	20:18
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-02-24	20:31
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-02-24	20:34
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-02-25	20:15
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-02-25	20:26
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-02-26	20:19
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-02-26	20:34
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-02-26	20:43
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-02-27	20:12
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-02-27	20:16
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-02-27	20:22
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-02-27	20:27
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-02-27	20:30
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-02-28	20:17
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-02-28	20:31
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-02-29	20:28
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-02-29	20:31
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-02-29	20:45
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-03-01	20:13
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-03-01	20:23
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-03-01	20:32
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-03-02	20:06
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-03-02	20:15
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-03-02	20:25
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-03-02	20:34
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-03-03	20:12
