name,up,apps,sources,cpu_pct,mem_pct,last_reported
nnu-db-05.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,43,54,2025-08-13T22:33:00Z
nnu-web-05.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,50,65,2025-08-13T22:30:00Z
nnu-ci-05.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,57,76,2025-08-13T22:27:00Z
nnu-gh-sensor-05.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,64,37,2025-08-13T22:24:00Z
nnu-cache-05.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,71,48,2025-08-13T22:21:00Z
nnu-proxy-05.nnu-crop.edu.ng,False,nginx|systemd|proxy,agent|azure|prometheus,78,59,2025-08-13T22:18:00Z
nnu-portal-06.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,25,70,2025-08-13T22:15:00Z
nnu-db-06.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,32,81,2025-08-13T22:12:00Z
nnu-web-06.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,39,42,2025-08-13T22:09:00Z
nnu-ci-06.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,46,53,2025-08-13T22:06:00Z
nnu-gh-sensor-06.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,53,64,2025-08-13T22:03:00Z
nnu-cache-06.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,60,75,2025-08-13T22:00:00Z
nnu-proxy-06.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,67,36,2025-08-13T21:57:00Z
nnu-portal-07.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,74,47,2025-08-13T21:54:00Z
nnu-db-07.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,21,58,2025-08-13T21:51:00Z
nnu-web-07.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,28,69,2025-08-13T21:48:00Z
nnu-ci-07.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,35,80,2025-08-13T21:45:00Z
nnu-gh-sensor-07.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,42,41,2025-08-13T21:42:00Z
nnu-cache-07.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,49,52,2025-08-13T21:39:00Z
nnu-proxy-07.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,56,63,2025-08-13T21:36:00Z
nnu-portal-08.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,63,74,2025-08-13T21:33:00Z
nnu-db-08.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,70,35,2025-08-13T21:30:00Z
nnu-web-08.nnu-crop.edu.ng,False,nginx|systemd|web,agent|azure|prometheus,77,46,2025-08-13T21:27:00Z
nnu-ci-08.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,24,57,2025-08-13T21:24:00Z
nnu-gh-sensor-08.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,31,68,2025-08-13T21:21:00Z
nnu-cache-08.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,38,79,2025-08-13T21:18:00Z
nnu-proxy-08.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,45,40,2025-08-13T21:15:00Z
nnu-portal-09.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,52,51,2025-08-13T21:12:00Z
nnu-db-09.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,59,62,2025-08-13T21:09:00Z
nnu-web-09.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,66,73,2025-08-13T21:06:00Z
nnu-ci-09.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,73,84,2025-08-13T21:03:00Z
nnu-gh-sensor-09.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,20,45,2025-08-13T21:00:00Z
nnu-cache-09.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,27,56,2025-08-13T20:57:00Z
nnu-proxy-09.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,34,67,2025-08-13T20:54:00Z
nnu-portal-10.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,41,78,2025-08-13T20:51:00Z
nnu-db-10.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,48,39,2025-08-13T20:48:00Z
nnu-web-10.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,55,50,2025-08-13T20:45:00Z
nnu-ci-10.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,62,61,2025-08-13T20:42:00Z
nnu-gh-sensor-10.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,69,72,2025-08-13T20:39:00Z
nnu-cache-10.nnu-crop.edu.ng,False,nginx|systemd|cache,agent|azure|prometheus,76,83,2025-08-13T20:36:00Z
nnu-proxy-10.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,23,44,2025-08-13T20:33:00Z
nnu-portal-11.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,30,55,2025-08-13T20:30:00Z
nnu-db-11.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,37,66,2025-08-13T20:27:00Z
nnu-web-11.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,44,77,2025-08-13T20:24:00Z
nnu-ci-11.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,51,38,2025-08-13T20:21:00Z
nnu-gh-sensor-11.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,58,49,2025-08-13T20:18:00Z
nnu-cache-11.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,65,60,2025-08-13T20:15:00Z
nnu-proxy-11.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,72,71,2025-08-13T20:12:00Z
nnu-portal-12.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,79,82,2025-08-13T20:09:00Z
nnu-db-12.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,26,43,2025-08-13T20:06:00Z
nnu-web-12.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,33,54,2025-08-13T20:03:00Z
nnu-ci-12.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,40,65,2025-08-13T20:00:00Z
nnu-gh-sensor-12.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,47,76,2025-08-13T19:57:00Z
nnu-cache-12.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,54,37,2025-08-13T19:54:00Z
nnu-proxy-12.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,61,48,2025-08-13T19:51:00Z
nnu-portal-13.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,68,59,2025-08-13T19:48:00Z
nnu-db-13.nnu-crop.edu.ng,False,nginx|systemd|db,agent|azure|prometheus,75,70,2025-08-13T19:45:00Z
nnu-web-13.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,22,81,2025-08-13T19:42:00Z
nnu-ci-13.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,29,42,2025-08-13T19:39:00Z
nnu-gh-sensor-13.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,36,53,2025-08-13T19:36:00Z
nnu-cache-13.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,43,64,2025-08-13T19:33:00Z
nnu-proxy-13.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,50,75,2025-08-13T19:30:00Z
nnu-portal-14.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,57,36,2025-08-13T19:27:00Z
nnu-db-14.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,64,47,2025-08-13T19:24:00Z
nnu-web-14.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,71,58,2025-08-13T19:21:00Z
nnu-ci-14.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,78,69,2025-08-13T19:18:00Z
nnu-gh-sensor-14.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,25,80,2025-08-13T19:15:00Z
nnu-cache-14.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,32,41,2025-08-13T19:12:00Z
nnu-proxy-14.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,39,52,2025-08-13T19:09:00Z
nnu-portal-15.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,46,63,2025-08-13T19:06:00Z
nnu-db-15.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,53,74,2025-08-13T19:03:00Z
nnu-web-15.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,60,35,2025-08-13T19:00:00Z
nnu-ci-15.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,67,46,2025-08-13T18:57:00Z
nnu-gh-sensor-15.nnu-crop.edu.ng,False,nginx|systemd|gh-sensor,agent|azure|prometheus,74,57,2025-08-13T18:54:00Z
nnu-cache-15.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,21,68,2025-08-13T18:51:00Z
nnu-proxy-15.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,28,79,2025-08-13T18:48:00Z
