id,name,type,query,message,overall_state,priority,tags,created,modified
30011,[NNU] cache.hits elevated on db,metric alert,avg(last_5m):avg:cache.hits{env:prod} > 81,Alerting on cache.hits. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.hits,OK,2,env:prod|service:waita,2024-01-12T00:00:00Z,2025-08-03T00:00:00Z
30012,[NNU] cache.misses elevated on web,metric alert,avg(last_5m):avg:cache.misses{env:prod} > 82,Alerting on cache.misses. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.misses,OK,3,env:prod|service:portal,2024-01-13T00:00:00Z,2025-08-02T00:00:00Z
30013,[NNU] cpu.user elevated on ci,metric alert,avg(last_5m):avg:cpu.user{env:prod} > 83,Alerting on cpu.user. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.user,OK,4,env:prod|service:db,2024-01-14T00:00:00Z,2025-08-01T00:00:00Z
30014,[NNU] cpu.system elevated on gh-sensor,metric alert,avg(last_5m):avg:cpu.system{env:prod} > 84,Alerting on cpu.system. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.system,OK,5,env:prod|service:gh-sensor,2024-01-15T00:00:00Z,2025-07-31T00:00:00Z
30015,[NNU] memory.used elevated on portal,metric alert,avg(last_5m):avg:memory.used{env:prod} > 85,Alerting on memory.used. Runbook: https://wiki.nnu-crop.edu.ng/runbook/memory.used,Warn,1,env:prod|service:esfes,2024-01-16T00:00:00Z,2025-07-30T00:00:00Z
30016,[NNU] disk.read elevated on db,metric alert,avg(last_5m):avg:disk.read{env:prod} > 86,Alerting on disk.read. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.read,Alert,2,env:prod|service:waita,2024-01-17T00:00:00Z,2025-07-29T00:00:00Z
30017,[NNU] disk.write elevated on web,metric alert,avg(last_5m):avg:disk.write{env:prod} > 87,Alerting on disk.write. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.write,OK,3,env:prod|service:portal,2024-01-18T00:00:00Z,2025-07-28T00:00:00Z
30018,[NNU] net.rx elevated on ci,metric alert,avg(last_5m):avg:net.rx{env:prod} > 88,Alerting on net.rx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.rx,OK,4,env:prod|service:db,2024-01-19T00:00:00Z,2025-07-27T00:00:00Z
30019,[NNU] net.tx elevated on gh-sensor,metric alert,avg(last_5m):avg:net.tx{env:prod} > 89,Alerting on net.tx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.tx,OK,5,env:prod|service:gh-sensor,2024-01-20T00:00:00Z,2025-07-26T00:00:00Z
30020,[NNU] http.request.count elevated on portal,metric alert,avg(last_5m):avg:http.request.count{env:prod} > 70,Alerting on http.request.count. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.count,OK,1,env:prod|service:esfes,2024-01-21T00:00:00Z,2025-07-25T00:00:00Z
30021,[NNU] http.request.latency elevated on db,metric alert,avg(last_5m):avg:http.request.latency{env:prod} > 71,Alerting on http.request.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.latency,Warn,2,env:prod|service:waita,2024-01-22T00:00:00Z,2025-07-24T00:00:00Z
30022,[NNU] db.connections elevated on web,metric alert,avg(last_5m):avg:db.connections{env:prod} > 72,Alerting on db.connections. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.connections,Alert,3,env:prod|service:portal,2024-01-23T00:00:00Z,2025-07-23T00:00:00Z
30023,[NNU] db.query.latency elevated on ci,metric alert,avg(last_5m):avg:db.query.latency{env:prod} > 73,Alerting on db.query.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.query.latency,OK,4,env:prod|service:db,2024-01-24T00:00:00Z,2025-07-22T00:00:00Z
30024,[NNU] cache.hits elevated on gh-sensor,metric alert,avg(last_5m):avg:cache.hits{env:prod} > 74,Alerting on cache.hits. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.hits,OK,5,env:prod|service:gh-sensor,2024-01-25T00:00:00Z,2025-07-21T00:00:00Z
30025,[NNU] cache.misses elevated on portal,metric alert,avg(last_5m):avg:cache.misses{env:prod} > 75,Alerting on cache.misses. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.misses,OK,1,env:prod|service:esfes,2024-01-26T00:00:00Z,2025-07-20T00:00:00Z
30026,[NNU] cpu.user elevated on db,metric alert,avg(last_5m):avg:cpu.user{env:prod} > 76,Alerting on cpu.user. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.user,OK,2,env:prod|service:waita,2024-01-27T00:00:00Z,2025-07-19T00:00:00Z
30027,[NNU] cpu.system elevated on web,metric alert,avg(last_5m):avg:cpu.system{env:prod} > 77,Alerting on cpu.system. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.system,Warn,3,env:prod|service:portal,2024-01-28T00:00:00Z,2025-07-18T00:00:00Z
30028,[NNU] memory.used elevated on ci,metric alert,avg(last_5m):avg:memory.used{env:prod} > 78,Alerting on memory.used. Runbook: https://wiki.nnu-crop.edu.ng/runbook/memory.used,Alert,4,env:prod|service:db,2024-01-29T00:00:00Z,2025-07-17T00:00:00Z
30029,[NNU] disk.read elevated on gh-sensor,metric alert,avg(last_5m):avg:disk.read{env:prod} > 79,Alerting on disk.read. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.read,OK,5,env:prod|service:gh-sensor,2024-01-30T00:00:00Z,2025-07-16T00:00:00Z
30030,[NNU] disk.write elevated on portal,metric alert,avg(last_5m):avg:disk.write{env:prod} > 80,Alerting on disk.write. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.write,OK,1,env:prod|service:esfes,2024-01-31T00:00:00Z,2025-07-15T00:00:00Z
30031,[NNU] net.rx elevated on db,metric alert,avg(last_5m):avg:net.rx{env:prod} > 81,Alerting on net.rx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.rx,OK,2,env:prod|service:waita,2024-02-01T00:00:00Z,2025-07-14T00:00:00Z
30032,[NNU] net.tx elevated on web,metric alert,avg(last_5m):avg:net.tx{env:prod} > 82,Alerting on net.tx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.tx,OK,3,env:prod|service:portal,2024-02-02T00:00:00Z,2025-07-13T00:00:00Z
30033,[NNU] http.request.count elevated on ci,metric alert,avg(last_5m):avg:http.request.count{env:prod} > 83,Alerting on http.request.count. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.count,Warn,4,env:prod|service:db,2024-02-03T00:00:00Z,2025-07-12T00:00:00Z
30034,[NNU] http.request.latency elevated on gh-sensor,metric alert,avg(last_5m):avg:http.request.latency{env:prod} > 84,Alerting on http.request.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.latency,Alert,5,env:prod|service:gh-sensor,2024-02-04T00:00:00Z,2025-07-11T00:00:00Z
30035,[NNU] db.connections elevated on portal,metric alert,avg(last_5m):avg:db.connections{env:prod} > 85,Alerting on db.connections. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.connections,OK,1,env:prod|service:esfes,2024-02-05T00:00:00Z,2025-07-10T00:00:00Z
30036,[NNU] db.query.latency elevated on db,metric alert,avg(last_5m):avg:db.query.latency{env:prod} > 86,Alerting on db.query.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.query.latency,OK,2,env:prod|service:waita,2024-02-06T00:00:00Z,2025-07-09T00:00:00Z
30037,[NNU] cache.hits elevated on web,metric alert,avg(last_5m):avg:cache.hits{env:prod} > 87,Alerting on cache.hits. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.hits,OK,3,env:prod|service:portal,2024-02-07T00:00:00Z,2025-07-08T00:00:00Z
30038,[NNU] cache.misses elevated on ci,metric alert,avg(last_5m):avg:cache.misses{env:prod} > 88,Alerting on cache.misses. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.misses,OK,4,env:prod|service:db,2024-02-08T00:00:00Z,2025-07-07T00:00:00Z
30039,[NNU] cpu.user elevated on gh-sensor,metric alert,avg(last_5m):avg:cpu.user{env:prod} > 89,Alerting on cpu.user. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.user,Warn,5,env:prod|service:gh-sensor,2024-02-09T00:00:00Z,2025-07-06T00:00:00Z
30040,[NNU] cpu.system elevated on portal,metric alert,avg(last_5m):avg:cpu.system{env:prod} > 70,Alerting on cpu.system. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.system,Alert,1,env:prod|service:esfes,2024-02-10T00:00:00Z,2025-07-05T00:00:00Z
30041,[NNU] memory.used elevated on db,metric alert,avg(last_5m):avg:memory.used{env:prod} > 71,Alerting on memory.used. Runbook: https://wiki.nnu-crop.edu.ng/runbook/memory.used,OK,2,env:prod|service:waita,2024-02-11T00:00:00Z,2025-07-04T00:00:00Z
30042,[NNU] disk.read elevated on web,metric alert,avg(last_5m):avg:disk.read{env:prod} > 72,Alerting on disk.read. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.read,OK,3,env:prod|service:portal,2024-02-12T00:00:00Z,2025-07-03T00:00:00Z
30043,[NNU] disk.write elevated on ci,metric alert,avg(last_5m):avg:disk.write{env:prod} > 73,Alerting on disk.write. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.write,OK,4,env:prod|service:db,2024-02-13T00:00:00Z,2025-07-02T00:00:00Z
30044,[NNU] net.rx elevated on gh-sensor,metric alert,avg(last_5m):avg:net.rx{env:prod} > 74,Alerting on net.rx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.rx,OK,5,env:prod|service:gh-sensor,2024-02-14T00:00:00Z,2025-07-01T00:00:00Z
30045,[NNU] net.tx elevated on portal,metric alert,avg(last_5m):avg:net.tx{env:prod} > 75,Alerting on net.tx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.tx,Warn,1,env:prod|service:esfes,2024-02-15T00:00:00Z,2025-06-30T00:00:00Z
30046,[NNU] http.request.count elevated on db,metric alert,avg(last_5m):avg:http.request.count{env:prod} > 76,Alerting on http.request.count. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.count,Alert,2,env:prod|service:waita,2024-02-16T00:00:00Z,2025-06-29T00:00:00Z
30047,[NNU] http.request.latency elevated on web,metric alert,avg(last_5m):avg:http.request.latency{env:prod} > 77,Alerting on http.request.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.latency,OK,3,env:prod|service:portal,2024-02-17T00:00:00Z,2025-06-28T00:00:00Z
30048,[NNU] db.connections elevated on ci,metric alert,avg(last_5m):avg:db.connections{env:prod} > 78,Alerting on db.connections. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.connections,OK,4,env:prod|service:db,2024-02-18T00:00:00Z,2025-06-27T00:00:00Z
30049,[NNU] db.query.latency elevated on gh-sensor,metric alert,avg(last_5m):avg:db.query.latency{env:prod} > 79,Alerting on db.query.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.query.latency,OK,5,env:prod|service:gh-sensor,2024-02-19T00:00:00Z,2025-06-26T00:00:00Z
30050,[NNU] cache.hits elevated on portal,metric alert,avg(last_5m):avg:cache.hits{env:prod} > 80,Alerting on cache.hits. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.hits,OK,1,env:prod|service:esfes,2024-02-20T00:00:00Z,2025-06-25T00:00:00Z
30051,[NNU] cache.misses elevated on db,metric alert,avg(last_5m):avg:cache.misses{env:prod} > 81,Alerting on cache.misses. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.misses,Warn,2,env:prod|service:waita,2024-02-21T00:00:00Z,2025-06-24T00:00:00Z
30052,[NNU] cpu.user elevated on web,metric alert,avg(last_5m):avg:cpu.user{env:prod} > 82,Alerting on cpu.user. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.user,Alert,3,env:prod|service:portal,2024-02-22T00:00:00Z,2025-06-23T00:00:00Z
30053,[NNU] cpu.system elevated on ci,metric alert,avg(last_5m):avg:cpu.system{env:prod} > 83,Alerting on cpu.system. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.system,OK,4,env:prod|service:db,2024-02-23T00:00:00Z,2025-06-22T00:00:00Z
30054,[NNU] memory.used elevated on gh-sensor,metric alert,avg(last_5m):avg:memory.used{env:prod} > 84,Alerting on memory.used. Runbook: https://wiki.nnu-crop.edu.ng/runbook/memory.used,OK,5,env:prod|service:gh-sensor,2024-02-24T00:00:00Z,2025-06-21T00:00:00Z
30055,[NNU] disk.read elevated on portal,metric alert,avg(last_5m):avg:disk.read{env:prod} > 85,Alerting on disk.read. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.read,OK,1,env:prod|service:esfes,2024-02-25T00:00:00Z,2025-06-20T00:00:00Z
30056,[NNU] disk.write elevated on db,metric alert,avg(last_5m):avg:disk.write{env:prod} > 86,Alerting on disk.write. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.write,OK,2,env:prod|service:waita,2024-02-26T00:00:00Z,2025-06-19T00:00:00Z
30057,[NNU] net.rx elevated on web,metric alert,avg(last_5m):avg:net.rx{env:prod} > 87,Alerting on net.rx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.rx,Warn,3,env:prod|service:portal,2024-02-27T00:00:00Z,2025-06-18T00:00:00Z
30058,[NNU] net.tx elevated on ci,metric alert,avg(last_5m):avg:net.tx{env:prod} > 88,Alerting on net.tx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.tx,Alert,4,env:prod|service:db,2024-02-28T00:00:00Z,2025-06-17T00:00:00Z
30059,[NNU] http.request.count elevated on gh-sensor,metric alert,avg(last_5m):avg:http.request.count{env:prod} > 89,Alerting on http.request.count. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.count,OK,5,env:prod|service:gh-sensor,2024-02-29T00:00:00Z,2025-06-16T00:00:00Z
30060,[NNU] http.request.latency elevated on portal,metric alert,avg(last_5m):avg:http.request.latency{env:prod} > 70,Alerting on http.request.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.latency,OK,1,env:prod|service:esfes,2024-03-01T00:00:00Z,2025-08-14T00:00:00Z
30061,[NNU] db.connections elevated on db,metric alert,avg(last_5m):avg:db.connections{env:prod} > 71,Alerting on db.connections. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.connections,OK,2,env:prod|service:waita,2024-03-02T00:00:00Z,2025-08-13T00:00:00Z
30062,[NNU] db.query.latency elevated on web,metric alert,avg(last_5m):avg:db.query.latency{env:prod} > 72,Alerting on db.query.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.query.latency,OK,3,env:prod|service:portal,2024-03-03T00:00:00Z,2025-08-12T00:00:00Z
30063,[NNU] cache.hits elevated on ci,metric alert,avg(last_5m):avg:cache.hits{env:prod} > 73,Alerting on cache.hits. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.hits,Warn,4,env:prod|service:db,2024-03-04T00:00:00Z,2025-08-11T00:00:00Z
30064,[NNU] cache.misses elevated on gh-sensor,metric alert,avg(last_5m):avg:cache.misses{env:prod} > 74,Alerting on cache.misses. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.misses,Alert,5,env:prod|service:gh-sensor,2024-03-05T00:00:00Z,2025-08-10T00:00:00Z
30065,[NNU] cpu.user elevated on portal,metric alert,avg(last_5m):avg:cpu.user{env:prod} > 75,Alerting on cpu.user. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.user,OK,1,env:prod|service:esfes,2024-03-06T00:00:00Z,2025-08-09T00:00:00Z
30066,[NNU] cpu.system elevated on db,metric alert,avg(last_5m):avg:cpu.system{env:prod} > 76,Alerting on cpu.system. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.system,OK,2,env:prod|service:waita,2024-03-07T00:00:00Z,2025-08-08T00:00:00Z
30067,[NNU] memory.used elevated on web,metric alert,avg(last_5m):avg:memory.used{env:prod} > 77,Alerting on memory.used. Runbook: https://wiki.nnu-crop.edu.ng/runbook/memory.used,OK,3,env:prod|service:portal,2024-03-08T00:00:00Z,2025-08-07T00:00:00Z
30068,[NNU] disk.read elevated on ci,metric alert,avg(last_5m):avg:disk.read{env:prod} > 78,Alerting on disk.read. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.read,OK,4,env:prod|service:db,2024-03-09T00:00:00Z,2025-08-06T00:00:00Z
30069,[NNU] disk.write elevated on gh-sensor,metric alert,avg(last_5m):avg:disk.write{env:prod} > 79,Alerting on disk.write. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.write,Warn,5,env:prod|service:gh-sensor,2024-03-10T00:00:00Z,2025-08-05T00:00:00Z
30070,[NNU] net.rx elevated on portal,metric alert,avg(last_5m):avg:net.rx{env:prod} > 80,Alerting on net.rx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.rx,Alert,1,env:prod|service:esfes,2024-03-11T00:00:00Z,2025-08-04T00:00:00Z
30071,[NNU] net.tx elevated on db,metric alert,avg(last_5m):avg:net.tx{env:prod} > 81,Alerting on net.tx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.tx,OK,2,env:prod|service:waita,2024-03-12T00:00:00Z,2025-08-03T00:00:00Z
30072,[NNU] http.request.count elevated on web,metric alert,avg(last_5m):avg:http.request.count{env:prod} > 82,Alerting on http.request.count. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.count,OK,3,env:prod|service:portal,2024-03-13T00:00:00Z,2025-08-02T00:00:00Z
30073,[NNU] http.request.latency elevated on ci,metric alert,avg(last_5m):avg:http.request.latency{env:prod} > 83,Alerting on http.request.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.latency,OK,4,env:prod|service:db,2024-03-14T00:00:00Z,2025-08-01T00:00:00Z
30074,[NNU] db.connections elevated on gh-sensor,metric alert,avg(last_5m):avg:db.connections{env:prod} > 84,Alerting on db.connections. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.connections,OK,5,env:prod|service:gh-sensor,2024-03-15T00:00:00Z,2025-07-31T00:00:00Z
30075,[NNU] db.query.latency elevated on portal,metric alert,avg(last_5m):avg:db.query.latency{env:prod} > 85,Alerting on db.query.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.query.latency,Warn,1,env:prod|service:esfes,2024-03-16T00:00:00Z,2025-07-30T00:00:00Z
30076,[NNU] cache.hits elevated on db,metric alert,avg(last_5m):avg:cache.hits{env:prod} > 86,Alerting on cache.hits. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.hits,Alert,2,env:prod|service:waita,2024-03-17T00:00:00Z,2025-07-29T00:00:00Z
30077,[NNU] cache.misses elevated on web,metric alert,avg(last_5m):avg:cache.misses{env:prod} > 87,Alerting on cache.misses. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.misses,OK,3,env:prod|service:portal,2024-03-18T00:00:00Z,2025-07-28T00:00:00Z
30078,[NNU] cpu.user elevated on ci,metric alert,avg(last_5m):avg:cpu.user{env:prod} > 88,Alerting on cpu.user. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.user,OK,4,env:prod|service:db,2024-03-19T00:00:00Z,2025-07-27T00:00:00Z
30079,[NNU] cpu.system elevated on gh-sensor,metric alert,avg(last_5m):avg:cpu.system{env:prod} > 89,Alerting on cpu.system. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.system,OK,5,env:prod|service:gh-sensor,2024-03-20T00:00:00Z,2025-07-26T00:00:00Z
30080,[NNU] memory.used elevated on portal,metric alert,avg(last_5m):avg:memory.used{env:prod} > 70,Alerting on memory.used. Runbook: https://wiki.nnu-crop.edu.ng/runbook/memory.used,OK,1,env:prod|service:esfes,2024-03-21T00:00:00Z,2025-07-25T00:00:00Z
30081,[NNU] disk.read elevated on db,metric alert,avg(last_5m):avg:disk.read{env:prod} > 71,Alerting on disk.read. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.read,Warn,2,env:prod|service:waita,2024-03-22T00:00:00Z,2025-07-24T00:00:00Z
30082,[NNU] disk.write elevated on web,metric alert,avg(last_5m):avg:disk.write{env:prod} > 72,Alerting on disk.write. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.write,Alert,3,env:prod|service:portal,2024-03-23T00:00:00Z,2025-07-23T00:00:00Z
30083,[NNU] net.rx elevated on ci,metric alert,avg(last_5m):avg:net.rx{env:prod} > 73,Alerting on net.rx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.rx,OK,4,env:prod|service:db,2024-03-24T00:00:00Z,2025-07-22T00:00:00Z
30084,[NNU] net.tx elevated on gh-sensor,metric alert,avg(last_5m):avg:net.tx{env:prod} > 74,Alerting on net.tx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.tx,OK,5,env:prod|service:gh-sensor,2024-03-25T00:00:00Z,2025-07-21T00:00:00Z
30085,[NNU] http.request.count elevated on portal,metric alert,avg(last_5m):avg:http.request.count{env:prod} > 75,Alerting on http.request.count. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.count,OK,1,env:prod|service:esfes,2024-03-26T00:00:00Z,2025-07-20T00:00:00Z
30086,[NNU] http.request.latency elevated on db,metric alert,avg(last_5m):avg:http.request.latency{env:prod} > 76,Alerting on http.request.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.latency,OK,2,env:prod|service:waita,2024-03-27T00:00:00Z,2025-07-19T00:00:00Z
30087,[NNU] db.connections elevated on web,metric alert,avg(last_5m):avg:db.connections{env:prod} > 77,Alerting on db.connections. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.connections,Warn,3,env:prod|service:portal,2024-03-28T00:00:00Z,2025-07-18T00:00:00Z
30088,[NNU] db.query.latency elevated on ci,metric alert,avg(last_5m):avg:db.query.latency{env:prod} > 78,Alerting on db.query.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.query.latency,Alert,4,env:prod|service:db,2024-03-29T00:00:00Z,2025-07-17T00:00:00Z
30089,[NNU] cache.hits elevated on gh-sensor,metric alert,avg(last_5m):avg:cache.hits{env:prod} > 79,Alerting on cache.hits. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.hits,OK,5,env:prod|service:gh-sensor,2024-03-30T00:00:00Z,2025-07-16T00:00:00Z
30090,[NNU] cache.misses elevated on portal,metric alert,avg(last_5m):avg:cache.misses{env:prod} > 80,Alerting on cache.misses. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cache.misses,OK,1,env:prod|service:esfes,2024-03-31T00:00:00Z,2025-07-15T00:00:00Z
30091,[NNU] cpu.user elevated on db,metric alert,avg(last_5m):avg:cpu.user{env:prod} > 81,Alerting on cpu.user. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.user,OK,2,env:prod|service:waita,2024-04-01T00:00:00Z,2025-07-14T00:00:00Z
30092,[NNU] cpu.system elevated on web,metric alert,avg(last_5m):avg:cpu.system{env:prod} > 82,Alerting on cpu.system. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.system,OK,3,env:prod|service:portal,2024-04-02T00:00:00Z,2025-07-13T00:00:00Z
30093,[NNU] memory.used elevated on ci,metric alert,avg(last_5m):avg:memory.used{env:prod} > 83,Alerting on memory.used. Runbook: https://wiki.nnu-crop.edu.ng/runbook/memory.used,Warn,4,env:prod|service:db,2024-04-03T00:00:00Z,2025-07-12T00:00:00Z
30094,[NNU] disk.read elevated on gh-sensor,metric alert,avg(last_5m):avg:disk.read{env:prod} > 84,Alerting on disk.read. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.read,Alert,5,env:prod|service:gh-sensor,2024-04-04T00:00:00Z,2025-07-11T00:00:00Z
30095,[NNU] disk.write elevated on portal,metric alert,avg(last_5m):avg:disk.write{env:prod} > 85,Alerting on disk.write. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.write,OK,1,env:prod|service:esfes,2024-04-05T00:00:00Z,2025-07-10T00:00:00Z
30096,[NNU] net.rx elevated on db,metric alert,avg(last_5m):avg:net.rx{env:prod} > 86,Alerting on net.rx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.rx,OK,2,env:prod|service:waita,2024-04-06T00:00:00Z,2025-07-09T00:00:00Z
30097,[NNU] net.tx elevated on web,metric alert,avg(last_5m):avg:net.tx{env:prod} > 87,Alerting on net.tx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.tx,OK,3,env:prod|service:portal,2024-04-07T00:00:00Z,2025-07-08T00:00:00Z
