metric,scope,base_value,amplitude,unit
http.request.count.v7,"env:prod,service:esfes",85,8,pct
http.request.latency.v7,"env:prod,service:waita",88,9,MB
db.connections.v7,"env:prod,service:portal",91,10,ms
db.query.latency.v7,"env:prod,service:db",94,11,count
cache.hits.v7,"env:prod,service:gh-sensor",97,12,GB
cache.misses.v7,"env:prod,service:esfes",10,13,pct
cpu.user.v8,"env:prod,service:waita",13,1,MB
cpu.system.v8,"env:prod,service:portal",16,2,ms
memory.used.v8,"env:prod,service:db",19,3,count
disk.read.v8,"env:prod,service:gh-sensor",22,4,GB
disk.write.v8,"env:prod,service:esfes",25,5,pct
net.rx.v8,"env:prod,service:waita",28,6,MB
net.tx.v8,"env:prod,service:portal",31,7,ms
http.request.count.v8,"env:prod,service:db",34,8,count
http.request.latency.v8,"env:prod,service:gh-sensor",37,9,GB
db.connections.v8,"env:prod,service:esfes",40,10,pct
db.query.latency.v8,"env:prod,service:waita",43,11,MB
cache.hits.v8,"env:prod,service:portal",46,12,ms
cache.misses.v8,"env:prod,service:db",49,13,count
cpu.user.v9,"env:prod,service:gh-sensor",52,1,GB
