tracking_number,status_type,status_code,status_description,service_name,ship_date,scheduled_delivery,latest_activity,latest_activity_location,latest_activity_time
1Z999AA10123456833,I,005,In Transit,UPS 3 Day Select,2027-11-17,2027-11-20,Departed from Facility,"Dallas, TX, US",2027-11-20T10:00:00Z
1Z999AA10123456834,I,005,In Transit,UPS 3 Day Select,2027-12-03,2027-12-07,Departed from Facility,"Dallas, TX, US",2027-12-07T06:00:00Z
1Z999AA10123456835,I,005,In Transit,UPS 2nd Day Air,2027-12-18,2027-12-20,Departed from Facility,"Dallas, TX, US",2027-12-20T15:00:00Z
1Z999AA10123456836,I,005,In Transit,UPS 3 Day Select,2027-12-30,2028-01-03,Departed from Facility,"Dallas, TX, US",2028-01-03T12:00:00Z
1Z999AA10123456837,I,005,In Transit,UPS 2nd Day Air,2028-01-14,2028-01-19,Departed from Facility,"Dallas, TX, US",2028-01-19T12:00:00Z
1Z999AA10123456838,I,005,In Transit,UPS 2nd Day Air,2028-01-27,2028-01-31,Departed from Facility,"Dallas, TX, US",2028-01-31T09:00:00Z
1Z999AA10123456839,I,005,In Transit,UPS 2nd Day Air,2028-02-10,2028-02-14,Departed from Facility,"Dallas, TX, US",2028-02-14T11:00:00Z
1Z999AA10123456840,I,005,In Transit,UPS Ground,2028-02-25,2028-02-28,Departed from Facility,"Dallas, TX, US",2028-02-28T17:00:00Z
1Z999AA10123456841,I,005,In Transit,UPS 2nd Day Air,2028-03-12,2028-03-14,Departed from Facility,"Dallas, TX, US",2028-03-14T13:00:00Z
1Z999AA10123456842,I,005,In Transit,UPS Ground,2028-03-28,2028-03-30,Departed from Facility,"Dallas, TX, US",2028-03-30T14:00:00Z
1Z999AA10123456843,I,005,In Transit,UPS 3 Day Select,2028-04-09,2028-04-13,Departed from Facility,"Dallas, TX, US",2028-04-13T17:00:00Z
1Z999AA10123456844,I,005,In Transit,UPS Ground,2028-04-21,2028-04-26,Departed from Facility,"Dallas, TX, US",2028-04-26T15:00:00Z
1Z999AA10123456845,I,005,In Transit,UPS 3 Day Select,2028-05-04,2028-05-06,Departed from Facility,"Dallas, TX, US",2028-05-06T06:00:00Z
1Z999AA10123456846,I,005,In Transit,UPS 3 Day Select,2028-05-17,2028-05-21,Departed from Facility,"Dallas, TX, US",2028-05-21T07:00:00Z
1Z999AA10123456847,I,005,In Transit,UPS Ground,2028-06-01,2028-06-04,Departed from Facility,"Dallas, TX, US",2028-06-04T16:00:00Z
1Z999AA10123456848,I,005,In Transit,UPS 2nd Day Air,2028-06-17,2028-06-21,Departed from Facility,"Dallas, TX, US",2028-06-21T10:00:00Z
1Z999AA10123456849,I,005,In Transit,UPS 3 Day Select,2028-07-01,2028-07-05,Departed from Facility,"Dallas, TX, US",2028-07-05T14:00:00Z
1Z999AA10123456850,I,005,In Transit,UPS 3 Day Select,2028-07-13,2028-07-15,Departed from Facility,"Dallas, TX, US",2028-07-15T08:00:00Z
1Z999AA10123456851,I,005,In Transit,UPS 3 Day Select,2028-07-26,2028-07-28,Departed from Facility,"Dallas, TX, US",2028-07-28T14:00:00Z
1Z999AA10123456852,I,005,In Transit,UPS 2nd Day Air,2028-08-07,2028-08-09,Departed from Facility,"Dallas, TX, US",2028-08-09T09:00:00Z
1Z999AA10123456853,I,005,In Transit,UPS 3 Day Select,2028-08-21,2028-08-25,Departed from Facility,"Dallas, TX, US",2028-08-25T09:00:00Z
1Z999AA10123456854,I,005,In Transit,UPS Ground,2028-09-05,2028-09-09,Departed from Facility,"Dallas, TX, US",2028-09-09T18:00:00Z
1Z999AA10123456855,I,005,In Transit,UPS 3 Day Select,2028-09-20,2028-09-23,Departed from Facility,"Dallas, TX, US",2028-09-23T11:00:00Z
1Z999AA10123456856,I,005,In Transit,UPS Ground,2028-10-04,2028-10-09,Departed from Facility,"Dallas, TX, US",2028-10-09T14:00:00Z
1Z999AA10123456857,I,005,In Transit,UPS Ground,2028-10-16,2028-10-21,Departed from Facility,"Dallas, TX, US",2028-10-21T15:00:00Z
1Z999AA10123456858,I,005,In Transit,UPS 3 Day Select,2028-10-29,2028-10-31,Departed from Facility,"Dallas, TX, US",2028-10-31T09:00:00Z
1Z999AA10123456859,I,005,In Transit,UPS 2nd Day Air,2028-11-10,2028-11-15,Departed from Facility,"Dallas, TX, US",2028-11-15T15:00:00Z
1Z999AA10123456860,I,005,In Transit,UPS 2nd Day Air,2028-11-26,2028-11-30,Departed from Facility,"Dallas, TX, US",2028-11-30T11:00:00Z
1Z999AA10123456861,I,005,In Transit,UPS 3 Day Select,2028-12-09,2028-12-13,Departed from Facility,"Dallas, TX, US",2028-12-13T09:00:00Z
1Z999AA10123456862,I,005,In Transit,UPS Ground,2028-12-25,2028-12-27,Departed from Facility,"Dallas, TX, US",2028-12-27T13:00:00Z
1Z999AA10123456863,I,005,In Transit,UPS Ground,2029-01-07,2029-01-10,Departed from Facility,"Dallas, TX, US",2029-01-10T11:00:00Z
1Z999AA10123456864,I,005,In Transit,UPS 3 Day Select,2029-01-21,2029-01-25,Departed from Facility,"Dallas, TX, US",2029-01-25T13:00:00Z
1Z999AA10123456865,I,005,In Transit,UPS Ground,2029-02-04,2029-02-07,Departed from Facility,"Dallas, TX, US",2029-02-07T11:00:00Z
1Z999AA10123456866,I,005,In Transit,UPS 3 Day Select,2029-02-19,2029-02-22,Departed from Facility,"Dallas, TX, US",2029-02-22T15:00:00Z
1Z999AA10123456867,I,005,In Transit,UPS 3 Day Select,2029-03-07,2029-03-11,Departed from Facility,"Dallas, TX, US",2029-03-11T08:00:00Z
1Z999AA10123456868,I,005,In Transit,UPS Ground,2029-03-22,2029-03-27,Departed from Facility,"Dallas, TX, US",2029-03-27T06:00:00Z
1Z999AA10123456869,I,005,In Transit,UPS Ground,2029-04-07,2029-04-10,Departed from Facility,"Dallas, TX, US",2029-04-10T14:00:00Z
1Z999AA10123456870,I,005,In Transit,UPS Ground,2029-04-20,2029-04-22,Departed from Facility,"Dallas, TX, US",2029-04-22T13:00:00Z
1Z999AA10123456871,I,005,In Transit,UPS Ground,2029-05-04,2029-05-08,Departed from Facility,"Dallas, TX, US",2029-05-08T14:00:00Z
1Z999AA10123456872,I,005,In Transit,UPS 3 Day Select,2029-05-16,2029-05-19,Departed from Facility,"Dallas, TX, US",2029-05-19T16:00:00Z
1Z999AA10123456873,I,005,In Transit,UPS 3 Day Select,2029-05-28,2029-06-01,Departed from Facility,"Dallas, TX, US",2029-06-01T10:00:00Z
1Z999AA10123456874,I,005,In Transit,UPS 2nd Day Air,2029-06-09,2029-06-11,Departed from Facility,"Dallas, TX, US",2029-06-11T18:00:00Z
1Z999AA10123456875,I,005,In Transit,UPS 3 Day Select,2029-06-24,2029-06-28,Departed from Facility,"Dallas, TX, US",2029-06-28T17:00:00Z
1Z999AA10123456876,I,005,In Transit,UPS 3 Day Select,2029-07-09,2029-07-14,Departed from Facility,"Dallas, TX, US",2029-07-14T17:00:00Z
1Z999AA10123456877,I,005,In Transit,UPS 2nd Day Air,2029-07-21,2029-07-24,Departed from Facility,"Dallas, TX, US",2029-07-24T15:00:00Z
1Z999AA10123456878,I,005,In Transit,UPS 3 Day Select,2029-08-04,2029-08-08,Departed from Facility,"Dallas, TX, US",2029-08-08T10:00:00Z
1Z999AA10123456879,I,005,In Transit,UPS 2nd Day Air,2029-08-19,2029-08-21,Departed from Facility,"Dallas, TX, US",2029-08-21T13:00:00Z
1Z999AA10123456880,I,005,In Transit,UPS Ground,2029-09-03,2029-09-05,Departed from Facility,"Dallas, TX, US",2029-09-05T18:00:00Z
1Z999AA10123456881,I,005,In Transit,UPS 3 Day Select,2029-09-15,2029-09-18,Departed from Facility,"Dallas, TX, US",2029-09-18T11:00:00Z
1Z999AA10123456882,I,005,In Transit,UPS 2nd Day Air,2029-09-30,2029-10-02,Departed from Facility,"Dallas, TX, US",2029-10-02T11:00:00Z
1Z999AA10123456883,I,005,In Transit,UPS 3 Day Select,2029-10-16,2029-10-21,Departed from Facility,"Dallas, TX, US",2029-10-21T17:00:00Z
1Z999AA10123456884,I,005,In Transit,UPS Ground,2029-10-29,2029-11-02,Departed from Facility,"Dallas, TX, US",2029-11-02T18:00:00Z
1Z999AA10123456885,I,005,In Transit,UPS 3 Day Select,2029-11-11,2029-11-15,Departed from Facility,"Dallas, TX, US",2029-11-15T08:00:00Z
1Z999AA10123456886,I,005,In Transit,UPS 3 Day Select,2029-11-25,2029-11-28,Departed from Facility,"Dallas, TX, US",2029-11-28T06:00:00Z
1Z999AA10123456887,I,005,In Transit,UPS 2nd Day Air,2029-12-09,2029-12-14,Departed from Facility,"Dallas, TX, US",2029-12-14T14:00:00Z
1Z999AA10123456888,I,005,In Transit,UPS 3 Day Select,2029-12-22,2029-12-24,Departed from Facility,"Dallas, TX, US",2029-12-24T08:00:00Z
1Z999AA10123456889,I,005,In Transit,UPS 3 Day Select,2030-01-04,2030-01-09,Departed from Facility,"Dallas, TX, US",2030-01-09T12:00:00Z
1Z999AA10123456890,I,005,In Transit,UPS 3 Day Select,2030-01-16,2030-01-20,Departed from Facility,"Dallas, TX, US",2030-01-20T08:00:00Z
1Z999AA10123456891,I,005,In Transit,UPS 3 Day Select,2030-01-28,2030-02-01,Departed from Facility,"Dallas, TX, US",2030-02-01T12:00:00Z
1Z999AA10123456892,I,005,In Transit,UPS 2nd Day Air,2030-02-09,2030-02-14,Departed from Facility,"Dallas, TX, US",2030-02-14T09:00:00Z
1Z999AA10123456893,I,005,In Transit,UPS 2nd Day Air,2030-02-22,2030-02-27,Departed from Facility,"Dallas, TX, US",2030-02-27T07:00:00Z
1Z999AA10123456894,I,005,In Transit,UPS Ground,2030-03-08,2030-03-10,Departed from Facility,"Dallas, TX, US",2030-03-10T15:00:00Z
1Z999AA10123456895,I,005,In Transit,UPS 2nd Day Air,2030-03-20,2030-03-22,Departed from Facility,"Dallas, TX, US",2030-03-22T07:00:00Z
1Z999AA10123456896,I,005,In Transit,UPS 2nd Day Air,2030-04-02,2030-04-05,Departed from Facility,"Dallas, TX, US",2030-04-05T06:00:00Z
1Z999AA10123456897,I,005,In Transit,UPS 2nd Day Air,2030-04-14,2030-04-18,Departed from Facility,"Dallas, TX, US",2030-04-18T12:00:00Z
1Z999AA10123456898,I,005,In Transit,UPS Ground,2030-04-29,2030-05-04,Departed from Facility,"Dallas, TX, US",2030-05-04T13:00:00Z
1Z999AA10123456899,I,005,In Transit,UPS Ground,2030-05-12,2030-05-16,Departed from Facility,"Dallas, TX, US",2030-05-16T06:00:00Z
1Z999AA10123456900,I,005,In Transit,UPS Ground,2030-05-25,2030-05-27,Departed from Facility,"Dallas, TX, US",2030-05-27T09:00:00Z
1Z999AA10123456901,I,005,In Transit,UPS Ground,2030-06-09,2030-06-12,Departed from Facility,"Dallas, TX, US",2030-06-12T10:00:00Z
1Z999AA10123456902,I,005,In Transit,UPS 3 Day Select,2030-06-25,2030-06-28,Departed from Facility,"Dallas, TX, US",2030-06-28T17:00:00Z
1Z999AA10123456903,I,005,In Transit,UPS Ground,2030-07-09,2030-07-13,Departed from Facility,"Dallas, TX, US",2030-07-13T12:00:00Z
1Z999AA10123456904,I,005,In Transit,UPS 2nd Day Air,2030-07-24,2030-07-28,Departed from Facility,"Dallas, TX, US",2030-07-28T18:00:00Z
1Z999AA10123456905,I,005,In Transit,UPS Ground,2030-08-07,2030-08-11,Departed from Facility,"Dallas, TX, US",2030-08-11T08:00:00Z
1Z999AA10123456906,I,005,In Transit,UPS Ground,2030-08-23,2030-08-26,Departed from Facility,"Dallas, TX, US",2030-08-26T06:00:00Z
1Z999AA10123456907,I,005,In Transit,UPS 2nd Day Air,2030-09-06,2030-09-10,Departed from Facility,"Dallas, TX, US",2030-09-10T08:00:00Z
1Z999AA10123456908,I,005,In Transit,UPS 2nd Day Air,2030-09-20,2030-09-23,Departed from Facility,"Dallas, TX, US",2030-09-23T07:00:00Z
1Z999AA10123456909,I,005,In Transit,UPS 3 Day Select,2030-10-06,2030-10-08,Departed from Facility,"Dallas, TX, US",2030-10-08T14:00:00Z
1Z999AA10123456910,I,005,In Transit,UPS 2nd Day Air,2030-10-21,2030-10-23,Departed from Facility,"Dallas, TX, US",2030-10-23T16:00:00Z
1Z999AA10123456911,I,005,In Transit,UPS 2nd Day Air,2030-11-05,2030-11-09,Departed from Facility,"Dallas, TX, US",2030-11-09T07:00:00Z
1Z999AA10123456912,I,005,In Transit,UPS Ground,2030-11-18,2030-11-22,Departed from Facility,"Dallas, TX, US",2030-11-22T09:00:00Z
1Z999AA10123456913,I,005,In Transit,UPS 2nd Day Air,2030-12-02,2030-12-04,Departed from Facility,"Dallas, TX, US",2030-12-04T13:00:00Z
1Z999AA10123456914,I,005,In Transit,UPS 2nd Day Air,2030-12-15,2030-12-18,Departed from Facility,"Dallas, TX, US",2030-12-18T16:00:00Z
1Z999AA10123456915,I,005,In Transit,UPS 2nd Day Air,2030-12-28,2031-01-02,Departed from Facility,"Dallas, TX, US",2031-01-02T08:00:00Z
1Z999AA10123456916,I,005,In Transit,UPS 3 Day Select,2031-01-13,2031-01-17,Departed from Facility,"Dallas, TX, US",2031-01-17T07:00:00Z
1Z999AA10123456917,I,005,In Transit,UPS 2nd Day Air,2031-01-27,2031-01-31,Departed from Facility,"Dallas, TX, US",2031-01-31T12:00:00Z
1Z999AA10123456918,I,005,In Transit,UPS Ground,2031-02-12,2031-02-16,Departed from Facility,"Dallas, TX, US",2031-02-16T14:00:00Z
1Z999AA10123456919,I,005,In Transit,UPS 3 Day Select,2031-02-26,2031-03-01,Departed from Facility,"Dallas, TX, US",2031-03-01T11:00:00Z
1Z999AA10123456920,I,005,In Transit,UPS Ground,2031-03-14,2031-03-19,Departed from Facility,"Dallas, TX, US",2031-03-19T16:00:00Z
1Z999AA10123456921,I,005,In Transit,UPS Ground,2031-03-29,2031-03-31,Departed from Facility,"Dallas, TX, US",2031-03-31T13:00:00Z
1Z999AA10123456922,I,005,In Transit,UPS Ground,2031-04-13,2031-04-16,Departed from Facility,"Dallas, TX, US",2031-04-16T08:00:00Z
1Z999AA10123456923,I,005,In Transit,UPS Ground,2031-04-25,2031-04-27,Departed from Facility,"Dallas, TX, US",2031-04-27T06:00:00Z
1Z999AA10123456924,I,005,In Transit,UPS Ground,2031-05-10,2031-05-14,Departed from Facility,"Dallas, TX, US",2031-05-14T07:00:00Z
1Z999AA10123456925,I,005,In Transit,UPS 2nd Day Air,2031-05-22,2031-05-24,Departed from Facility,"Dallas, TX, US",2031-05-24T18:00:00Z
1Z999AA10123456926,I,005,In Transit,UPS 2nd Day Air,2031-06-07,2031-06-11,Departed from Facility,"Dallas, TX, US",2031-06-11T06:00:00Z
1Z999AA10123456927,I,005,In Transit,UPS 3 Day Select,2031-06-23,2031-06-26,Departed from Facility,"Dallas, TX, US",2031-06-26T09:00:00Z
1Z999AA10123456928,I,005,In Transit,UPS 3 Day Select,2031-07-07,2031-07-09,Departed from Facility,"Dallas, TX, US",2031-07-09T08:00:00Z
1Z999AA10123456929,I,005,In Transit,UPS 3 Day Select,2031-07-22,2031-07-24,Departed from Facility,"Dallas, TX, US",2031-07-24T14:00:00Z
1Z999AA10123456930,I,005,In Transit,UPS 3 Day Select,2031-08-04,2031-08-08,Departed from Facility,"Dallas, TX, US",2031-08-08T12:00:00Z
1Z999AA10123456931,I,005,In Transit,UPS Ground,2031-08-17,2031-08-21,Departed from Facility,"Dallas, TX, US",2031-08-21T14:00:00Z
1Z999AA10123456932,I,005,In Transit,UPS 2nd Day Air,2031-09-02,2031-09-04,Departed from Facility,"Dallas, TX, US",2031-09-04T07:00:00Z
1Z999AA10123456933,I,005,In Transit,UPS 3 Day Select,2031-09-14,2031-09-16,Departed from Facility,"Dallas, TX, US",2031-09-16T09:00:00Z
1Z999AA10123456934,I,005,In Transit,UPS 3 Day Select,2031-09-30,2031-10-05,Departed from Facility,"Dallas, TX, US",2031-10-05T18:00:00Z
1Z999AA10123456935,I,005,In Transit,UPS 3 Day Select,2031-10-12,2031-10-15,Departed from Facility,"Dallas, TX, US",2031-10-15T11:00:00Z
1Z999AA10123456936,I,005,In Transit,UPS Ground,2031-10-26,2031-10-28,Departed from Facility,"Dallas, TX, US",2031-10-28T09:00:00Z
1Z999AA10123456937,I,005,In Transit,UPS Ground,2031-11-08,2031-11-11,Departed from Facility,"Dallas, TX, US",2031-11-11T09:00:00Z
1Z999AA10123456938,I,005,In Transit,UPS 2nd Day Air,2031-11-21,2031-11-25,Departed from Facility,"Dallas, TX, US",2031-11-25T17:00:00Z
1Z999AA10123456939,I,005,In Transit,UPS Ground,2031-12-04,2031-12-08,Departed from Facility,"Dallas, TX, US",2031-12-08T15:00:00Z
1Z999AA10123456940,I,005,In Transit,UPS 3 Day Select,2031-12-20,2031-12-24,Departed from Facility,"Dallas, TX, US",2031-12-24T08:00:00Z
1Z999AA10123456941,I,005,In Transit,UPS 2nd Day Air,2032-01-05,2032-01-10,Departed from Facility,"Dallas, TX, US",2032-01-10T13:00:00Z
1Z999AA10123456942,I,005,In Transit,UPS 2nd Day Air,2032-01-21,2032-01-26,Departed from Facility,"Dallas, TX, US",2032-01-26T17:00:00Z
1Z999AA10123456943,I,005,In Transit,UPS Ground,2032-02-06,2032-02-11,Departed from Facility,"Dallas, TX, US",2032-02-11T17:00:00Z
1Z999AA10123456944,I,005,In Transit,UPS 3 Day Select,2032-02-22,2032-02-24,Departed from Facility,"Dallas, TX, US",2032-02-24T06:00:00Z
1Z999AA10123456945,I,005,In Transit,UPS Ground,2032-03-07,2032-03-09,Departed from Facility,"Dallas, TX, US",2032-03-09T09:00:00Z
1Z999AA10123456946,I,005,In Transit,UPS 2nd Day Air,2032-03-20,2032-03-24,Departed from Facility,"Dallas, TX, US",2032-03-24T12:00:00Z
1Z999AA10123456947,I,005,In Transit,UPS 3 Day Select,2032-04-05,2032-04-08,Departed from Facility,"Dallas, TX, US",2032-04-08T11:00:00Z
1Z999AA10123456948,I,005,In Transit,UPS 3 Day Select,2032-04-20,2032-04-24,Departed from Facility,"Dallas, TX, US",2032-04-24T11:00:00Z
1Z999AA10123456949,I,005,In Transit,UPS Ground,2032-05-06,2032-05-11,Departed from Facility,"Dallas, TX, US",2032-05-11T09:00:00Z
1Z999AA10123456950,I,005,In Transit,UPS 3 Day Select,2032-05-19,2032-05-24,Departed from Facility,"Dallas, TX, US",2032-05-24T16:00:00Z
1Z999AA10123456951,I,005,In Transit,UPS 2nd Day Air,2032-05-31,2032-06-03,Departed from Facility,"Dallas, TX, US",2032-06-03T18:00:00Z
1Z999AA10123456952,I,005,In Transit,UPS Ground,2032-06-12,2032-06-14,Departed from Facility,"Dallas, TX, US",2032-06-14T08:00:00Z
1Z999AA10123456953,I,005,In Transit,UPS 3 Day Select,2032-06-24,2032-06-27,Departed from Facility,"Dallas, TX, US",2032-06-27T15:00:00Z
1Z999AA10123456954,I,005,In Transit,UPS 3 Day Select,2032-07-10,2032-07-12,Departed from Facility,"Dallas, TX, US",2032-07-12T06:00:00Z
1Z999AA10123456955,I,005,In Transit,UPS 3 Day Select,2032-07-23,2032-07-27,Departed from Facility,"Dallas, TX, US",2032-07-27T06:00:00Z
1Z999AA10123456956,I,005,In Transit,UPS Ground,2032-08-04,2032-08-06,Departed from Facility,"Dallas, TX, US",2032-08-06T10:00:00Z
1Z999AA10123456957,I,005,In Transit,UPS Ground,2032-08-20,2032-08-24,Departed from Facility,"Dallas, TX, US",2032-08-24T10:00:00Z
1Z999AA10123456958,I,005,In Transit,UPS Ground,2032-09-02,2032-09-06,Departed from Facility,"Dallas, TX, US",2032-09-06T08:00:00Z
1Z999AA10123456959,I,005,In Transit,UPS 3 Day Select,2032-09-14,2032-09-19,Departed from Facility,"Dallas, TX, US",2032-09-19T08:00:00Z
1Z999AA10123456960,I,005,In Transit,UPS 3 Day Select,2032-09-27,2032-10-02,Departed from Facility,"Dallas, TX, US",2032-10-02T11:00:00Z
1Z999AA10123456961,I,005,In Transit,UPS 2nd Day Air,2032-10-09,2032-10-11,Departed from Facility,"Dallas, TX, US",2032-10-11T07:00:00Z
