"pin_id","board_id","board_section_id","title","description","link","media_type","created_at","updated_at","dominant_color","alt_text","is_promoted","pin_metrics_impressions","pin_metrics_saves","pin_metrics_clicks"
"pin_0014","brd_0023","sec_0017","Mountain Alpha Market","bridge india hotel hotel river cloud alpha foxtrot","https://example.com/pin/14","video","2024-05-17T03:59:00Z","2024-07-18T02:25:00Z","#0804a6","stone tower bravo ocean hotel golf","false","12802","293","1916"
"pin_0015","brd_0108","sec_0023","Foxtrot Market Alpha","river alpha mountain juliet foxtrot valley river forest","https://example.com/pin/15","video","2024-07-03T16:45:00Z","2024-05-09T23:54:00Z","#0261b4","delta ocean echo juliet mountain market","true","30145","290","1409"
"pin_0016","brd_0059","","Ocean Mountain Cloud","golf bridge bridge valley stone golf forest bridge","https://example.com/pin/16","image","2024-11-29T01:07:00Z","2024-10-29T23:38:00Z","#06af1b","charlie bravo foxtrot hotel cloud stone","true","19437","188","1501"
"pin_0017","brd_0103","sec_0109","India Alpha Charlie","market bravo delta india river echo bravo juliet","https://example.com/pin/17","image","2024-04-11T17:53:00Z","2024-06-29T12:35:00Z","#0b9823","echo river stone india forest stone","true","7603","168","1385"
"pin_0018","brd_0009","","Echo Tower India","stone echo golf delta valley foxtrot delta hotel","https://example.com/pin/18","video","2024-02-15T05:01:00Z","2024-06-14T15:19:00Z","#0b65a5","charlie bravo stone india hotel delta","false","8823","403","1365"
"pin_0019","brd_0131","sec_0115","Charlie Foxtrot India","ocean golf ocean valley cloud bravo hotel river","https://example.com/pin/19","image","2024-09-01T00:00:00Z","2024-12-10T18:24:00Z","#022d41","market india golf echo bridge tower","true","18303","186","1951"
"pin_0020","brd_0127","","Forest Charlie Valley","valley stone india echo alpha cloud bravo ocean","https://example.com/pin/20","image","2024-05-04T21:10:00Z","2024-04-19T02:11:00Z","#04909a","alpha valley juliet india foxtrot echo","true","35652","44","841"
"pin_0021","brd_0011","","Alpha Forest Foxtrot","charlie india market stone forest forest foxtrot foxtrot","https://example.com/pin/21","video","2024-02-21T20:04:00Z","2024-12-03T13:33:00Z","#0d09f5","river echo delta mountain valley ocean","false","32577","281","708"
"pin_0022","brd_0136","sec_0116","Delta Mountain Cloud","foxtrot hotel bridge juliet bridge hotel charlie echo","https://example.com/pin/22","image","2024-09-06T06:30:00Z","2024-01-08T07:57:00Z","#099b62","tower ocean foxtrot india tower echo","false","1204","268","1061"
"pin_0023","brd_0043","","Alpha Foxtrot Forest","golf golf delta echo stone market juliet foxtrot","https://example.com/pin/23","image","2024-01-25T18:17:00Z","2024-04-29T17:02:00Z","#07196e","ocean cloud juliet mountain stone foxtrot","true","532","449","245"
"pin_0024","brd_0134","sec_0109","Bridge Alpha Forest","hotel forest echo river cloud forest river hotel","https://example.com/pin/24","video","2024-08-19T13:50:00Z","2024-01-05T00:55:00Z","#0da477","forest delta alpha market stone india","false","19215","377","1692"
"pin_0025","brd_0135","","Stone Cloud Echo","ocean stone alpha forest echo valley echo india","https://example.com/pin/25","image","2024-12-18T12:31:00Z","2024-09-14T01:16:00Z","#0e0459","mountain bridge india cloud tower bravo","false","16508","178","1612"
"pin_0026","brd_0034","sec_0150","Hotel Delta Foxtrot","charlie market river foxtrot river bravo market echo","https://example.com/pin/26","image","2024-06-26T16:56:00Z","2024-09-03T12:49:00Z","#09dacf","hotel stone foxtrot hotel market foxtrot","true","25277","165","1501"
"pin_0027","brd_0128","","Charlie Juliet River","juliet golf bridge cloud charlie golf india valley","https://example.com/pin/27","video","2024-04-01T08:27:00Z","2024-04-21T01:11:00Z","#0dcfc2","golf ocean cloud bridge market india","true","22068","246","1129"
"pin_0028","brd_0099","","Juliet Echo Mountain","alpha bridge valley charlie cloud delta golf india","https://example.com/pin/28","video","2024-05-20T15:39:00Z","2024-10-22T16:54:00Z","#064ceb","valley cloud charlie cloud bravo river","true","45354","81","984"
"pin_0029","brd_0108","sec_0037","Market Bridge Juliet","alpha river alpha delta echo stone alpha india","https://example.com/pin/29","image","2024-03-18T15:50:00Z","2024-04-03T04:17:00Z","#049156","cloud ocean bridge tower forest forest","true","28019","68","704"
"pin_0030","brd_0147","","Bridge Market Bravo","foxtrot bridge india juliet charlie echo cloud stone","https://example.com/pin/30","image","2024-09-25T01:38:00Z","2024-07-24T04:41:00Z","#0d4c16","bridge market hotel ocean bravo forest","true","37193","84","1143"
"pin_0031","brd_0060","","Alpha Charlie Stone","mountain cloud valley echo cloud valley market river","https://example.com/pin/31","video","2024-11-20T20:13:00Z","2024-07-10T20:19:00Z","#027f8d","valley bridge market golf bridge foxtrot","true","19730","312","1559"
"pin_0032","brd_0093","sec_0065","Market Hotel Juliet","golf juliet echo market india market golf golf","https://example.com/pin/32","image","2024-10-29T04:43:00Z","2024-06-06T02:55:00Z","#0e425d","delta valley juliet delta delta hotel","false","3503","266","197"
"pin_0033","brd_0077","","River Tower Ocean","charlie market charlie juliet hotel river river charlie","https://example.com/pin/33","video","2024-08-31T21:32:00Z","2024-08-07T08:45:00Z","#05f169","forest mountain delta bridge bravo delta","false","9812","345","1813"
"pin_0034","brd_0131","sec_0115","Alpha River Hotel","tower india ocean delta tower stone ocean valley","https://example.com/pin/34","video","2024-07-26T04:16:00Z","2024-05-28T07:29:00Z","#0829d4","ocean mountain tower forest bridge india","false","17165","187","1878"
"pin_0035","brd_0107","","Bravo Delta Tower","india bravo bravo bridge tower bridge tower valley","https://example.com/pin/35","video","2024-06-29T07:58:00Z","2024-09-16T16:46:00Z","#039792","tower ocean juliet foxtrot echo bravo","true","31267","331","1577"
"pin_0036","brd_0019","","Valley Cloud India","charlie bravo forest mountain market market juliet golf","https://example.com/pin/36","image","2024-07-03T17:37:00Z","2024-03-02T16:40:00Z","#086530","charlie stone juliet foxtrot market juliet","false","31348","40","705"
"pin_0037","brd_0103","sec_0046","Alpha Alpha Alpha","bridge forest bravo river foxtrot india golf india","https://example.com/pin/37","video","2024-10-29T01:51:00Z","2024-01-29T06:57:00Z","#08a213","bridge valley bridge tower valley bridge","false","27823","433","420"
"pin_0038","brd_0022","sec_0014","Ocean Juliet Foxtrot","echo ocean market india stone charlie echo forest","https://example.com/pin/38","video","2024-08-29T00:05:00Z","2024-03-15T12:43:00Z","#01d05e","forest valley bridge forest tower tower","true","26507","198","1204"
"pin_0039","brd_0042","","Charlie Tower Tower","echo charlie charlie forest mountain india alpha forest","https://example.com/pin/39","video","2024-03-08T16:07:00Z","2024-02-11T17:01:00Z","#04c28f","charlie hotel market golf hotel bravo","false","33167","95","1379"
"pin_0040","brd_0110","","Bridge Forest India","bridge valley market charlie golf stone charlie market","https://example.com/pin/40","image","2024-04-20T06:36:00Z","2024-03-02T15:09:00Z","#04b05a","ocean river delta ocean stone forest","false","21047","156","189"
"pin_0041","brd_0053","","Alpha Bridge Foxtrot","foxtrot ocean golf foxtrot golf delta foxtrot charlie","https://example.com/pin/41","image","2024-08-03T19:02:00Z","2024-09-01T01:50:00Z","#0f1f36","delta stone river bridge foxtrot charlie","false","6525","241","1675"
"pin_0042","brd_0142","","Juliet Hotel Echo","hotel alpha foxtrot ocean golf tower golf stone","https://example.com/pin/42","image","2024-09-11T11:14:00Z","2024-08-26T06:29:00Z","#04d91c","delta hotel bridge river golf juliet","false","20568","140","1166"
"pin_0043","brd_0122","sec_0031","Bridge Hotel River","bridge foxtrot valley valley india delta valley bravo","https://example.com/pin/43","image","2024-03-14T11:45:00Z","2024-09-18T11:15:00Z","#06847c","forest bravo stone bridge market river","true","33365","401","1446"
"pin_0044","brd_0121","","Cloud Alpha Echo","valley foxtrot river mountain river charlie mountain bridge","https://example.com/pin/44","video","2024-11-07T04:16:00Z","2024-07-22T02:00:00Z","#06d21d","forest river river echo market alpha","false","31844","311","583"
"pin_0045","brd_0007","sec_0084","Ocean Tower Golf","charlie river stone india bravo bridge india ocean","https://example.com/pin/45","image","2024-08-24T00:57:00Z","2024-07-16T02:01:00Z","#0c08da","hotel bravo ocean bravo mountain tower","false","16132","225","305"
"pin_0046","brd_0143","","Juliet Forest Alpha","stone market juliet india cloud bravo cloud charlie","https://example.com/pin/46","video","2024-06-14T23:04:00Z","2024-08-03T09:13:00Z","#0d7414","echo stone market market echo mountain","false","203","20","1214"
"pin_0047","brd_0117","sec_0065","Valley River India","ocean ocean cloud forest bridge forest juliet bravo","https://example.com/pin/47","video","2024-04-05T20:49:00Z","2024-12-17T06:03:00Z","#0c83f8","india cloud golf juliet market mountain","true","24973","162","1760"
"pin_0048","brd_0142","sec_0065","Forest Delta Alpha","forest stone bridge delta india india alpha cloud","https://example.com/pin/48","video","2024-03-29T19:32:00Z","2024-05-03T13:49:00Z","#02e25f","river golf bravo valley delta market","true","39206","206","412"
"pin_0049","brd_0131","sec_0002","India Ocean Valley","forest mountain ocean bravo bravo charlie valley delta","https://example.com/pin/49","video","2024-06-10T20:50:00Z","2024-09-26T02:44:00Z","#0e107c","india delta tower stone golf market","false","15442","212","1087"
"pin_0050","brd_0028","sec_0033","Alpha Cloud Charlie","golf india alpha stone market charlie delta bridge","https://example.com/pin/50","image","2024-09-02T06:33:00Z","2024-09-26T17:42:00Z","#02813f","bridge bravo charlie bravo foxtrot delta","false","23048","483","261"
"pin_0051","brd_0025","sec_0016","Alpha Mountain Foxtrot","delta valley forest forest alpha bridge bravo stone","https://example.com/pin/51","video","2024-02-29T10:32:00Z","2024-01-15T16:51:00Z","#077832","stone bravo cloud mountain valley valley","true","43624","358","620"
"pin_0052","brd_0028","sec_0043","Forest Golf Mountain","charlie delta market ocean bridge bravo market hotel","https://example.com/pin/52","image","2024-04-09T18:03:00Z","2024-10-28T15:15:00Z","#0a7307","alpha stone bravo stone echo bridge","true","39442","47","64"
"pin_0053","brd_0071","sec_0095","Golf Foxtrot Forest","market tower ocean golf india alpha golf echo","https://example.com/pin/53","video","2024-10-03T23:15:00Z","2024-06-22T19:04:00Z","#0e9732","delta golf echo india delta bridge","false","40346","316","1522"
"pin_0054","brd_0015","sec_0091","Ocean Cloud Bridge","cloud golf golf mountain ocean river bravo juliet","https://example.com/pin/54","image","2024-07-01T23:26:00Z","2024-04-08T20:24:00Z","#0efc36","foxtrot alpha stone stone hotel bridge","true","6676","279","760"
"pin_0055","brd_0090","","Bravo Tower India","juliet juliet tower india charlie bridge bravo valley","https://example.com/pin/55","video","2024-02-22T01:18:00Z","2024-03-29T01:15:00Z","#01dc7f","juliet bridge forest echo hotel charlie","true","21194","318","1698"
"pin_0056","brd_0120","sec_0138","Alpha Juliet Valley","valley hotel charlie valley stone bravo market echo","https://example.com/pin/56","video","2024-06-16T10:03:00Z","2024-08-12T09:33:00Z","#031dff","foxtrot bridge echo river foxtrot forest","true","26306","204","357"
"pin_0057","brd_0107","","Bravo Tower Market","forest echo valley echo foxtrot forest stone golf","https://example.com/pin/57","image","2024-06-12T10:57:00Z","2024-04-02T18:47:00Z","#0f08d0","valley delta juliet tower juliet delta","false","7792","469","1657"
"pin_0058","brd_0101","sec_0006","Bravo Charlie Echo","tower bridge cloud juliet india mountain market cloud","https://example.com/pin/58","video","2024-12-06T22:33:00Z","2024-11-24T18:10:00Z","#0aabfe","valley bravo bravo ocean tower charlie","false","36421","152","99"
"pin_0059","brd_0014","","Bridge Stone Alpha","tower foxtrot forest cloud alpha valley valley india","https://example.com/pin/59","image","2024-04-03T11:47:00Z","2024-07-08T23:10:00Z","#099d51","market ocean juliet juliet river alpha","true","17341","452","235"
"pin_0060","brd_0149","sec_0007","Tower Mountain India","cloud bridge juliet tower delta juliet stone ocean","https://example.com/pin/60","image","2024-10-17T00:21:00Z","2024-04-24T06:48:00Z","#026c41","charlie river golf mountain market india","false","1381","132","1081"
"pin_0061","brd_0096","sec_0082","Delta Bravo Ocean","tower ocean forest forest mountain charlie golf hotel","https://example.com/pin/61","image","2024-04-21T15:06:00Z","2024-06-14T23:45:00Z","#0205ab","alpha foxtrot market valley charlie market","true","5466","73","70"
"pin_0062","brd_0037","","Mountain India Valley","alpha cloud cloud india juliet hotel mountain golf","https://example.com/pin/62","video","2024-02-23T23:48:00Z","2024-09-15T13:56:00Z","#0b1f47","ocean india hotel mountain india river","true","27875","175","1921"
"pin_0063","brd_0132","","River Charlie Valley","echo stone charlie alpha bridge stone bravo juliet","https://example.com/pin/63","image","2024-02-10T07:21:00Z","2024-08-22T02:58:00Z","#0b6d28","bravo cloud cloud india forest juliet","false","23725","259","1038"
"pin_0064","brd_0022","sec_0135","Mountain Mountain Tower","india cloud juliet charlie hotel cloud valley golf","https://example.com/pin/64","video","2024-10-20T06:39:00Z","2024-02-29T21:30:00Z","#0a1877","delta mountain india tower ocean tower","false","43449","139","628"
"pin_0065","brd_0054","sec_0071","Delta Market Golf","tower golf river bravo market juliet juliet mountain","https://example.com/pin/65","video","2024-12-15T07:20:00Z","2024-09-07T18:00:00Z","#0f0271","delta forest bravo india market delta","true","30750","492","1496"
"pin_0066","brd_0053","","Golf Foxtrot India","charlie charlie hotel river delta stone stone charlie","https://example.com/pin/66","video","2024-07-27T02:39:00Z","2024-12-13T07:19:00Z","#0e9462","market juliet cloud alpha echo alpha","false","8726","133","744"
"pin_0067","brd_0051","sec_0021","Bridge Ocean Charlie","bridge ocean golf delta juliet cloud india foxtrot","https://example.com/pin/67","video","2024-08-11T11:54:00Z","2024-08-01T11:34:00Z","#058760","alpha delta forest bridge bravo bravo","false","17599","298","1927"
"pin_0068","brd_0116","","Foxtrot India Tower","delta bravo delta stone forest india stone golf","https://example.com/pin/68","video","2024-06-29T15:53:00Z","2024-12-08T04:07:00Z","#0c618e","echo bridge bravo tower bravo river","false","34537","469","495"
"pin_0069","brd_0013","sec_0044","River India Forest","delta alpha mountain bravo bridge bravo bridge alpha","https://example.com/pin/69","image","2024-04-06T13:26:00Z","2024-09-22T18:18:00Z","#0ea1db","stone stone juliet echo juliet foxtrot","false","12389","86","1960"
"pin_0070","brd_0075","","Charlie Bridge Bridge","tower hotel river bridge market juliet tower cloud","https://example.com/pin/70","image","2024-05-13T02:58:00Z","2024-03-30T17:05:00Z","#092d27","juliet juliet hotel river tower mountain","false","20414","94","1323"
"pin_0071","brd_0144","","Echo Mountain Foxtrot","alpha alpha delta cloud tower tower bridge forest","https://example.com/pin/71","video","2024-08-28T03:10:00Z","2024-01-26T01:28:00Z","#053cb3","tower bravo river market hotel river","false","9341","125","1267"
"pin_0072","brd_0122","","Cloud Tower Delta","bridge river market river river forest golf river","https://example.com/pin/72","video","2024-09-14T16:19:00Z","2024-02-29T18:48:00Z","#0be3d2","ocean golf delta india foxtrot bridge","true","4473","444","1083"
"pin_0073","brd_0134","sec_0002","Forest India Alpha","alpha charlie india echo ocean juliet market alpha","https://example.com/pin/73","video","2024-05-05T15:54:00Z","2024-01-03T21:28:00Z","#043703","bravo hotel river charlie bravo echo","true","22623","144","798"
"pin_0074","brd_0074","","Tower Stone Ocean","juliet tower mountain bravo tower bravo hotel alpha","https://example.com/pin/74","image","2024-06-15T14:35:00Z","2024-02-28T09:05:00Z","#03f25f","tower bridge alpha mountain forest echo","false","39256","474","276"
"pin_0075","brd_0138","sec_0062","River Bridge Mountain","market charlie bridge cloud tower foxtrot cloud alpha","https://example.com/pin/75","video","2024-05-09T07:48:00Z","2024-03-14T12:10:00Z","#0a1c84","bridge stone echo tower cloud hotel","true","21036","193","970"
"pin_0076","brd_0036","","Bridge Foxtrot Juliet","valley delta india bridge charlie valley stone echo","https://example.com/pin/76","image","2024-03-22T20:24:00Z","2024-01-23T21:43:00Z","#04fed4","delta charlie india hotel juliet valley","false","34681","109","625"
"pin_0077","brd_0070","","Echo Stone Mountain","mountain cloud forest market bravo forest forest bridge","https://example.com/pin/77","video","2024-12-03T04:17:00Z","2024-02-26T05:38:00Z","#0885e7","tower hotel stone hotel charlie cloud","true","9861","15","1558"
"pin_0078","brd_0057","","Stone Alpha Alpha","ocean delta echo india market mountain foxtrot golf","https://example.com/pin/78","video","2024-10-31T09:18:00Z","2024-05-19T23:19:00Z","#03c7b6","ocean stone stone bridge juliet india","true","10820","405","473"
"pin_0079","brd_0053","sec_0065","Echo Cloud Hotel","cloud stone mountain valley juliet golf echo river","https://example.com/pin/79","image","2024-02-24T12:21:00Z","2024-04-20T03:09:00Z","#083f67","foxtrot bridge cloud stone india hotel","false","2388","181","978"
"pin_0080","brd_0028","sec_0123","Hotel Stone Cloud","echo echo bridge echo hotel ocean cloud hotel","https://example.com/pin/80","image","2024-03-03T06:21:00Z","2024-10-09T09:07:00Z","#0db313","ocean forest echo foxtrot bravo echo","true","43476","71","48"
"pin_0081","brd_0033","sec_0034","Bravo Bridge Echo","mountain tower valley stone ocean alpha ocean market","https://example.com/pin/81","video","2024-08-03T07:00:00Z","2024-09-03T00:39:00Z","#0b7c4d","tower mountain market market mountain bridge","false","20596","488","879"
"pin_0082","brd_0144","sec_0026","Stone Ocean River","tower bravo alpha stone market river echo valley","https://example.com/pin/82","video","2024-01-08T18:15:00Z","2024-03-15T14:23:00Z","#049272","charlie forest stone mountain forest delta","true","3716","356","1896"
"pin_0083","brd_0021","sec_0063","Mountain Mountain Ocean","echo echo cloud hotel mountain stone mountain cloud","https://example.com/pin/83","video","2024-07-13T09:56:00Z","2024-12-15T03:04:00Z","#06f2fb","bravo forest foxtrot forest cloud foxtrot","false","21938","309","1791"
"pin_0084","brd_0038","","Ocean Bridge River","river india alpha market alpha juliet delta delta","https://example.com/pin/84","image","2024-01-07T16:32:00Z","2024-09-29T09:54:00Z","#0c1662","delta river echo tower stone echo","true","24029","108","1151"
"pin_0085","brd_0133","sec_0136","Charlie Delta Forest","golf valley foxtrot market mountain charlie forest charlie","https://example.com/pin/85","image","2024-02-13T00:42:00Z","2024-11-14T15:09:00Z","#0d76a5","tower river stone echo market bravo","true","2670","49","1980"
"pin_0086","brd_0093","sec_0026","Bridge Tower Valley","river mountain golf juliet alpha bridge stone cloud","https://example.com/pin/86","video","2024-12-10T14:53:00Z","2024-12-10T12:54:00Z","#085a83","cloud echo tower bravo tower golf","true","39213","372","1757"
"pin_0087","brd_0072","sec_0036","Bridge Hotel Forest","echo juliet foxtrot valley ocean delta cloud alpha","https://example.com/pin/87","video","2024-03-19T06:14:00Z","2024-03-06T14:58:00Z","#077c20","alpha cloud bridge mountain bridge market","true","32577","478","1889"
"pin_0088","brd_0074","sec_0149","Tower Alpha Tower","hotel india market bridge ocean forest echo alpha","https://example.com/pin/88","video","2024-04-12T14:10:00Z","2024-03-18T21:20:00Z","#093900","hotel foxtrot echo echo charlie mountain","true","13975","403","1051"
"pin_0089","brd_0143","sec_0140","Alpha River Mountain","river charlie tower echo tower cloud valley valley","https://example.com/pin/89","video","2024-09-28T13:08:00Z","2024-04-19T08:55:00Z","#03caab","cloud echo foxtrot ocean charlie golf","true","8069","132","1302"
"pin_0090","brd_0071","sec_0037","Valley Hotel Mountain","ocean ocean juliet alpha ocean charlie stone hotel","https://example.com/pin/90","image","2024-09-05T08:15:00Z","2024-06-03T05:07:00Z","#01f976","market echo stone mountain bridge valley","true","16413","360","205"
"pin_0091","brd_0112","","Hotel Bridge Alpha","tower mountain hotel valley river foxtrot river charlie","https://example.com/pin/91","image","2024-08-16T13:42:00Z","2024-12-24T13:07:00Z","#03e23e","foxtrot tower ocean hotel stone river","false","24875","217","618"
"pin_0092","brd_0110","sec_0145","Bridge Hotel Cloud","stone alpha river delta mountain juliet foxtrot stone","https://example.com/pin/92","video","2024-10-05T05:21:00Z","2024-05-28T10:29:00Z","#079732","echo foxtrot juliet river delta alpha","true","32236","339","791"
"pin_0093","brd_0131","","Bridge Valley Tower","forest market echo charlie foxtrot valley alpha foxtrot","https://example.com/pin/93","video","2024-04-26T10:10:00Z","2024-02-04T20:31:00Z","#0bb4a6","bravo golf mountain juliet hotel juliet","true","2962","413","1741"
"pin_0094","brd_0013","sec_0038","Delta Foxtrot Echo","bridge juliet river alpha alpha bravo bridge mountain","https://example.com/pin/94","image","2024-04-02T07:32:00Z","2024-10-05T09:03:00Z","#0f3813","river golf golf bridge india delta","true","36614","63","104"
"pin_0095","brd_0099","sec_0052","River Hotel Foxtrot","market india india forest foxtrot tower charlie stone","https://example.com/pin/95","image","2024-12-06T22:26:00Z","2024-06-14T02:25:00Z","#071848","bravo tower golf valley bridge mountain","false","2539","139","336"
"pin_0096","brd_0017","sec_0078","Hotel Echo India","bridge ocean juliet bravo alpha river golf bridge","https://example.com/pin/96","image","2024-07-27T20:38:00Z","2024-04-15T10:40:00Z","#091f76","hotel cloud market cloud delta valley","false","42390","484","396"
"pin_0097","brd_0055","sec_0111","Tower Delta Echo","tower bravo stone alpha juliet india juliet bridge","https://example.com/pin/97","video","2024-10-01T01:15:00Z","2024-02-16T13:53:00Z","#0b44d1","stone india india stone foxtrot hotel","false","1529","22","689"
"pin_0098","brd_0086","sec_0061","River Foxtrot Tower","tower foxtrot forest bravo cloud bravo stone delta","https://example.com/pin/98","video","2024-11-08T22:35:00Z","2024-03-18T13:41:00Z","#044aa3","charlie golf bridge india golf ocean","false","47225","176","1296"
"pin_0099","brd_0012","sec_0134","India Alpha India","foxtrot river bravo ocean valley bravo india echo","https://example.com/pin/99","image","2024-04-11T07:24:00Z","2024-04-12T09:20:00Z","#0e3a2a","ocean market foxtrot echo delta ocean","false","18277","136","1668"
"pin_0100","brd_0096","sec_0131","India River Foxtrot","bridge ocean valley stone india charlie tower stone","https://example.com/pin/100","video","2024-07-30T14:19:00Z","2024-11-29T00:40:00Z","#09503a","cloud river river india cloud stone","true","27860","8","1370"
"pin_0101","brd_0139","sec_0026","Golf Valley Hotel","delta stone forest tower foxtrot market valley india","https://example.com/pin/101","video","2024-08-31T01:26:00Z","2024-09-06T11:38:00Z","#07ce88","mountain alpha ocean alpha cloud alpha","true","44626","291","1525"
"pin_0102","brd_0116","","Golf Stone Alpha","golf river cloud bravo golf bravo golf india","https://example.com/pin/102","video","2024-07-30T18:22:00Z","2024-02-02T04:54:00Z","#07791b","bravo ocean valley market stone delta","true","18108","91","1880"
"pin_0103","brd_0039","","Juliet Hotel Juliet","golf charlie india market stone valley market stone","https://example.com/pin/103","video","2024-07-11T07:58:00Z","2024-06-21T21:35:00Z","#022665","mountain forest stone bridge juliet mountain","true","29368","52","546"
"pin_0104","brd_0032","sec_0028","Charlie Delta Alpha","tower market bridge market bravo tower tower stone","https://example.com/pin/104","image","2024-07-11T20:54:00Z","2024-12-22T06:05:00Z","#0de86f","echo cloud river india juliet bravo","true","40986","172","1933"
"pin_0105","brd_0033","sec_0028","Market Golf Charlie","bridge echo tower golf delta echo bravo valley","https://example.com/pin/105","video","2024-09-04T18:44:00Z","2024-08-19T20:46:00Z","#0eb829","alpha valley forest cloud ocean cloud","true","5222","404","1765"
"pin_0106","brd_0045","","Cloud Golf Echo","golf ocean echo forest bridge foxtrot mountain bravo","https://example.com/pin/106","image","2024-11-01T21:48:00Z","2024-10-15T06:34:00Z","#08dafe","cloud bridge foxtrot bravo india river","true","17320","493","1080"
"pin_0107","brd_0116","","Delta Echo Valley","river bravo ocean market valley bravo ocean stone","https://example.com/pin/107","image","2024-03-16T18:09:00Z","2024-05-19T01:05:00Z","#035dff","hotel mountain bridge bravo india ocean","false","15953","492","351"
"pin_0108","brd_0133","","Valley Stone Stone","alpha juliet bravo bridge river tower india bridge","https://example.com/pin/108","video","2024-11-25T01:42:00Z","2024-06-20T13:23:00Z","#0773d2","echo tower bridge bravo delta cloud","false","5513","210","140"
"pin_0109","brd_0117","","India Echo Stone","river golf valley cloud cloud stone india mountain","https://example.com/pin/109","video","2024-10-29T16:07:00Z","2024-05-22T22:57:00Z","#0447d8","cloud charlie hotel delta bridge bravo","true","19437","346","1935"
"pin_0110","brd_0071","sec_0038","Bridge Foxtrot Ocean","river juliet stone india india charlie market juliet","https://example.com/pin/110","image","2024-02-17T00:54:00Z","2024-10-20T05:03:00Z","#0f04e0","ocean echo river cloud india hotel","false","7655","311","688"
"pin_0111","brd_0085","sec_0124","River Delta Bravo","echo india golf juliet tower tower bridge cloud","https://example.com/pin/111","image","2024-11-28T15:09:00Z","2024-09-05T05:22:00Z","#0ee9bd","river forest hotel delta stone echo","true","7784","357","736"
"pin_0112","brd_0020","sec_0012","Stone Tower Charlie","stone river delta forest foxtrot bridge india echo","https://example.com/pin/112","image","2024-02-19T00:12:00Z","2024-06-16T16:01:00Z","#08cca0","juliet cloud bravo river delta bridge","false","47151","174","1723"
