"pin_id","date","impressions","saves","pin_clicks","outbound_clicks"
"pin_0070","2024-12-03","33768","30","1615","62"
"pin_0071","2024-05-05","47318","236","1773","470"
"pin_0072","2024-04-01","43353","139","1244","80"
"pin_0073","2024-10-01","36286","443","606","423"
"pin_0074","2024-01-17","48480","406","1170","206"
"pin_0075","2024-11-06","27577","162","1006","114"
"pin_0076","2024-09-27","45130","455","689","119"
"pin_0077","2024-11-17","30601","161","1723","481"
"pin_0078","2024-02-25","11621","478","309","6"
"pin_0079","2024-09-05","9087","43","1688","437"
"pin_0080","2024-06-11","37477","347","1113","324"
"pin_0081","2024-01-25","21724","196","11","90"
"pin_0082","2024-04-04","9939","137","1015","333"
"pin_0083","2024-01-19","15233","86","1312","471"
"pin_0084","2024-12-19","5610","121","1600","432"
"pin_0085","2024-04-07","30505","273","1794","454"
"pin_0086","2024-01-09","4003","198","1100","158"
"pin_0087","2024-01-06","40475","351","837","142"
"pin_0088","2024-03-16","37609","420","472","286"
"pin_0089","2024-07-04","21505","187","80","224"
"pin_0090","2024-11-17","38552","96","358","399"
"pin_0091","2024-01-04","2586","352","1449","373"
"pin_0092","2024-09-28","8841","336","262","410"
"pin_0093","2024-06-02","17622","348","1610","367"
"pin_0094","2024-10-30","8040","112","80","321"
"pin_0095","2024-07-15","6720","0","1048","189"
"pin_0096","2024-06-11","43122","414","995","28"
"pin_0097","2024-05-23","8042","296","385","208"
"pin_0098","2024-05-10","219","414","1542","451"
"pin_0099","2024-07-14","18065","500","201","191"
"pin_0100","2024-02-25","8218","260","279","93"
"pin_0101","2024-03-28","18940","57","459","343"
"pin_0102","2024-12-30","10917","381","1501","295"
"pin_0103","2024-07-09","4145","39","52","65"
"pin_0104","2024-05-05","11823","99","1798","378"
"pin_0105","2024-03-21","47366","497","1543","415"
"pin_0106","2024-03-02","14340","291","1183","326"
"pin_0107","2024-12-15","8996","474","1467","276"
"pin_0108","2024-06-10","33345","457","246","144"
"pin_0109","2024-04-05","32534","119","649","18"
"pin_0110","2024-03-29","9111","51","1460","137"
"pin_0111","2024-11-12","5658","200","1736","47"
"pin_0112","2024-01-27","45347","389","172","307"
"pin_0113","2024-10-24","22346","114","1397","72"
"pin_0114","2024-02-17","104","168","1250","245"
"pin_0115","2024-09-14","42143","152","1356","404"
"pin_0116","2024-04-01","43486","276","181","408"
"pin_0117","2024-05-30","42892","442","505","325"
"pin_0118","2024-06-14","8003","364","1336","316"
"pin_0119","2024-11-27","20066","352","1446","62"
"pin_0120","2024-11-15","37522","239","1933","310"
"pin_0121","2024-10-02","5781","248","832","123"
"pin_0122","2024-01-12","43653","54","1217","417"
"pin_0123","2024-12-01","49074","436","1717","384"
"pin_0124","2024-02-22","7179","178","565","410"
"pin_0125","2024-04-17","48047","58","1666","222"
"pin_0126","2024-12-19","29320","26","160","341"
"pin_0127","2024-05-29","7288","483","1892","0"
"pin_0128","2024-06-03","44288","500","1847","416"
"pin_0129","2024-10-13","34297","70","1669","14"
"pin_0130","2024-07-27","17294","340","712","194"
"pin_0131","2024-03-15","42544","320","60","322"
"pin_0132","2024-01-14","40480","280","385","323"
"pin_0133","2024-03-31","46338","253","390","221"
"pin_0134","2024-07-07","9608","331","1412","342"
"pin_0135","2024-10-15","13507","312","933","66"
"pin_0136","2024-07-10","41917","373","1439","64"
"pin_0137","2024-01-27","48811","326","645","193"
"pin_0138","2024-06-28","27102","352","1496","237"
"pin_0139","2024-11-12","47074","48","1802","390"
"pin_0140","2024-08-05","29242","484","1721","36"
"pin_0141","2024-03-13","30503","418","1654","488"
"pin_0142","2024-11-11","20462","411","555","361"
"pin_0143","2024-01-10","6451","116","44","178"
"pin_0144","2024-10-22","29626","66","657","408"
"pin_0145","2024-04-13","16357","332","1530","84"
"pin_0146","2024-06-07","41395","298","931","412"
"pin_0147","2024-01-23","30126","341","404","8"
"pin_0148","2024-07-21","36547","217","1774","280"
"pin_0149","2024-09-17","31073","493","1128","430"
"pin_0150","2024-08-11","7691","294","374","482"
