tracking_number,service_code,service_name,ship_date,origin_zip,dest_zip,weight_lb,currency,total_charge,label_url
1Z999250334,03,UPS Ground,2026-03-03,48864,49684,0.6,USD,10.86,https://ups.com/track/1Z999250334
1Z999428275,03,UPS Ground,2026-03-07,49684,49684,3.5,USD,1.86,https://ups.com/track/1Z999428275
1Z999AA0272,03,UPS Ground,2026-03-09,98188,49684,6.0,USD,0.00,https://ups.com/track/1Z999AA0272
1Z999721201,03,UPS Ground,2026-03-19,49684,49684,2.8,USD,11.29,https://ups.com/track/1Z999721201
1Z999383601,03,UPS Ground,2026-04-11,98188,49684,4.0,USD,6.09,https://ups.com/track/1Z999383601
1Z999793012,03,UPS Ground,2026-04-16,37206,49684,2.1,USD,0.70,https://ups.com/track/1Z999793012
1Z999556349,03,UPS Ground,2026-05-02,48864,49684,0.6,USD,5.33,https://ups.com/track/1Z999556349
1Z999721639,03,UPS Ground,2026-05-03,49684,49684,3.5,USD,0.55,https://ups.com/track/1Z999721639
1Z999466629,03,UPS Ground,2026-05-05,49684,49684,2.8,USD,5.30,https://ups.com/track/1Z999466629
1Z999671427,03,UPS Ground,2026-05-08,98188,49684,4.0,USD,10.01,https://ups.com/track/1Z999671427
1Z999334803,03,UPS Ground,2026-05-10,37206,49684,2.1,USD,0.96,https://ups.com/track/1Z999334803
1Z999555400,03,UPS Ground,2026-05-10,48864,49684,0.6,USD,4.09,https://ups.com/track/1Z999555400
1Z999556404,03,UPS Ground,2026-05-19,49684,49684,3.5,USD,8.90,https://ups.com/track/1Z999556404
1Z999379239,03,UPS Ground,2026-06-01,49684,49684,2.8,USD,6.59,https://ups.com/track/1Z999379239
1Z999348609,03,UPS Ground,2026-06-04,98188,49684,4.0,USD,11.96,https://ups.com/track/1Z999348609
1Z999273968,03,UPS Ground,2026-06-13,37206,49684,2.1,USD,6.11,https://ups.com/track/1Z999273968
1Z999449532,03,UPS Ground,2026-06-25,48864,49684,0.6,USD,8.00,https://ups.com/track/1Z999449532
1Z999251618,03,UPS Ground,2026-07-05,49684,49684,3.5,USD,2.23,https://ups.com/track/1Z999251618
1Z999656240,03,UPS Ground,2026-07-10,49684,49684,2.8,USD,3.80,https://ups.com/track/1Z999656240
1Z999896429,03,UPS Ground,2026-07-12,98188,49684,4.0,USD,0.28,https://ups.com/track/1Z999896429
1Z999769900,03,UPS Ground,2026-08-05,37206,49684,2.1,USD,6.78,https://ups.com/track/1Z999769900
1Z999987053,03,UPS Ground,2026-08-19,48864,49684,0.6,USD,1.03,https://ups.com/track/1Z999987053
1Z999AA0273,03,UPS Ground,2026-08-22,98188,49684,6.0,USD,0.00,https://ups.com/track/1Z999AA0273
1Z999508954,03,UPS Ground,2026-08-22,49684,49684,3.5,USD,11.34,https://ups.com/track/1Z999508954
1Z999107202,03,UPS Ground,2026-08-23,49684,49684,2.8,USD,11.76,https://ups.com/track/1Z999107202
1Z999628938,03,UPS Ground,2026-08-25,98188,49684,4.0,USD,1.59,https://ups.com/track/1Z999628938
1Z999889931,03,UPS Ground,2026-09-13,37206,49684,2.1,USD,9.23,https://ups.com/track/1Z999889931
1Z999423776,03,UPS Ground,2026-09-19,48864,49684,0.6,USD,8.67,https://ups.com/track/1Z999423776
1Z999928250,03,UPS Ground,2026-10-15,49684,49684,3.5,USD,0.95,https://ups.com/track/1Z999928250
1Z999168439,03,UPS Ground,2026-10-18,49684,49684,2.8,USD,3.24,https://ups.com/track/1Z999168439
1Z999455289,03,UPS Ground,2026-10-19,98188,49684,4.0,USD,5.61,https://ups.com/track/1Z999455289
1Z999921239,03,UPS Ground,2026-10-24,37206,49684,2.1,USD,5.76,https://ups.com/track/1Z999921239
