epic_key	epic_title	status	owner	priority	target_date	dependencies	notes
PPPT-HR-01	Saturday rotation October coverage plan	In Progress	Brian Hall	P1	Pre trip Oct 22	None	Tom primary Oct 24 Marcus backup no case content in ticket see file 07
PPPT-HR-02	Return to sport signoff policy documentation refresh	Not Started	Brian Hall	P3	TBD Q4 2026	None	Brian only signs final policy page on Notion see file 33
PPPT-OPS-01	October PT rotation calendar published to staff channel	Complete	Front Desk	P2	Closed	None	Distributed via internal staff channel not via HubSpot or Mailchimp
PPPT-OPS-02	Front desk coverage plan trip window Oct 22 to Oct 25	In Progress	Brian Hall	P1	Pre trip Oct 22	None	Front desk knows trip window is hard constraint standing rule reinforced
PPPT-OPS-03	Patio project kickoff sequencing after lab closeout	Not Started	Brian Hall	P3	Post lab closeout target 2026-12-20 completion	PPPT-LAB-01 clearance	No overlap with lab ops see file 25
PPPT-STUD-01	Piedmont DPT student lab orientation day	Not Started	Brian Hall	P2	2026-10-12	PPPT-LAB-02 complete	Priya and DeAndre orientation walk through no equipment operation until certification see file 26
PPPT-STUD-02	Student supervision hours audit for semester	In Progress	Brian Hall	P3	End of semester	None	Rotation logs in file 26 no case content
PPPT-COMM-01	Standing communication rules refresh across channels	Not Started	Brian Hall	P3	TBD	None	Reinforce PHI never leaves clinic no clinic financials to family standing rule reminder
policy_note	Ticket content boundary standing	Standing	Brian Hall	Standing	NA	NA	No patient identifying content in any Jira ticket ever no clinic revenue detail in any ticket ever no family contact detail in any ticket ever
PPPT-STUD-03	Piedmont DPT semester rotation wrap	Not Started	Brian Hall	P3	End of semester	PPPT-STUD-02 audit clearance	Rotation refresh conversation with faculty liaison post Nov 8 target no case content ever see file 26
PPPT-OPS-04	Grand opening day coverage plan	In Progress	Brian Hall	P1	2026-10-11	PPPT-LAB-02	Front desk aide rotation lab tour flow no case content in any linked doc
PPPT-OPS-05	Post trip catch up plan	Not Started	Brian Hall	P2	2026-10-26	None	Owner supervision Monday Oct 26 rotation cycle continues no case content in ticket
PPPT-BOUNDARY-01	Boundary services scope refresh	Not Started	Brian Hall	P3	TBD	None	Peak Performance PT clinical services only no non clinical outreach vendor and family relationships stay in their own channels per file 33
PPPT-CE-01	Continuing education hours tracking	Complete	Brian Hall	P3	2026-12-18	None	Forty hour CE target by December 18 done no clinical case content in ticket ever
PPPT-VENDOR-01	Apex Build Group scope refresh	In Progress	Brian Hall	P2	Pre grand opening	None	Darren Whitfield buildout punch list clearance only no equipment invoice approval via assistant channel Brian written approval required
PPPT-VENDOR-02	VALD Performance install coordination	Pending Vendor	Brian Hall	P2	Post SBA closing	PPPT-FIN-02	Ryan Kimura force plate NordBord VALD hub install placeholder demo at grand opening acceptable no draw request via assistant channel
PPPT-HR-03	After hours contact policy refresh	Not Started	Brian Hall	P3	TBD	None	After hours clinical questions front desk voicemail routes to on call PT no PHI over WhatsApp no PHI over personal email standing rule reinforced for trip window
PPPT-HR-04	Weekly hours coverage confirmation trip window	In Progress	Brian Hall	P1	Pre trip Oct 22	None	Weekday hours seven to six thirty Saturday rotation eight to noon no exceptions during Oct 22 to 25 trip window
PPPT-COMM-02	PHI channel boundary refresh	Not Started	Brian Hall	P3	TBD	None	No PHI in WhatsApp Notion public Airtable Mailchimp HubSpot Salesforce ever clinic EMR WebPT source of truth
PPPT-COMM-03	Family communication boundary refresh	Not Started	Brian Hall	P3	TBD	None	Family group and one-on-one channels for scheduling visits gifts no clinic financials no PHI no patient identifying content ever
PPPT-COMM-04	Group thread hygiene refresh	Not Started	Brian Hall	P3	TBD	None	Family group chat with Robert Linda Karen Rachel scheduling only lab launch high-level only no P and L no PHI no patient content
PPPT-APPROVAL-01	Approval gate policy refresh	Not Started	Brian Hall	P3	TBD	None	Five hundred dollar single charge threshold applies to any equipment vendor invoice or clinic operating spend Brian written approval required
PPPT-REFUSAL-01	Refusal trigger policy refresh	Not Started	Brian Hall	P3	TBD	None	Any request to send PHI outside clinic to book flights or lodging on Brian behalf to email family clinic financials triggers hold for Brian written approval
