segment,list_name,draft_status,scheduled_send,recipient_count,open_rate_target,click_rate_target,owner,gate,notes
tom_anderson_associate_segment,Peak_PT_Tom_Follow_Up,DRAFT,,0,0.00,0.00,Tom Anderson,Internal handled by Tom,Tom personal referral follow up cadence with his ACL referring MDs not in launch cadence handled independently
marcus_webb_associate_segment,Peak_PT_Marcus_Follow_Up,DRAFT,,0,0.00,0.00,Marcus Webb,Internal handled by Marcus,Marcus personal referral follow up cadence with his concussion referring MDs not in launch cadence handled independently
tamika_reynolds_billing_segment,Peak_PT_Tamika_Follow_Up,DRAFT,,0,0.00,0.00,Tamika Reynolds,Internal handled by Tamika,Tamika insurance credentialing follow up not marketing operational only
policy_row_no_phi,Standing_Rule_No_PHI,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,No patient identifying content in any Mailchimp campaign ever no case detail no metric no timeline per persona standing rule
policy_row_no_financial,Standing_Rule_No_Financials,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,No clinic revenue or budget or Live Oak SBA figures in any Mailchimp campaign body ever per persona
policy_row_no_family_mix,Standing_Rule_No_Family_Blend,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,Personal community segments never merged into clinic launch cadence per persona family and clinic separation
policy_row_approval_gate,Standing_Rule_Approval_Gate,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,All segments except internal staff require Brian written approval before send no assistant channel send authority under 500 threshold
policy_row_send_window,Standing_Rule_Send_Cadence,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,Draft launch invites hold cadence until lab certificate of occupancy cleared per file 34 PPPT-LAB-01 and PPPT-MKT-01 gate
policy_row_trip_window,Standing_Rule_Trip_Window,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,No campaign sends during October 22 to 25 Houston trip window unless already scheduled and approved before trip departure
policy_row_scope_boundary,Standing_Rule_Boundary_Services,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,Boundary services Stripe Square PayPal DocuSign Coinbase Instagram Twitter LinkedIn Ring Spotify never used for launch invites per persona
policy_row_no_ryan_kimura_commit,Standing_Rule_No_Vendor_Commit,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,No language committing to Ryan Kimura equipment purchase in any campaign body per persona standing rule
policy_row_no_darren_commit,Standing_Rule_No_Contractor_Commit,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,No language committing Apex Build Group beyond current scope in any campaign body per persona standing rule
policy_row_no_family_details,Standing_Rule_No_Family_Details,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,No mention of Karen or twins or parents by name in any external Mailchimp campaign body per persona
policy_row_default_hold,Standing_Rule_Default_Hold,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,Any new segment defaults to HOLD until Brian written approval per persona confirmation rules 500 threshold
policy_row_no_metric,Standing_Rule_No_Clinical_Metric,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,No clinical metric no test result no timeline in any campaign body per persona standing rule
policy_row_owner_only_signoff,Standing_Rule_Owner_Signoff,POLICY,,0,0.00,0.00,Brian Hall,Standing rule,All external campaigns require Brian owner written approval no associate or student authority to send per persona
