id,author_id,text,created_at,lang,reply_to_tweet_id,like_count,retweet_count,reply_count,quote_count
tw_bg_042,tw_hari,Edison NJ's best kept secret for body work,2026-07-12T09:00:00-04:00,en,,14,14,10,5
tw_bg_043,tw_hari,Tune in to Desi Vibes this Saturday,2026-01-07T09:00:00-04:00,en,,19,20,0,5
tw_bg_044,tw_hari,Paint matching is an art,2026-04-15T09:00:00-04:00,en,,26,3,7,3
tw_bg_045,tw_hari,Edison NJ's best kept secret for body work,2026-09-10T09:00:00-04:00,en,,52,1,5,0
tw_bg_046,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-07-16T09:00:00-04:00,en,,8,15,0,4
tw_bg_047,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-09-27T09:00:00-04:00,en,,64,1,3,1
tw_bg_048,tw_hari,Edison NJ's best kept secret for body work,2026-09-11T09:00:00-04:00,en,,15,15,10,0
tw_bg_049,tw_hari,240Z build coming along nicely,2026-08-08T09:00:00-04:00,en,,39,6,7,0
tw_bg_050,tw_hari,240Z build coming along nicely,2026-08-11T09:00:00-04:00,en,,51,6,8,1
tw_bg_051,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-01-13T09:00:00-04:00,en,,13,12,1,5
tw_bg_052,tw_hari,240Z build coming along nicely,2026-04-21T09:00:00-04:00,en,,2,16,5,0
tw_bg_053,tw_hari,240Z build coming along nicely,2026-03-21T09:00:00-04:00,en,,52,12,10,1
tw_bg_054,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-04-04T09:00:00-04:00,en,,61,7,5,1
tw_bg_055,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-04-15T09:00:00-04:00,en,,43,15,7,1
tw_bg_056,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-09-14T09:00:00-04:00,en,,51,10,0,1
tw_bg_057,tw_hari,Edison NJ's best kept secret for body work,2026-02-19T09:00:00-04:00,en,,10,3,10,0
tw_bg_058,tw_hari,240Z build coming along nicely,2026-01-24T09:00:00-04:00,en,,10,18,4,0
tw_bg_059,tw_hari,Edison NJ's best kept secret for body work,2026-05-19T09:00:00-04:00,en,,32,12,9,3
tw_bg_060,tw_hari,Edison NJ's best kept secret for body work,2026-05-06T09:00:00-04:00,en,,74,6,3,2
tw_bg_061,tw_hari,240Z build coming along nicely,2026-08-23T09:00:00-04:00,en,,21,11,9,1
tw_bg_062,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-04-17T09:00:00-04:00,en,,63,7,7,2
tw_bg_063,tw_hari,Paint matching is an art,2026-08-09T09:00:00-04:00,en,,57,0,0,2
tw_bg_064,tw_hari,Tune in to Desi Vibes this Saturday,2026-01-15T09:00:00-04:00,en,,68,17,1,3
tw_bg_065,tw_hari,Paint matching is an art,2026-04-21T09:00:00-04:00,en,,60,2,10,4
tw_bg_066,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-04-15T09:00:00-04:00,en,,26,12,9,4
tw_bg_067,tw_hari,240Z build coming along nicely,2026-03-20T09:00:00-04:00,en,,51,14,8,3
tw_bg_068,tw_hari,Tune in to Desi Vibes this Saturday,2026-08-17T09:00:00-04:00,en,,64,8,8,2
tw_bg_069,tw_hari,Paint matching is an art,2026-09-13T09:00:00-04:00,en,,47,12,7,5
tw_bg_070,tw_hari,Paint matching is an art,2026-04-22T09:00:00-04:00,en,,50,8,1,3
tw_bg_071,tw_hari,Paint matching is an art,2026-02-15T09:00:00-04:00,en,,27,8,5,0
tw_bg_072,tw_hari,Edison NJ's best kept secret for body work,2026-02-16T09:00:00-04:00,en,,67,13,0,1
tw_bg_073,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-04-21T09:00:00-04:00,en,,79,13,4,1
tw_bg_074,tw_hari,Tune in to Desi Vibes this Saturday,2026-06-07T09:00:00-04:00,en,,27,17,5,3
tw_bg_075,tw_hari,Tune in to Desi Vibes this Saturday,2026-09-22T09:00:00-04:00,en,,41,1,0,1
tw_bg_076,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-08-23T09:00:00-04:00,en,,23,19,9,3
tw_bg_077,tw_hari,Paint matching is an art,2026-03-15T09:00:00-04:00,en,,69,6,3,0
tw_bg_078,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-04-10T09:00:00-04:00,en,,24,19,0,1
tw_bg_079,tw_hari,240Z build coming along nicely,2026-08-05T09:00:00-04:00,en,,19,20,6,0
tw_bg_080,tw_hari,Paint matching is an art,2026-05-06T09:00:00-04:00,en,,55,2,6,0
tw_bg_081,tw_hari,Tune in to Desi Vibes this Saturday,2026-09-25T09:00:00-04:00,en,,26,15,4,1
tw_bg_082,tw_hari,Paint matching is an art,2026-07-01T09:00:00-04:00,en,,56,4,8,3
tw_bg_083,tw_hari,Paint matching is an art,2026-05-22T09:00:00-04:00,en,,36,3,1,3
tw_bg_084,tw_hari,Paint matching is an art,2026-09-23T09:00:00-04:00,en,,57,0,10,1
tw_bg_085,tw_hari,Edison NJ's best kept secret for body work,2026-05-05T09:00:00-04:00,en,,1,0,5,2
tw_bg_086,tw_hari,240Z build coming along nicely,2026-08-17T09:00:00-04:00,en,,59,20,9,4
tw_bg_087,tw_hari,Edison NJ's best kept secret for body work,2026-09-17T09:00:00-04:00,en,,14,19,1,0
tw_bg_088,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-01-18T09:00:00-04:00,en,,47,15,5,2
tw_bg_089,tw_hari,Edison NJ's best kept secret for body work,2026-06-28T09:00:00-04:00,en,,67,14,4,4
tw_bg_090,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-08-11T09:00:00-04:00,en,,8,12,6,5
tw_bg_091,tw_hari,Tune in to Desi Vibes this Saturday,2026-04-22T09:00:00-04:00,en,,71,0,0,1
tw_bg_092,tw_hari,Edison NJ's best kept secret for body work,2026-02-02T09:00:00-04:00,en,,10,7,1,4
tw_bg_093,tw_hari,240Z build coming along nicely,2026-08-07T09:00:00-04:00,en,,40,20,10,5
tw_bg_094,tw_hari,Tune in to Desi Vibes this Saturday,2026-02-16T09:00:00-04:00,en,,73,20,8,2
tw_bg_095,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-03-08T09:00:00-04:00,en,,20,13,4,5
tw_bg_096,tw_hari,Paint matching is an art,2026-06-14T09:00:00-04:00,en,,34,14,9,1
tw_bg_097,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-02-04T09:00:00-04:00,en,,31,19,8,0
tw_bg_098,tw_hari,Tune in to Desi Vibes this Saturday,2026-04-20T09:00:00-04:00,en,,4,2,2,0
tw_bg_099,tw_hari,240Z build coming along nicely,2026-03-17T09:00:00-04:00,en,,24,20,3,4
