id,author_id,text,created_at,lang,reply_to_tweet_id,like_count,retweet_count,reply_count,quote_count
twt_22,5127,Kanelbullar day,2023-06-29T00:00:00+00:00,en,,23,3,3,3
twt_23,5127,Sunday reading day,2023-02-04T00:00:00+00:00,en,,57,15,4,4
twt_24,5105,Bristol next month,2023-11-26T00:00:00+00:00,en,,47,9,7,2
twt_25,5102,New running route,2023-08-09T00:00:00+00:00,en,,1,6,4,4
twt_26,5116,Sunday reading day,2025-08-04T00:00:00+00:00,en,,49,1,5,0
twt_27,5101,New running route,2024-01-20T00:00:00+00:00,en,,37,0,0,0
twt_28,5119,Kanelbullar day,2025-10-15T00:00:00+00:00,en,,44,2,8,1
twt_29,5108,Book recommendation,2025-07-12T00:00:00+00:00,en,,24,7,9,1
twt_30,5129,Long weekend plans,2024-05-23T00:00:00+00:00,en,,51,18,9,4
twt_31,5111,Sunday roast weather,2023-06-23T00:00:00+00:00,en,,41,18,7,1
twt_32,5128,Sunday reading day,2023-08-10T00:00:00+00:00,en,,27,15,4,2
twt_33,5113,Sunday roast weather,2024-01-22T00:00:00+00:00,en,,10,11,4,4
twt_34,5101,Bike commute quiet morning,2024-08-22T00:00:00+00:00,en,,42,11,7,3
twt_35,5127,Autumn light on the river,2025-11-29T00:00:00+00:00,en,,7,1,0,2
twt_36,5118,Bike commute quiet morning,2023-03-23T00:00:00+00:00,en,,13,1,1,1
twt_37,5115,Bike commute quiet morning,2026-08-10T00:00:00+00:00,en,,34,9,8,2
twt_38,5103,New running route,2025-08-22T00:00:00+00:00,en,,18,9,1,0
twt_39,5121,Book recommendation,2026-09-21T00:00:00+00:00,en,,21,1,5,0
twt_40,5112,Autumn light on the river,2024-03-29T00:00:00+00:00,en,,42,7,9,0
twt_41,5107,Long weekend plans,2026-08-23T00:00:00+00:00,en,,31,6,5,4
twt_42,5115,New running route,2023-07-16T00:00:00+00:00,en,,4,17,2,2
twt_43,5103,Long weekend plans,2026-02-17T00:00:00+00:00,en,,35,19,4,4
twt_44,5103,Kanelbullar day,2026-04-13T00:00:00+00:00,en,,0,11,1,1
twt_45,5118,Sunday reading day,2026-04-17T00:00:00+00:00,en,,8,17,2,3
twt_46,5122,Long weekend plans,2026-01-05T00:00:00+00:00,en,,9,10,1,4
twt_47,5125,Bike commute quiet morning,2024-02-13T00:00:00+00:00,en,,11,6,5,1
twt_48,5115,Book recommendation,2023-06-11T00:00:00+00:00,en,,23,9,2,4
twt_49,5103,Sunday reading day,2024-12-28T00:00:00+00:00,en,,44,7,7,2
twt_50,5109,Long weekend plans,2026-07-20T00:00:00+00:00,en,,58,0,7,4
twt_51,5101,Book recommendation,2024-09-09T00:00:00+00:00,en,,25,6,1,3
twt_52,5117,Bike commute quiet morning,2026-01-31T00:00:00+00:00,en,,15,12,0,3
twt_53,5122,Sunday reading day,2025-11-17T00:00:00+00:00,en,,24,0,8,3
twt_54,5108,Podcast episode worth a listen,2024-07-25T00:00:00+00:00,en,,9,7,4,1
twt_55,5111,New running route,2023-10-26T00:00:00+00:00,en,,18,15,2,4
twt_56,5120,Sunday roast weather,2026-08-25T00:00:00+00:00,en,,8,1,2,4
twt_57,5121,New running route,2024-11-11T00:00:00+00:00,en,,45,14,6,3
twt_58,5106,New running route,2025-03-06T00:00:00+00:00,en,,57,19,2,3
twt_59,5101,Bristol next month,2024-01-23T00:00:00+00:00,en,,56,14,3,3
twt_60,5118,Bike commute quiet morning,2026-08-20T00:00:00+00:00,en,,52,14,7,3
twt_61,5124,Autumn light on the river,2024-01-10T00:00:00+00:00,en,,58,11,8,0
twt_62,5127,New running route,2024-07-09T00:00:00+00:00,en,,39,15,5,0
twt_63,5119,Sunday reading day,2024-05-10T00:00:00+00:00,en,,45,0,3,3
twt_64,5120,Podcast episode worth a listen,2023-10-02T00:00:00+00:00,en,,20,17,1,1
twt_65,5116,Sunday reading day,2026-05-13T00:00:00+00:00,en,,59,16,1,2
twt_66,5109,Book recommendation,2026-09-18T00:00:00+00:00,en,,23,7,5,1
twt_67,5126,Sunday reading day,2024-02-17T00:00:00+00:00,en,,57,15,6,0
twt_68,5118,Kanelbullar day,2023-06-06T00:00:00+00:00,en,,42,9,9,2
twt_69,5103,Sunday reading day,2025-06-15T00:00:00+00:00,en,,44,13,7,2
twt_70,5116,Book recommendation,2025-07-17T00:00:00+00:00,en,,55,9,5,4
twt_71,5112,Book recommendation,2024-05-30T00:00:00+00:00,en,,40,14,5,2
twt_72,5127,Bristol next month,2024-06-26T00:00:00+00:00,en,,4,10,3,0
twt_73,5123,Kanelbullar day,2024-02-02T00:00:00+00:00,en,,22,3,0,1
twt_74,5110,Bike commute quiet morning,2025-06-26T00:00:00+00:00,en,,42,15,7,3
twt_75,5119,Book recommendation,2023-01-25T00:00:00+00:00,en,,17,2,2,3
twt_76,5122,Bike commute quiet morning,2023-02-13T00:00:00+00:00,en,,44,8,9,1
twt_77,5108,Sunday reading day,2025-07-15T00:00:00+00:00,en,,8,9,2,2
twt_78,5112,Bristol next month,2025-03-01T00:00:00+00:00,en,,16,10,5,0
twt_79,5121,Autumn light on the river,2026-09-02T00:00:00+00:00,en,,57,14,8,2
twt_80,5111,Bike commute quiet morning,2025-12-27T00:00:00+00:00,en,,23,2,5,3
twt_81,5108,Autumn light on the river,2025-05-19T00:00:00+00:00,en,,45,2,9,0
twt_82,5129,Autumn light on the river,2025-02-22T00:00:00+00:00,en,,18,10,2,3
twt_83,5114,Bike commute quiet morning,2023-01-24T00:00:00+00:00,en,,34,12,4,0
twt_84,5103,Autumn light on the river,2026-01-10T00:00:00+00:00,en,,42,1,8,4
twt_85,5126,Long weekend plans,2025-11-15T00:00:00+00:00,en,,22,13,7,3
twt_86,5128,Sunday reading day,2024-12-20T00:00:00+00:00,en,,24,12,0,4
twt_87,5112,Bristol next month,2025-06-28T00:00:00+00:00,en,,12,10,8,0
twt_88,5123,Kanelbullar day,2026-02-15T00:00:00+00:00,en,,27,1,5,0
twt_89,5125,Sunday reading day,2023-04-01T00:00:00+00:00,en,,1,0,1,0
twt_90,5124,Sunday reading day,2026-07-14T00:00:00+00:00,en,,49,11,8,0
