pin_id,date,impressions,saves,pin_clicks,outbound_clicks
pin_5010,2026-03-23,535,6,21,12
pin_5010,2026-03-22,96,21,18,1
pin_5010,2026-03-21,77,34,20,5
pin_5011,2026-03-27,315,21,16,9
pin_5011,2026-03-26,270,7,2,13
pin_5011,2026-03-25,442,40,7,6
pin_5011,2026-03-24,113,21,14,5
pin_5011,2026-03-23,471,22,0,3
pin_5011,2026-03-22,63,32,4,7
pin_5011,2026-03-21,114,7,6,7
pin_5012,2026-03-27,410,26,15,9
pin_5012,2026-03-26,395,3,1,2
pin_5012,2026-03-25,468,19,16,14
pin_5012,2026-03-24,455,3,4,7
pin_5012,2026-03-23,27,17,23,14
pin_5012,2026-03-22,434,0,0,14
pin_5012,2026-03-21,176,7,24,13
pin_5013,2026-03-27,241,25,7,4
pin_5013,2026-03-26,122,5,6,15
pin_5013,2026-03-25,289,14,20,4
pin_5013,2026-03-24,338,32,16,3
pin_5013,2026-03-23,30,7,0,12
pin_5013,2026-03-22,494,10,16,9
pin_5013,2026-03-21,243,8,24,11
pin_5014,2026-03-27,237,26,1,3
pin_5014,2026-03-26,589,28,6,10
pin_5014,2026-03-25,348,20,17,1
pin_5014,2026-03-24,88,0,17,1
pin_5014,2026-03-23,497,15,4,2
pin_5014,2026-03-22,402,1,12,15
pin_5014,2026-03-21,350,21,0,3
pin_5015,2026-03-27,494,39,2,14
pin_5015,2026-03-26,98,21,23,2
pin_5015,2026-03-25,418,20,9,8
pin_5015,2026-03-24,510,15,16,6
pin_5015,2026-03-23,125,19,20,14
pin_5015,2026-03-22,20,27,24,9
pin_5015,2026-03-21,417,20,24,2
pin_5016,2026-03-27,46,12,15,0
pin_5016,2026-03-26,559,11,8,8
pin_5016,2026-03-25,506,37,21,6
pin_5016,2026-03-24,304,27,3,6
pin_5016,2026-03-23,449,25,8,13
pin_5016,2026-03-22,35,19,21,13
pin_5016,2026-03-21,500,36,15,15
pin_5017,2026-03-27,425,15,22,5
pin_5017,2026-03-26,162,8,22,2
pin_5017,2026-03-25,487,19,4,13
pin_5017,2026-03-24,548,13,6,14
pin_5017,2026-03-23,68,26,15,10
pin_5017,2026-03-22,12,19,20,15
pin_5017,2026-03-21,194,25,5,8
pin_5018,2026-03-27,573,16,7,14
pin_5018,2026-03-26,286,38,5,4
pin_5018,2026-03-25,573,22,19,10
pin_5018,2026-03-24,28,25,12,11
pin_5018,2026-03-23,521,26,23,5
pin_5018,2026-03-22,586,10,23,12
pin_5018,2026-03-21,572,33,3,2
pin_5019,2026-03-27,135,23,8,10
pin_5019,2026-03-26,600,14,22,14
pin_5019,2026-03-25,600,28,13,4
pin_5019,2026-03-24,157,5,16,7
pin_5019,2026-03-23,390,12,3,9
pin_5019,2026-03-22,174,7,12,12
pin_5019,2026-03-21,336,11,21,10
pin_5020,2026-03-27,201,7,24,15
pin_5020,2026-03-26,537,0,8,13
pin_5020,2026-03-25,158,31,13,2
pin_5020,2026-03-24,52,30,9,11
pin_5020,2026-03-23,440,19,23,9
pin_5020,2026-03-22,556,27,4,4
pin_5020,2026-03-21,232,39,3,1
