id,category,item,quantity,unit,cost,date,vendor,notes,createdTime
rec_o018,mineral,Mineral item 18,3,gallons,138.96,2027-03-15,Calvin's Hardware,,2026-10-01T00:00:00.000Z
rec_o019,vaccine,Vaccine item 19,24,bales,220.3,2027-03-15,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o020,bedding,Bedding item 20,2,lbs,89.91,2027-03-03,Blackfoot Feed,,2026-10-01T00:00:00.000Z
rec_o021,feed,Feed item 21,11,rolls,132.42,2027-03-15,Calvin's Hardware,,2026-10-01T00:00:00.000Z
rec_o022,supplement,Supplement item 22,50,gallons,20.14,2027-03-03,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o023,veterinary,Veterinary item 23,1,lbs,71.21,2027-03-22,Calvin's Hardware,,2026-10-01T00:00:00.000Z
rec_o024,fencing,Fencing item 24,50,bales,289.89,2027-03-13,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o025,fuel,Fuel item 25,41,gallons,429.53,2027-03-13,Blackfoot Feed,,2026-10-01T00:00:00.000Z
rec_o026,equipment,Equipment item 26,1,bales,98.27,2027-03-01,Interstate Fuel,,2026-10-01T00:00:00.000Z
rec_o027,hay,Hay item 27,44,gallons,199.3,2027-03-21,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o028,mineral,Mineral item 28,34,gallons,312.26,2027-03-03,Calvin's Hardware,,2026-10-01T00:00:00.000Z
rec_o029,vaccine,Vaccine item 29,50,bags,404.67,2027-03-21,Interstate Fuel,,2026-10-01T00:00:00.000Z
rec_o030,bedding,Bedding item 30,25,rolls,294.47,2027-03-10,Interstate Fuel,,2026-10-01T00:00:00.000Z
rec_o031,feed,Feed item 31,35,gallons,379.4,2027-03-20,Rocky Mountain Supply,,2026-10-01T00:00:00.000Z
rec_o032,supplement,Supplement item 32,15,lbs,219.55,2027-03-08,Rocky Mountain Supply,,2026-10-01T00:00:00.000Z
rec_o033,veterinary,Veterinary item 33,26,gallons,276.1,2027-03-22,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o034,fencing,Fencing item 34,42,rolls,441.19,2027-03-01,Interstate Fuel,,2026-10-01T00:00:00.000Z
rec_o035,fuel,Fuel item 35,43,rolls,62.79,2027-03-04,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o036,equipment,Equipment item 36,23,bales,137.22,2027-03-04,Calvin's Hardware,,2026-10-01T00:00:00.000Z
rec_o037,hay,Hay item 37,44,lbs,401.48,2027-03-05,Interstate Fuel,,2026-10-01T00:00:00.000Z
rec_o038,mineral,Mineral item 38,11,lbs,253.1,2027-03-14,Rocky Mountain Supply,,2026-10-01T00:00:00.000Z
rec_o039,vaccine,Vaccine item 39,48,lbs,355.68,2027-03-08,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o040,bedding,Bedding item 40,4,rolls,207.22,2027-03-22,Interstate Fuel,,2026-10-01T00:00:00.000Z
rec_op_n300,2026-11-29,fuel,379.01,completed,Ranch operation: fuel,,,,2026-10-01T00:00:00.000Z
rec_op_n301,2026-11-07,fuel,739.45,pending,Ranch operation: fuel,,,,2026-10-01T00:00:00.000Z
rec_op_n302,2027-02-08,feed_purchase,694.62,scheduled,Ranch operation: feed_purchase,,,,2026-10-01T00:00:00.000Z
rec_op_n303,2027-02-14,supplement,288.4,pending,Ranch operation: supplement,,,,2026-10-01T00:00:00.000Z
rec_op_n304,2026-10-08,fence_repair,244.2,scheduled,Ranch operation: fence_repair,,,,2026-10-01T00:00:00.000Z
rec_op_n305,2026-12-29,misc,695.58,scheduled,Ranch operation: misc,,,,2026-10-01T00:00:00.000Z
rec_op_n306,2026-12-16,misc,292.47,pending,Ranch operation: misc,,,,2026-10-01T00:00:00.000Z
rec_op_n307,2027-02-12,supplement,377.89,scheduled,Ranch operation: supplement,,,,2026-10-01T00:00:00.000Z
rec_op_n308,2026-09-18,fuel,468.14,completed,Ranch operation: fuel,,,,2026-10-01T00:00:00.000Z
rec_op_n309,2027-02-15,supplement,58.83,pending,Ranch operation: supplement,,,,2026-10-01T00:00:00.000Z
rec_op_n310,2026-11-30,supplement,324.21,pending,Ranch operation: supplement,,,,2026-10-01T00:00:00.000Z
rec_op_n311,2027-01-14,feed_purchase,408.88,completed,Ranch operation: feed_purchase,,,,2026-10-01T00:00:00.000Z
rec_op_n312,2026-09-02,hay,699.02,scheduled,Ranch operation: hay,,,,2026-10-01T00:00:00.000Z
rec_op_n313,2026-08-26,misc,36.89,completed,Ranch operation: misc,,,,2026-10-01T00:00:00.000Z
rec_op_n314,2026-11-13,feed_purchase,82.99,scheduled,Ranch operation: feed_purchase,,,,2026-10-01T00:00:00.000Z
rec_op_n315,2026-10-26,supplement,528.62,scheduled,Ranch operation: supplement,,,,2026-10-01T00:00:00.000Z
rec_op_n316,2027-01-20,supplement,764.46,pending,Ranch operation: supplement,,,,2026-10-01T00:00:00.000Z
rec_op_n317,2027-01-31,misc,701.1,completed,Ranch operation: misc,,,,2026-10-01T00:00:00.000Z
rec_op_n318,2027-01-06,vet_call,206.95,pending,Ranch operation: vet_call,,,,2026-10-01T00:00:00.000Z
rec_op_n319,2026-10-13,fuel,603.74,scheduled,Ranch operation: fuel,,,,2026-10-01T00:00:00.000Z
