id,tag_number,breed,sex,age_years,status,last_check,calving_due,calf_info,pasture,notes,createdTime
rec_h032,229,Angus Cross,M,5,open,2027-03-20,,,East Range,slight limp - monitoring,2026-10-01T00:00:00.000Z
rec_h033,230,Angus Cross,F,5,open,2027-03-21,2027-05-18,,North Pasture,healthy,2026-10-01T00:00:00.000Z
rec_h034,231,Hereford Cross,F,4,bred,2027-03-18,,,South Pasture,healthy,2026-10-01T00:00:00.000Z
rec_h035,232,Angus Cross,F,4,open,2027-03-20,2027-04-19,,East Range,needs mineral supplement,2026-10-01T00:00:00.000Z
rec_h036,233,Angus Cross,F,12,dry,2027-03-21,2027-05-15,,North Pasture,healthy,2026-10-01T00:00:00.000Z
rec_h037,234,Angus Cross,M,8,dry,2027-03-20,,,South Pasture,excellent,2026-10-01T00:00:00.000Z
rec_h038,235,Hereford Cross,F,12,nursing,2027-03-18,,,East Range,good body condition,2026-10-01T00:00:00.000Z
rec_h039,236,Angus Cross,F,6,dry,2027-03-19,2027-04-06,,North Pasture,slight limp - monitoring,2026-10-01T00:00:00.000Z
rec_h040,237,Angus Cross,F,2,nursing,2027-03-20,,,South Pasture,routine,2026-10-01T00:00:00.000Z
rec_h041,238,Angus Cross,F,5,open,2027-03-16,2027-03-06,,East Range,healthy,2026-10-01T00:00:00.000Z
rec_h042,239,Hereford Cross,M,4,due_may,2027-03-22,2027-03-15,,North Pasture,good body condition,2026-10-01T00:00:00.000Z
rec_h043,240,Angus Cross,F,10,dry,2027-03-22,,,South Pasture,healthy,2026-10-01T00:00:00.000Z
rec_h044,241,Angus Cross,F,5,open,2027-03-19,,,East Range,healthy,2026-10-01T00:00:00.000Z
rec_h045,242,Angus Cross,F,8,dry,2027-03-20,2027-03-01,,North Pasture,excellent,2026-10-01T00:00:00.000Z
rec_h046,243,Hereford Cross,F,3,bred,2027-03-18,,,South Pasture,good body condition,2026-10-01T00:00:00.000Z
rec_h047,244,Angus Cross,M,11,due_april,2027-03-21,2027-03-13,,East Range,routine,2026-10-01T00:00:00.000Z
rec_h048,245,Angus Cross,F,4,dry,2027-03-19,2027-04-20,,North Pasture,excellent,2026-10-01T00:00:00.000Z
rec_h049,246,Angus Cross,F,10,bred,2027-03-20,,,South Pasture,needs mineral supplement,2026-10-01T00:00:00.000Z
rec_h050,247,Hereford Cross,F,8,open,2027-03-17,,,East Range,good body condition,2026-10-01T00:00:00.000Z
rec_h051,248,Angus Cross,F,6,open,2027-03-18,2027-03-05,,North Pasture,slight limp - monitoring,2026-10-01T00:00:00.000Z
rec_h052,249,Angus Cross,M,3,due_april,2027-03-22,,,South Pasture,excellent,2026-10-01T00:00:00.000Z
rec_h053,250,Angus Cross,F,8,due_april,2027-03-16,2027-04-24,,East Range,slight limp - monitoring,2026-10-01T00:00:00.000Z
rec_h054,251,Hereford Cross,F,7,nursing,2027-03-21,2027-03-10,,North Pasture,good body condition,2026-10-01T00:00:00.000Z
rec_h055,252,Angus Cross,F,5,open,2027-03-22,,,South Pasture,needs mineral supplement,2026-10-01T00:00:00.000Z
rec_h056,253,Angus Cross,F,10,bred,2027-03-20,,,East Range,excellent,2026-10-01T00:00:00.000Z
rec_h057,254,Angus Cross,M,4,open,2027-03-21,2027-05-28,,North Pasture,needs mineral supplement,2026-10-01T00:00:00.000Z
rec_h058,255,Hereford Cross,F,5,dry,2027-03-18,,,South Pasture,needs mineral supplement,2026-10-01T00:00:00.000Z
rec_h059,256,Angus Cross,F,7,bred,2027-03-19,2027-04-03,,East Range,good body condition,2026-10-01T00:00:00.000Z
rec_h060,257,Angus Cross,F,6,due_april,2027-03-21,2027-04-11,,North Pasture,good body condition,2026-10-01T00:00:00.000Z
rec_h_n300,Tag-100,Angus cross,heifer,7,lactating,2027-03-02,Pasture south,,,,2026-10-01T00:00:00.000Z
rec_h_n301,Tag-127,Angus/Hereford,bull,3,healthy,2027-02-24,Pasture south,,,,2026-10-01T00:00:00.000Z
rec_h_n302,Tag-98,Black Angus,bull,5,healthy,2026-08-31,Pasture south,,,,2026-10-01T00:00:00.000Z
rec_h_n303,Tag-97,Angus cross,heifer,3,healthy,2026-10-28,Pasture north,,,,2026-10-01T00:00:00.000Z
rec_h_n304,Tag-135,Angus cross,steer,1,dry,2026-10-24,Pasture home,,,,2026-10-01T00:00:00.000Z
rec_h_n305,Tag-101,Black Angus,steer,7,healthy,2026-10-08,Pasture north,,,,2026-10-01T00:00:00.000Z
rec_h_n306,Tag-105,Angus/Hereford,heifer,3,healthy,2026-06-28,Pasture east,,,,2026-10-01T00:00:00.000Z
rec_h_n307,Tag-85,Black Angus,heifer,6,healthy,2026-12-31,Pasture home,,,,2026-10-01T00:00:00.000Z
rec_h_n308,Tag-108,Angus/Hereford,bull,3,healthy,2027-01-06,Pasture north,,,,2026-10-01T00:00:00.000Z
rec_h_n309,Tag-119,Angus cross,heifer,1,weaned,2026-09-15,Pasture north,,,,2026-10-01T00:00:00.000Z
rec_h_n310,Tag-90,Black Angus,heifer,3,healthy,2026-07-09,Pasture home,,,,2026-10-01T00:00:00.000Z
rec_h_n311,Tag-108,Angus cross,cow,8,bred,2026-10-28,Pasture east,,,,2026-10-01T00:00:00.000Z
rec_h_n312,Tag-125,Red Angus,cow,10,lactating,2027-01-19,Pasture east,,,,2026-10-01T00:00:00.000Z
rec_h_n313,Tag-130,Angus cross,steer,8,lactating,2026-09-10,Pasture south,,,,2026-10-01T00:00:00.000Z
rec_h_n314,Tag-121,Black Angus,cow,2,healthy,2026-08-12,Pasture south,,,,2026-10-01T00:00:00.000Z
rec_h_n315,Tag-130,Red Angus,steer,8,dry,2026-10-26,Pasture home,,,,2026-10-01T00:00:00.000Z
rec_h_n316,Tag-124,Red Angus,bull,3,lactating,2026-12-24,Pasture home,,,,2026-10-01T00:00:00.000Z
rec_h_n317,Tag-108,Angus cross,steer,1,dry,2026-06-21,Pasture east,,,,2026-10-01T00:00:00.000Z
rec_h_n318,Tag-81,Angus cross,bull,1,healthy,2026-06-11,Pasture north,,,,2026-10-01T00:00:00.000Z
rec_h_n319,Tag-128,Black Angus,steer,5,bred,2027-02-21,Pasture south,,,,2026-10-01T00:00:00.000Z
rec_h_n320,Tag-117,Angus/Hereford,cow,2,lactating,2027-02-07,Pasture east,,,,2026-10-01T00:00:00.000Z
rec_h_n321,Tag-106,Red Angus,heifer,8,healthy,2026-07-24,Pasture home,,,,2026-10-01T00:00:00.000Z
rec_h_n322,Tag-124,Angus/Hereford,cow,6,healthy,2026-12-23,Pasture north,,,,2026-10-01T00:00:00.000Z
rec_h_n323,Tag-100,Red Angus,steer,7,healthy,2026-07-30,Pasture north,,,,2026-10-01T00:00:00.000Z
rec_h_n324,Tag-122,Angus cross,cow,3,bred,2026-12-29,Pasture east,,,,2026-10-01T00:00:00.000Z
rec_h_n325,Tag-119,Angus/Hereford,cow,9,lactating,2027-01-13,Pasture east,,,,2026-10-01T00:00:00.000Z
rec_h_n326,Tag-115,Black Angus,steer,5,healthy,2027-01-11,Pasture north,,,,2026-10-01T00:00:00.000Z
rec_h_n327,Tag-120,Angus cross,heifer,9,weaned,2026-10-01,Pasture north,,,,2026-10-01T00:00:00.000Z
rec_h_n328,Tag-115,Angus/Hereford,cow,3,healthy,2026-09-24,Pasture north,,,,2026-10-01T00:00:00.000Z
rec_h_n329,Tag-121,Black Angus,bull,6,bred,2026-10-28,Pasture home,,,,2026-10-01T00:00:00.000Z
rec_h200,Tag 200,,,,sold,,,,,,2027-03-01T00:00:00.000Z
rec_h201,Tag 201,,,,open,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h202,Tag 202,,,,calved,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h203,Tag 203,,,,calved,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h204,Tag 204,,,,open,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h205,Tag 205,,,,calved,,,,,Twin,2027-03-01T00:00:00.000Z
rec_h206,Tag 206,,,,calved,,,,,,2027-03-01T00:00:00.000Z
rec_h207,Tag 207,,,,bred,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h208,Tag 208,,,,calved,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h209,Tag 209,,,,open,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h210,Tag 210,,,,bred,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h211,Tag 211,,,,open,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h212,Tag 212,,,,sold,,,,,,2027-03-01T00:00:00.000Z
rec_h213,Tag 213,,,,sold,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h214,Tag 214,,,,open,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h215,Tag 215,,,,calved,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h216,Tag 216,,,,calved,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h217,Tag 217,,,,calved,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h218,Tag 218,,,,dry,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h219,Tag 219,,,,dry,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h220,Tag 220,,,,calved,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h221,Tag 221,,,,bred,,,,,,2027-03-01T00:00:00.000Z
rec_h222,Tag 222,,,,open,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h223,Tag 223,,,,bred,,,,,Twin,2027-03-01T00:00:00.000Z
rec_h224,Tag 224,,,,dry,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h225,Tag 225,,,,dry,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h226,Tag 226,,,,dry,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h227,Tag 227,,,,bred,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h228,Tag 228,,,,sold,,,,,Twin,2027-03-01T00:00:00.000Z
rec_h229,Tag 229,,,,sold,,,,,,2027-03-01T00:00:00.000Z
rec_h230,Tag 230,,,,open,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h231,Tag 231,,,,bred,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h232,Tag 232,,,,dry,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h233,Tag 233,,,,calved,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h234,Tag 234,,,,sold,,,,,Twin,2027-03-01T00:00:00.000Z
rec_h235,Tag 235,,,,open,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h236,Tag 236,,,,sold,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h237,Tag 237,,,,bred,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h238,Tag 238,,,,dry,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h239,Tag 239,,,,open,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h240,Tag 240,,,,open,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h241,Tag 241,,,,dry,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h242,Tag 242,,,,calved,,,,,Twin,2027-03-01T00:00:00.000Z
rec_h243,Tag 243,,,,calved,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h244,Tag 244,,,,sold,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h245,Tag 245,,,,open,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h246,Tag 246,,,,bred,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h247,Tag 247,,,,sold,,,,,Twin,2027-03-01T00:00:00.000Z
rec_h248,Tag 248,,,,calved,,,,,Twin,2027-03-01T00:00:00.000Z
rec_h249,Tag 249,,,,sold,,,,,Twin,2027-03-01T00:00:00.000Z
rec_h250,Tag 250,,,,dry,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h251,Tag 251,,,,open,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h252,Tag 252,,,,sold,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h253,Tag 253,,,,open,,,,,,2027-03-01T00:00:00.000Z
rec_h254,Tag 254,,,,open,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h255,Tag 255,,,,calved,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h256,Tag 256,,,,dry,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h257,Tag 257,,,,open,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h258,Tag 258,,,,dry,,,,,,2027-03-01T00:00:00.000Z
rec_h259,Tag 259,,,,open,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h260,Tag 260,,,,sold,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h261,Tag 261,,,,sold,,,,,,2027-03-01T00:00:00.000Z
rec_h262,Tag 262,,,,calved,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h263,Tag 263,,,,bred,,,,,,2027-03-01T00:00:00.000Z
rec_h264,Tag 264,,,,sold,,,,,,2027-03-01T00:00:00.000Z
rec_h265,Tag 265,,,,sold,,,,,,2027-03-01T00:00:00.000Z
rec_h266,Tag 266,,,,sold,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h267,Tag 267,,,,open,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h268,Tag 268,,,,sold,,,,,Twin,2027-03-01T00:00:00.000Z
rec_h269,Tag 269,,,,dry,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h270,Tag 270,,,,open,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h271,Tag 271,,,,dry,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h272,Tag 272,,,,dry,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h273,Tag 273,,,,calved,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h274,Tag 274,,,,calved,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h275,Tag 275,,,,calved,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h276,Tag 276,,,,dry,,,,,Twin,2027-03-01T00:00:00.000Z
rec_h277,Tag 277,,,,open,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h278,Tag 278,,,,bred,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h279,Tag 279,,,,open,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h280,Tag 280,,,,dry,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h281,Tag 281,,,,open,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h282,Tag 282,,,,sold,,,,,,2027-03-01T00:00:00.000Z
rec_h283,Tag 283,,,,open,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h284,Tag 284,,,,sold,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h285,Tag 285,,,,dry,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h286,Tag 286,,,,bred,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h287,Tag 287,,,,calved,,,,,,2027-03-01T00:00:00.000Z
rec_h288,Tag 288,,,,open,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h289,Tag 289,,,,dry,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h290,Tag 290,,,,calved,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h291,Tag 291,,,,open,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h292,Tag 292,,,,calved,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h293,Tag 293,,,,bred,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h294,Tag 294,,,,open,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h295,Tag 295,,,,bred,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h296,Tag 296,,,,calved,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h297,Tag 297,,,,bred,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h298,Tag 298,,,,calved,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h299,Tag 299,,,,calved,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h300,Tag 300,,,,sold,,,,,No issues,2027-03-01T00:00:00.000Z
rec_h301,Tag 301,,,,bred,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h302,Tag 302,,,,calved,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h303,Tag 303,,,,calved,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h304,Tag 304,,,,sold,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h305,Tag 305,,,,sold,,,,,Scours treated,2027-03-01T00:00:00.000Z
rec_h306,Tag 306,,,,open,,,,,Breach corrected,2027-03-01T00:00:00.000Z
rec_h307,Tag 307,,,,sold,,,,,Assisted pull,2027-03-01T00:00:00.000Z
rec_h308,Tag 308,,,,dry,,,,,Normal delivery,2027-03-01T00:00:00.000Z
rec_h309,Tag 309,,,,bred,,,,,,2027-03-01T00:00:00.000Z
1,142,Angus Cross,F,3,bred,2027-03-10,2027-12-01,,South,"Bred to ranch bull BULL-04, confirmed March 10",2027-03-10
