service_code,service_name,origin_zip,dest_zip,weight_lb,currency,total_charge,transit_days,delivery_date
1022,Zephyr iris 23,1022,meadow-23,1022.0,EUR,241,1022,2026-05-26T10:46:00Z
1023,Pine pine 24,1023,ember-24,1023.0,EUR,660,1023,2026-04-22T09:16:00Z
1024,Zephyr meadow 25,1024,delta-25,1024.0,EUR,250,1024,2026-01-03T10:16:00Z
1025,Pine haze 26,1025,zephyr-26,1025.0,EUR,322,1025,2026-09-21T06:49:00Z
1026,Harbor orbit 27,1026,iris-27,1026.0,EUR,257,1026,2026-05-27T00:55:00Z
1027,Umber frost 28,1027,haze-28,1027.0,EUR,174,1027,2026-07-18T14:31:00Z
1028,Ember summit 29,1028,umber-29,1028.0,EUR,313,1028,2026-03-06T09:24:00Z
1029,Iris quartz 30,1029,ember-30,1029.0,EUR,407,1029,2026-03-17T11:40:00Z
1030,Kelp orbit 31,1030,summit-31,1030.0,EUR,595,1030,2026-09-08T14:22:00Z
1031,Pine alpha 32,1031,tidal-32,1031.0,EUR,138,1031,2026-05-03T20:26:00Z
1032,Zephyr kelp 33,1032,haze-33,1032.0,EUR,400,1032,2026-08-10T11:24:00Z
1033,Coral frost 34,1033,river-34,1033.0,EUR,761,1033,2026-09-17T03:58:00Z
1034,Alpha quartz 35,1034,willow-35,1034.0,EUR,523,1034,2026-09-18T22:07:00Z
1035,Jade meadow 36,1035,delta-36,1035.0,EUR,74,1035,2026-12-18T19:15:00Z
1036,Delta meadow 37,1036,meadow-37,1036.0,EUR,26,1036,2026-02-25T04:30:00Z
1037,Harbor harbor 38,1037,violet-38,1037.0,EUR,482,1037,2026-02-10T11:10:00Z
1038,Coral kelp 39,1038,haze-39,1038.0,EUR,736,1038,2026-05-19T08:33:00Z
1039,Meadow summit 40,1039,meadow-40,1039.0,EUR,266,1039,2026-03-08T02:24:00Z
1040,Cedar meadow 41,1040,jade-41,1040.0,EUR,572,1040,2026-01-05T21:03:00Z
1041,Jade alpha 42,1041,kelp-42,1041.0,EUR,832,1041,2026-11-25T14:55:00Z
1042,Tidal haze 43,1042,iris-43,1042.0,EUR,770,1042,2026-11-02T20:39:00Z
1043,River kelp 44,1043,river-44,1043.0,EUR,542,1043,2026-01-19T21:58:00Z
1044,Ember quartz 45,1044,haze-45,1044.0,EUR,812,1044,2026-12-04T15:57:00Z
1045,Coral jade 46,1045,quartz-46,1045.0,EUR,122,1045,2026-04-07T20:41:00Z
1046,Alpha ember 47,1046,alpha-47,1046.0,EUR,96,1046,2026-04-19T01:22:00Z
1047,Willow pine 48,1047,willow-48,1047.0,EUR,578,1047,2026-12-08T11:56:00Z
1048,Jade quartz 49,1048,tidal-49,1048.0,EUR,356,1048,2026-05-15T09:02:00Z
1049,Willow ember 50,1049,meadow-50,1049.0,EUR,538,1049,2026-05-05T23:34:00Z
1050,Bravo cedar 51,1050,frost-51,1050.0,EUR,228,1050,2026-03-23T00:52:00Z
1051,Willow delta 52,1051,jade-52,1051.0,EUR,551,1051,2026-01-04T13:03:00Z
1052,River pine 53,1052,meadow-53,1052.0,EUR,804,1052,2026-05-05T20:13:00Z
1053,Haze tidal 54,1053,summit-54,1053.0,EUR,286,1053,2026-09-21T07:39:00Z
1054,Tidal river 55,1054,summit-55,1054.0,EUR,124,1054,2026-12-26T04:58:00Z
1055,Coral summit 56,1055,pine-56,1055.0,EUR,341,1055,2026-02-06T19:54:00Z
1056,Tidal tidal 57,1056,pine-57,1056.0,EUR,260,1056,2026-06-23T06:35:00Z
1057,Umber kelp 58,1057,grove-58,1057.0,EUR,645,1057,2026-01-03T23:49:00Z
1058,Harbor grove 59,1058,coral-59,1058.0,EUR,712,1058,2026-01-08T14:54:00Z
1059,Summit harbor 60,1059,zephyr-60,1059.0,EUR,47,1059,2026-06-01T13:18:00Z
1060,Haze frost 61,1060,harbor-61,1060.0,EUR,826,1060,2026-06-06T17:04:00Z
1061,Kelp coral 62,1061,meadow-62,1061.0,EUR,63,1061,2026-11-15T17:43:00Z
1062,Cedar quartz 63,1062,tidal-63,1062.0,EUR,601,1062,2026-01-08T23:17:00Z
1063,Coral summit 64,1063,river-64,1063.0,EUR,39,1063,2026-09-26T05:16:00Z
1064,Frost frost 65,1064,pine-65,1064.0,EUR,530,1064,2026-11-01T04:19:00Z
1065,Willow alpha 66,1065,grove-66,1065.0,EUR,33,1065,2026-09-21T15:28:00Z
1066,Harbor willow 67,1066,coral-67,1066.0,EUR,34,1066,2026-02-23T18:14:00Z
1067,Grove meadow 68,1067,summit-68,1067.0,EUR,346,1067,2026-07-07T17:47:00Z
1068,Summit orbit 69,1068,jade-69,1068.0,EUR,601,1068,2026-07-03T23:42:00Z
1069,Alpha tidal 70,1069,grove-70,1069.0,EUR,875,1069,2026-09-06T07:17:00Z
1070,Kelp kelp 71,1070,violet-71,1070.0,EUR,120,1070,2026-07-23T19:32:00Z
1071,Orbit river 72,1071,kelp-72,1071.0,EUR,206,1071,2026-01-01T15:42:00Z
1072,Pine zephyr 73,1072,ember-73,1072.0,EUR,719,1072,2026-01-11T09:24:00Z
1073,Orbit violet 74,1073,cedar-74,1073.0,EUR,414,1073,2026-11-21T22:01:00Z
1074,Frost grove 75,1074,haze-75,1074.0,EUR,502,1074,2026-09-22T10:20:00Z
1075,Quartz jade 76,1075,quartz-76,1075.0,EUR,76,1075,2026-12-18T20:10:00Z
1076,Cedar meadow 77,1076,zephyr-77,1076.0,EUR,517,1076,2026-08-01T11:08:00Z
1077,Pine willow 78,1077,grove-78,1077.0,EUR,271,1077,2026-02-23T21:03:00Z
1078,Grove umber 79,1078,delta-79,1078.0,EUR,29,1078,2026-12-18T05:46:00Z
1079,Orbit iris 80,1079,tidal-80,1079.0,EUR,658,1079,2026-04-25T09:22:00Z
1080,Iris pine 81,1080,river-81,1080.0,EUR,408,1080,2026-08-01T06:37:00Z
1081,Meadow orbit 82,1081,alpha-82,1081.0,EUR,433,1081,2026-11-01T21:15:00Z
1082,Ember river 83,1082,jade-83,1082.0,EUR,880,1082,2026-05-23T06:54:00Z
1083,Umber ember 84,1083,violet-84,1083.0,EUR,395,1083,2026-08-05T08:40:00Z
1084,Delta jade 85,1084,alpha-85,1084.0,EUR,209,1084,2026-06-06T12:45:00Z
1085,Tidal meadow 86,1085,orbit-86,1085.0,EUR,96,1085,2026-12-26T07:33:00Z
1086,Harbor quartz 87,1086,zephyr-87,1086.0,EUR,236,1086,2026-06-25T00:00:00Z
1087,Cedar quartz 88,1087,meadow-88,1087.0,EUR,519,1087,2026-11-24T03:45:00Z
1088,Haze violet 89,1088,meadow-89,1088.0,EUR,445,1088,2026-12-11T18:53:00Z
1089,Iris river 90,1089,tidal-90,1089.0,EUR,165,1089,2026-05-02T10:36:00Z
1090,Frost grove 91,1090,cedar-91,1090.0,EUR,773,1090,2026-12-09T13:11:00Z
1091,River violet 92,1091,haze-92,1091.0,EUR,862,1091,2026-06-14T16:52:00Z
1092,Pine frost 93,1092,kelp-93,1092.0,EUR,331,1092,2026-11-23T22:30:00Z
1093,Alpha willow 94,1093,alpha-94,1093.0,EUR,603,1093,2026-12-08T14:39:00Z
1094,Quartz coral 95,1094,delta-95,1094.0,EUR,745,1094,2026-11-21T08:18:00Z
1095,Umber tidal 96,1095,iris-96,1095.0,EUR,342,1095,2026-06-26T08:57:00Z
1096,Zephyr summit 97,1096,summit-97,1096.0,EUR,673,1096,2026-02-02T09:03:00Z
1097,Pine tidal 98,1097,zephyr-98,1097.0,EUR,606,1097,2026-01-28T19:56:00Z
1098,Haze bravo 99,1098,kelp-99,1098.0,EUR,377,1098,2026-11-15T08:14:00Z
1099,Zephyr quartz 100,1099,coral-100,1099.0,EUR,706,1099,2026-01-02T01:27:00Z
