id,number,repo,title,body,state,user,assignee,labels,milestone,created_at,updated_at,closed_at,is_pull_request
gi-39,39,urisn-analysis,Routine task #39,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-40,40,urisn-analysis,Routine task #40,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-41,41,urisn-analysis,Routine task #41,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-42,42,urisn-pipeline,Routine task #42,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-43,43,urisn-analysis,Routine task #43,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-44,44,urisn-analysis,Routine task #44,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-45,45,urisn-analysis,Routine task #45,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-46,46,urisn-analysis,Routine task #46,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-47,47,urisn-pipeline,Routine task #47,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-48,48,urisn-pipeline,Routine task #48,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-49,49,urisn-analysis,Routine task #49,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-50,50,urisn-analysis,Routine task #50,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-51,51,urisn-analysis,Routine task #51,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-52,52,urisn-analysis,Routine task #52,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-53,53,urisn-analysis,Routine task #53,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-54,54,urisn-analysis,Routine task #54,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-55,55,urisn-analysis,Routine task #55,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-56,56,urisn-pipeline,Routine task #56,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-57,57,urisn-pipeline,Routine task #57,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-58,58,urisn-analysis,Routine task #58,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-59,59,urisn-pipeline,Routine task #59,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-60,60,urisn-analysis,Routine task #60,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-61,61,urisn-analysis,Routine task #61,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-62,62,urisn-pipeline,Routine task #62,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-63,63,urisn-analysis,Routine task #63,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-64,64,urisn-analysis,Routine task #64,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-65,65,urisn-analysis,Routine task #65,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-66,66,urisn-analysis,Routine task #66,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-67,67,urisn-analysis,Routine task #67,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-68,68,urisn-pipeline,Routine task #68,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-69,69,urisn-pipeline,Routine task #69,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-70,70,urisn-analysis,Routine task #70,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-71,71,urisn-analysis,Routine task #71,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-72,72,urisn-pipeline,Routine task #72,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-73,73,urisn-pipeline,Routine task #73,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-74,74,urisn-analysis,Routine task #74,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-75,75,urisn-pipeline,Routine task #75,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-76,76,urisn-pipeline,Routine task #76,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-77,77,urisn-pipeline,Routine task #77,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-78,78,urisn-analysis,Routine task #78,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-79,79,urisn-pipeline,Routine task #79,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-80,80,urisn-pipeline,Routine task #80,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-81,81,urisn-analysis,Routine task #81,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-82,82,urisn-analysis,Routine task #82,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-83,83,urisn-pipeline,Routine task #83,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-84,84,urisn-pipeline,Routine task #84,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-85,85,urisn-analysis,Routine task #85,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-86,86,urisn-analysis,Routine task #86,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-87,87,urisn-pipeline,Routine task #87,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-88,88,urisn-analysis,Routine task #88,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-89,89,urisn-pipeline,Routine task #89,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-90,90,urisn-analysis,Routine task #90,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-91,91,urisn-analysis,Routine task #91,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-92,92,urisn-pipeline,Routine task #92,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-93,93,urisn-analysis,Routine task #93,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-94,94,urisn-analysis,Routine task #94,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-95,95,urisn-pipeline,Routine task #95,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-96,96,urisn-pipeline,Routine task #96,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-97,97,urisn-analysis,Routine task #97,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-98,98,urisn-analysis,Routine task #98,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-99,99,urisn-analysis,Routine task #99,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-100,100,urisn-analysis,Routine task #100,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-101,101,urisn-analysis,Routine task #101,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-102,102,urisn-analysis,Routine task #102,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
