"ad_account_id","name","currency","country","status","created_at"
"ad_0091","Ad Account Valley Echo","USD","GB","PAUSED","2023-07-30T08:27:00Z"
"ad_0092","Ad Account Juliet Bridge","USD","AU","CLOSED","2023-01-29T19:20:00Z"
"ad_0093","Ad Account Forest Valley","USD","IN","PAUSED","2023-12-22T05:03:00Z"
"ad_0094","Ad Account Echo Juliet","USD","GB","CLOSED","2023-01-11T08:48:00Z"
"ad_0095","Ad Account Foxtrot Echo","EUR","US","CLOSED","2023-10-04T01:52:00Z"
"ad_0096","Ad Account River Valley","GBP","DE","ACTIVE","2023-12-06T18:53:00Z"
"ad_0097","Ad Account India Alpha","CAD","JP","CLOSED","2023-05-30T21:33:00Z"
"ad_0098","Ad Account Hotel Golf","EUR","CA","ACTIVE","2023-06-29T05:54:00Z"
"ad_0099","Ad Account Juliet Hotel","EUR","BR","PAUSED","2023-07-07T22:27:00Z"
"ad_0100","Ad Account Mountain Valley","EUR","CA","CLOSED","2023-03-31T15:31:00Z"
"ad_0101","Ad Account Golf Bravo","GBP","CA","PAUSED","2023-03-08T22:26:00Z"
"ad_0102","Ad Account Mountain Golf","EUR","CA","ACTIVE","2023-03-30T02:27:00Z"
"ad_0103","Ad Account Hotel Stone","EUR","CA","ACTIVE","2023-09-18T03:17:00Z"
"ad_0104","Ad Account Stone Juliet","EUR","CA","CLOSED","2023-01-12T23:58:00Z"
"ad_0105","Ad Account Forest Cloud","CAD","BR","PAUSED","2023-11-15T07:07:00Z"
"ad_0106","Ad Account Delta Bravo","GBP","IN","PAUSED","2023-12-31T06:24:00Z"
"ad_0107","Ad Account Charlie Echo","USD","BR","PAUSED","2023-11-24T11:13:00Z"
"ad_0108","Ad Account Echo Juliet","EUR","BR","PAUSED","2023-11-29T13:13:00Z"
"ad_0109","Ad Account Bravo Ocean","CAD","FR","CLOSED","2023-07-02T16:09:00Z"
"ad_0110","Ad Account Juliet Mountain","EUR","DE","CLOSED","2023-07-18T19:37:00Z"
"ad_0111","Ad Account Tower Golf","CAD","AU","CLOSED","2023-01-15T20:15:00Z"
"ad_0112","Ad Account Forest Ocean","EUR","IN","ACTIVE","2023-05-18T21:49:00Z"
"ad_0113","Ad Account Cloud Valley","EUR","CA","CLOSED","2023-09-26T22:12:00Z"
"ad_0114","Ad Account India Juliet","USD","MX","ACTIVE","2023-08-24T10:01:00Z"
"ad_0115","Ad Account Golf Bravo","EUR","FR","PAUSED","2023-02-19T01:31:00Z"
"ad_0116","Ad Account Bridge Mountain","USD","IN","CLOSED","2023-07-25T19:55:00Z"
"ad_0117","Ad Account Hotel Charlie","EUR","IN","CLOSED","2023-11-08T00:04:00Z"
"ad_0118","Ad Account Juliet Forest","CAD","CA","CLOSED","2023-08-22T00:52:00Z"
"ad_0119","Ad Account Bravo Delta","CAD","IN","ACTIVE","2023-11-25T03:22:00Z"
"ad_0120","Ad Account Ocean Delta","EUR","CA","ACTIVE","2023-07-19T01:23:00Z"
"ad_0121","Ad Account Stone Tower","USD","JP","CLOSED","2023-09-04T13:39:00Z"
"ad_0122","Ad Account Alpha Foxtrot","EUR","CA","PAUSED","2023-10-10T04:47:00Z"
"ad_0123","Ad Account Bridge Bravo","EUR","BR","ACTIVE","2023-10-25T23:00:00Z"
"ad_0124","Ad Account Cloud Cloud","GBP","BR","CLOSED","2023-02-23T01:52:00Z"
"ad_0125","Ad Account Cloud Ocean","GBP","FR","PAUSED","2023-07-07T19:53:00Z"
"ad_0126","Ad Account Charlie Bridge","GBP","US","ACTIVE","2023-06-03T16:39:00Z"
"ad_0127","Ad Account River Mountain","USD","FR","PAUSED","2023-12-31T08:51:00Z"
"ad_0128","Ad Account Echo Tower","USD","BR","ACTIVE","2023-02-10T23:03:00Z"
"ad_0129","Ad Account Stone Foxtrot","CAD","AU","ACTIVE","2023-02-06T16:44:00Z"
"ad_0130","Ad Account Hotel Valley","CAD","US","CLOSED","2023-02-04T18:34:00Z"
"ad_0131","Ad Account Juliet Bridge","GBP","FR","ACTIVE","2023-12-16T10:19:00Z"
"ad_0132","Ad Account Bridge Hotel","GBP","GB","CLOSED","2023-02-24T07:06:00Z"
"ad_0133","Ad Account Charlie Foxtrot","CAD","US","CLOSED","2023-10-25T15:12:00Z"
"ad_0134","Ad Account Foxtrot Charlie","EUR","US","PAUSED","2023-05-23T22:00:00Z"
"ad_0135","Ad Account India Valley","EUR","BR","ACTIVE","2023-11-29T17:53:00Z"
"ad_0136","Ad Account Cloud Cloud","EUR","AU","PAUSED","2023-10-08T22:07:00Z"
"ad_0137","Ad Account Delta Foxtrot","EUR","AU","CLOSED","2023-05-25T17:41:00Z"
"ad_0138","Ad Account Alpha Juliet","GBP","US","PAUSED","2023-09-30T08:46:00Z"
"ad_0139","Ad Account Valley Cloud","EUR","FR","CLOSED","2023-06-04T01:11:00Z"
"ad_0140","Ad Account Charlie India","CAD","JP","CLOSED","2023-01-03T04:06:00Z"
"ad_0141","Ad Account River Bravo","CAD","BR","ACTIVE","2023-06-21T05:28:00Z"
"ad_0142","Ad Account River Ocean","EUR","DE","PAUSED","2023-06-29T03:45:00Z"
"ad_0143","Ad Account Mountain Alpha","CAD","BR","PAUSED","2023-11-25T04:04:00Z"
"ad_0144","Ad Account Forest Alpha","GBP","US","PAUSED","2023-04-17T23:17:00Z"
"ad_0145","Ad Account Foxtrot Mountain","CAD","GB","ACTIVE","2023-12-16T21:33:00Z"
"ad_0146","Ad Account Foxtrot Golf","EUR","DE","ACTIVE","2023-04-28T14:15:00Z"
"ad_0147","Ad Account Golf Cloud","CAD","CA","PAUSED","2023-09-25T13:33:00Z"
"ad_0148","Ad Account Stone Market","GBP","CA","ACTIVE","2023-06-20T07:21:00Z"
"ad_0149","Ad Account Alpha Tower","GBP","BR","PAUSED","2023-05-14T20:25:00Z"
"ad_0150","Ad Account Stone Alpha","GBP","IN","PAUSED","2023-09-09T03:14:00Z"
