id,name,id_card,id_board,items
tr_chk_0020,Standard SOP,tr_crd_0020,tr_brd_002,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0021,Standard SOP,tr_crd_0021,tr_brd_002,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0022,Standard SOP,tr_crd_0022,tr_brd_002,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0023,Standard SOP,tr_crd_0023,tr_brd_003,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0024,Standard SOP,tr_crd_0024,tr_brd_003,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0025,Standard SOP,tr_crd_0025,tr_brd_003,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0026,Standard SOP,tr_crd_0026,tr_brd_003,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0027,Standard SOP,tr_crd_0027,tr_brd_003,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0028,Standard SOP,tr_crd_0028,tr_brd_003,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0029,Standard SOP,tr_crd_0029,tr_brd_003,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0030,Standard SOP,tr_crd_0030,tr_brd_003,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0031,Standard SOP,tr_crd_0031,tr_brd_003,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0032,Standard SOP,tr_crd_0032,tr_brd_003,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0033,Standard SOP,tr_crd_0033,tr_brd_003,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0034,Standard SOP,tr_crd_0034,tr_brd_004,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0035,Standard SOP,tr_crd_0035,tr_brd_004,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0036,Standard SOP,tr_crd_0036,tr_brd_004,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0037,Standard SOP,tr_crd_0037,tr_brd_004,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0038,Standard SOP,tr_crd_0038,tr_brd_004,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0039,Standard SOP,tr_crd_0039,tr_brd_004,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0040,Standard SOP,tr_crd_0040,tr_brd_004,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0041,Standard SOP,tr_crd_0041,tr_brd_004,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0042,Standard SOP,tr_crd_0042,tr_brd_004,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0043,Standard SOP,tr_crd_0043,tr_brd_004,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0044,Standard SOP,tr_crd_0044,tr_brd_004,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0045,Standard SOP,tr_crd_0045,tr_brd_005,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0046,Standard SOP,tr_crd_0046,tr_brd_005,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0047,Standard SOP,tr_crd_0047,tr_brd_005,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0048,Standard SOP,tr_crd_0048,tr_brd_005,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0049,Standard SOP,tr_crd_0049,tr_brd_005,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0050,Standard SOP,tr_crd_0050,tr_brd_005,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0051,Standard SOP,tr_crd_0051,tr_brd_005,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0052,Standard SOP,tr_crd_0052,tr_brd_005,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0053,Standard SOP,tr_crd_0053,tr_brd_005,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0054,Standard SOP,tr_crd_0054,tr_brd_005,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0055,Standard SOP,tr_crd_0055,tr_brd_005,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0056,Standard SOP,tr_crd_0056,tr_brd_006,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0057,Standard SOP,tr_crd_0057,tr_brd_006,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0058,Standard SOP,tr_crd_0058,tr_brd_006,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0059,Standard SOP,tr_crd_0059,tr_brd_006,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0060,Standard SOP,tr_crd_0060,tr_brd_006,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0061,Standard SOP,tr_crd_0061,tr_brd_006,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0062,Standard SOP,tr_crd_0062,tr_brd_006,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0063,Standard SOP,tr_crd_0063,tr_brd_006,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0064,Standard SOP,tr_crd_0064,tr_brd_006,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0065,Standard SOP,tr_crd_0065,tr_brd_006,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0066,Standard SOP,tr_crd_0066,tr_brd_006,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0067,Standard SOP,tr_crd_0067,tr_brd_007,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0068,Standard SOP,tr_crd_0068,tr_brd_007,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0069,Standard SOP,tr_crd_0069,tr_brd_007,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0070,Standard SOP,tr_crd_0070,tr_brd_007,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0071,Standard SOP,tr_crd_0071,tr_brd_007,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0072,Standard SOP,tr_crd_0072,tr_brd_007,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0073,Standard SOP,tr_crd_0073,tr_brd_007,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0074,Standard SOP,tr_crd_0074,tr_brd_007,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0075,Standard SOP,tr_crd_0075,tr_brd_007,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0076,Standard SOP,tr_crd_0076,tr_brd_007,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0077,Standard SOP,tr_crd_0077,tr_brd_007,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0078,Standard SOP,tr_crd_0078,tr_brd_008,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0079,Standard SOP,tr_crd_0079,tr_brd_008,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0080,Standard SOP,tr_crd_0080,tr_brd_008,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0081,Standard SOP,tr_crd_0081,tr_brd_008,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0082,Standard SOP,tr_crd_0082,tr_brd_008,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0083,Standard SOP,tr_crd_0083,tr_brd_008,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0084,Standard SOP,tr_crd_0084,tr_brd_008,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0085,Standard SOP,tr_crd_0085,tr_brd_008,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0086,Standard SOP,tr_crd_0086,tr_brd_008,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0087,Standard SOP,tr_crd_0087,tr_brd_008,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0088,Standard SOP,tr_crd_0088,tr_brd_008,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0089,Standard SOP,tr_crd_0089,tr_brd_009,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0090,Standard SOP,tr_crd_0090,tr_brd_009,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0091,Standard SOP,tr_crd_0091,tr_brd_009,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0092,Standard SOP,tr_crd_0092,tr_brd_009,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0093,Standard SOP,tr_crd_0093,tr_brd_009,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0094,Standard SOP,tr_crd_0094,tr_brd_009,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0095,Standard SOP,tr_crd_0095,tr_brd_009,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0096,Standard SOP,tr_crd_0096,tr_brd_009,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0097,Standard SOP,tr_crd_0097,tr_brd_009,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0098,Standard SOP,tr_crd_0098,tr_brd_009,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0099,Standard SOP,tr_crd_0099,tr_brd_009,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0100,Standard SOP,tr_crd_0100,tr_brd_010,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0101,Standard SOP,tr_crd_0101,tr_brd_010,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0102,Standard SOP,tr_crd_0102,tr_brd_010,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0103,Standard SOP,tr_crd_0103,tr_brd_010,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0104,Standard SOP,tr_crd_0104,tr_brd_010,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0105,Standard SOP,tr_crd_0105,tr_brd_010,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0106,Standard SOP,tr_crd_0106,tr_brd_010,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0107,Standard SOP,tr_crd_0107,tr_brd_010,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0108,Standard SOP,tr_crd_0108,tr_brd_010,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0109,Standard SOP,tr_crd_0109,tr_brd_010,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0110,Standard SOP,tr_crd_0110,tr_brd_010,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0111,Standard SOP,tr_crd_0111,tr_brd_011,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0112,Standard SOP,tr_crd_0112,tr_brd_011,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0113,Standard SOP,tr_crd_0113,tr_brd_011,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0114,Standard SOP,tr_crd_0114,tr_brd_011,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0115,Standard SOP,tr_crd_0115,tr_brd_011,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0116,Standard SOP,tr_crd_0116,tr_brd_011,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0117,Standard SOP,tr_crd_0117,tr_brd_011,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0118,Standard SOP,tr_crd_0118,tr_brd_011,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0119,Standard SOP,tr_crd_0119,tr_brd_011,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0120,Standard SOP,tr_crd_0120,tr_brd_011,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0121,Standard SOP,tr_crd_0121,tr_brd_011,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0122,Standard SOP,tr_crd_0122,tr_brd_012,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0123,Standard SOP,tr_crd_0123,tr_brd_012,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0124,Standard SOP,tr_crd_0124,tr_brd_012,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0125,Standard SOP,tr_crd_0125,tr_brd_012,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0126,Standard SOP,tr_crd_0126,tr_brd_012,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0127,Standard SOP,tr_crd_0127,tr_brd_012,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0128,Standard SOP,tr_crd_0128,tr_brd_012,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0129,Standard SOP,tr_crd_0129,tr_brd_012,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0130,Standard SOP,tr_crd_0130,tr_brd_012,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0131,Standard SOP,tr_crd_0131,tr_brd_012,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0132,Standard SOP,tr_crd_0132,tr_brd_012,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
