identifier,image,caption,date,centroid_lat,centroid_lon
epic_000033,2026-01-04T04:34:49Z,Caption 33,71.8135,73.3833,https://epic.gsfc.nasa.gov/33
epic_000034,2026-09-24T22:33:48Z,Caption 34,52.4485,-25.4435,https://epic.gsfc.nasa.gov/34
epic_000035,2026-08-06T09:34:43Z,Caption 35,-22.6107,-9.1004,https://epic.gsfc.nasa.gov/35
epic_000036,2026-06-22T00:21:45Z,Caption 36,44.2086,177.1927,https://epic.gsfc.nasa.gov/36
epic_000037,2026-05-21T17:57:09Z,Caption 37,52.8902,105.0945,https://epic.gsfc.nasa.gov/37
epic_000038,2026-06-25T07:52:16Z,Caption 38,-30.1674,30.3966,https://epic.gsfc.nasa.gov/38
epic_000039,2026-06-15T16:32:18Z,Caption 39,67.3025,124.3313,https://epic.gsfc.nasa.gov/39
epic_000040,2026-01-04T06:49:04Z,Caption 40,-77.9302,65.1366,https://epic.gsfc.nasa.gov/40
epic_000041,2026-03-09T01:40:46Z,Caption 41,64.0671,-111.2701,https://epic.gsfc.nasa.gov/41
epic_000042,2026-01-10T07:31:19Z,Caption 42,-7.8824,61.4366,https://epic.gsfc.nasa.gov/42
epic_000043,2026-01-25T12:00:43Z,Caption 43,5.9751,76.2505,https://epic.gsfc.nasa.gov/43
epic_000044,2026-07-13T15:48:27Z,Caption 44,45.6568,39.7319,https://epic.gsfc.nasa.gov/44
epic_000045,2026-07-19T12:52:12Z,Caption 45,-1.3474,-17.4664,https://epic.gsfc.nasa.gov/45
epic_000046,2026-01-27T06:13:44Z,Caption 46,42.9924,-74.3331,https://epic.gsfc.nasa.gov/46
epic_000047,2026-01-18T19:34:01Z,Caption 47,-83.4664,50.1048,https://epic.gsfc.nasa.gov/47
epic_000048,2026-05-06T01:21:24Z,Caption 48,31.6763,107.0209,https://epic.gsfc.nasa.gov/48
epic_000049,2026-02-26T15:15:13Z,Caption 49,-8.447,-142.5506,https://epic.gsfc.nasa.gov/49
epic_000050,2026-07-08T02:50:08Z,Caption 50,-57.8526,50.6514,https://epic.gsfc.nasa.gov/50
epic_000051,2026-01-07T19:24:12Z,Caption 51,32.4481,-164.4375,https://epic.gsfc.nasa.gov/51
epic_000052,2026-04-20T04:18:37Z,Caption 52,80.7089,-91.5634,https://epic.gsfc.nasa.gov/52
epic_000053,2026-01-28T10:57:40Z,Caption 53,37.1642,28.2096,https://epic.gsfc.nasa.gov/53
epic_000054,2026-07-22T04:48:42Z,Caption 54,-63.5994,161.9807,https://epic.gsfc.nasa.gov/54
epic_000055,2026-09-22T23:10:44Z,Caption 55,-48.6155,56.0543,https://epic.gsfc.nasa.gov/55
epic_000056,2026-10-10T08:10:29Z,Caption 56,13.2543,40.7414,https://epic.gsfc.nasa.gov/56
epic_000057,2026-02-11T03:52:47Z,Caption 57,56.7649,99.9348,https://epic.gsfc.nasa.gov/57
epic_000058,2026-09-10T15:08:20Z,Caption 58,11.9642,98.3334,https://epic.gsfc.nasa.gov/58
epic_000059,2026-08-18T13:15:03Z,Caption 59,-7.4582,-140.2195,https://epic.gsfc.nasa.gov/59
epic_000060,2026-05-09T04:08:19Z,Caption 60,40.5539,116.1539,https://epic.gsfc.nasa.gov/60
epic_000061,2026-04-19T18:32:44Z,Caption 61,-29.7398,26.9198,https://epic.gsfc.nasa.gov/61
epic_000062,2026-03-31T07:23:26Z,Caption 62,-56.0827,-43.9532,https://epic.gsfc.nasa.gov/62
epic_000063,2026-09-18T10:26:00Z,Caption 63,-10.8194,-178.9841,https://epic.gsfc.nasa.gov/63
epic_000064,2026-02-10T13:18:46Z,Caption 64,-7.7857,21.8927,https://epic.gsfc.nasa.gov/64
epic_000065,2026-06-30T13:54:09Z,Caption 65,-63.6622,-53.2377,https://epic.gsfc.nasa.gov/65
epic_000066,2026-01-01T05:10:42Z,Caption 66,-36.6555,46.6255,https://epic.gsfc.nasa.gov/66
epic_000067,2026-05-23T10:34:55Z,Caption 67,36.4836,-152.8183,https://epic.gsfc.nasa.gov/67
epic_000068,2026-05-31T17:08:06Z,Caption 68,-60.2999,168.5083,https://epic.gsfc.nasa.gov/68
epic_000069,2026-05-02T20:56:46Z,Caption 69,-54.9678,-164.2998,https://epic.gsfc.nasa.gov/69
epic_000070,2026-05-13T14:13:02Z,Caption 70,33.4423,133.3461,https://epic.gsfc.nasa.gov/70
epic_000071,2026-07-14T11:31:35Z,Caption 71,-24.5316,-88.1121,https://epic.gsfc.nasa.gov/71
epic_000072,2026-05-04T13:02:26Z,Caption 72,24.5508,71.3542,https://epic.gsfc.nasa.gov/72
epic_000073,2026-03-18T15:38:34Z,Caption 73,-77.0399,-142.0613,https://epic.gsfc.nasa.gov/73
epic_000074,2026-06-03T12:51:56Z,Caption 74,-3.4916,109.9142,https://epic.gsfc.nasa.gov/74
epic_000075,2026-06-21T15:53:18Z,Caption 75,76.0775,-1.9882,https://epic.gsfc.nasa.gov/75
epic_000076,2026-09-08T07:09:08Z,Caption 76,-45.7438,-37.1086,https://epic.gsfc.nasa.gov/76
epic_000077,2026-10-06T15:52:59Z,Caption 77,-73.0081,-41.7177,https://epic.gsfc.nasa.gov/77
epic_000078,2026-01-03T07:59:09Z,Caption 78,47.2387,138.7345,https://epic.gsfc.nasa.gov/78
epic_000079,2026-05-09T09:50:50Z,Caption 79,71.4094,128.7085,https://epic.gsfc.nasa.gov/79
epic_000080,2026-01-26T20:42:18Z,Caption 80,-0.3402,-113.6189,https://epic.gsfc.nasa.gov/80
epic_000081,2026-08-08T03:08:34Z,Caption 81,-4.6652,124.4295,https://epic.gsfc.nasa.gov/81
epic_000082,2026-07-14T16:41:57Z,Caption 82,-83.0958,-61.1233,https://epic.gsfc.nasa.gov/82
epic_000083,2026-10-14T19:48:40Z,Caption 83,-43.5713,57.5165,https://epic.gsfc.nasa.gov/83
epic_000084,2026-01-10T03:18:18Z,Caption 84,47.936,135.5363,https://epic.gsfc.nasa.gov/84
epic_000085,2026-03-01T01:45:31Z,Caption 85,81.3481,30.5266,https://epic.gsfc.nasa.gov/85
epic_000086,2026-10-03T19:20:46Z,Caption 86,-12.3038,114.106,https://epic.gsfc.nasa.gov/86
epic_000087,2026-08-13T11:52:28Z,Caption 87,29.5892,111.6778,https://epic.gsfc.nasa.gov/87
epic_000088,2026-03-23T12:44:54Z,Caption 88,57.9033,53.9713,https://epic.gsfc.nasa.gov/88
epic_000089,2026-01-29T09:25:04Z,Caption 89,48.3072,27.6927,https://epic.gsfc.nasa.gov/89
epic_000090,2026-02-08T14:03:19Z,Caption 90,-61.997,-70.0583,https://epic.gsfc.nasa.gov/90
epic_000091,2026-07-09T20:21:12Z,Caption 91,70.7168,-14.896,https://epic.gsfc.nasa.gov/91
epic_000092,2026-06-29T13:24:26Z,Caption 92,37.6432,168.2821,https://epic.gsfc.nasa.gov/92
epic_000093,2026-05-27T10:39:39Z,Caption 93,-28.7514,146.9129,https://epic.gsfc.nasa.gov/93
epic_000094,2026-09-21T11:49:05Z,Caption 94,84.8693,-138.0725,https://epic.gsfc.nasa.gov/94
epic_000095,2026-04-29T13:40:49Z,Caption 95,-44.616,171.8498,https://epic.gsfc.nasa.gov/95
epic_000096,2026-03-23T23:36:33Z,Caption 96,80.13,126.6665,https://epic.gsfc.nasa.gov/96
epic_000097,2026-07-24T09:45:13Z,Caption 97,9.2677,90.4801,https://epic.gsfc.nasa.gov/97
epic_000098,2026-01-16T22:42:16Z,Caption 98,65.4425,-154.2597,https://epic.gsfc.nasa.gov/98
epic_000099,2026-08-08T04:04:04Z,Caption 99,12.403,-173.1724,https://epic.gsfc.nasa.gov/99
epic_000100,2026-06-15T08:33:51Z,Caption 100,-67.8563,16.3002,https://epic.gsfc.nasa.gov/100
epic_000101,2026-09-18T15:51:27Z,Caption 101,29.5778,-160.8163,https://epic.gsfc.nasa.gov/101
epic_000102,2026-10-13T23:23:32Z,Caption 102,64.9403,-101.2728,https://epic.gsfc.nasa.gov/102
epic_000103,2026-02-21T14:35:51Z,Caption 103,21.5281,162.6795,https://epic.gsfc.nasa.gov/103
epic_000104,2026-01-29T11:11:33Z,Caption 104,70.9164,-54.7713,https://epic.gsfc.nasa.gov/104
epic_000105,2026-04-26T05:44:38Z,Caption 105,71.7848,70.7153,https://epic.gsfc.nasa.gov/105
epic_000106,2026-04-19T12:04:10Z,Caption 106,24.9382,90.1052,https://epic.gsfc.nasa.gov/106
epic_000107,2026-04-18T12:47:57Z,Caption 107,28.2886,-3.3227,https://epic.gsfc.nasa.gov/107
epic_000108,2026-09-21T23:30:03Z,Caption 108,-84.5653,-152.8353,https://epic.gsfc.nasa.gov/108
epic_000109,2026-03-03T03:55:53Z,Caption 109,-72.1225,-60.3137,https://epic.gsfc.nasa.gov/109
epic_000110,2026-05-01T20:23:15Z,Caption 110,-76.5071,49.0648,https://epic.gsfc.nasa.gov/110
epic_000111,2026-04-22T09:03:05Z,Caption 111,19.5783,37.9984,https://epic.gsfc.nasa.gov/111
epic_000112,2026-01-13T22:01:47Z,Caption 112,-69.8898,178.9707,https://epic.gsfc.nasa.gov/112
epic_000113,2026-05-28T14:54:43Z,Caption 113,57.1254,134.4807,https://epic.gsfc.nasa.gov/113
epic_000114,2026-05-03T10:21:27Z,Caption 114,-18.0169,-58.0314,https://epic.gsfc.nasa.gov/114
epic_000115,2026-01-10T18:33:42Z,Caption 115,44.5012,93.7536,https://epic.gsfc.nasa.gov/115
epic_000116,2026-07-26T23:21:04Z,Caption 116,10.6289,-51.9695,https://epic.gsfc.nasa.gov/116
epic_000117,2026-07-25T01:22:42Z,Caption 117,36.9999,-139.4519,https://epic.gsfc.nasa.gov/117
epic_000118,2026-01-30T04:34:18Z,Caption 118,-16.7898,-40.3029,https://epic.gsfc.nasa.gov/118
epic_000119,2026-03-18T15:29:25Z,Caption 119,-72.1923,-154.0972,https://epic.gsfc.nasa.gov/119
epic_000120,2026-05-19T17:51:02Z,Caption 120,-64.9252,-109.5878,https://epic.gsfc.nasa.gov/120
epic_000121,2026-03-17T01:51:42Z,Caption 121,-30.6151,-151.2993,https://epic.gsfc.nasa.gov/121
epic_000122,2026-10-09T12:50:55Z,Caption 122,-62.7596,-79.0134,https://epic.gsfc.nasa.gov/122
epic_000123,2026-03-08T21:41:34Z,Caption 123,27.5028,64.8176,https://epic.gsfc.nasa.gov/123
epic_000124,2026-07-21T03:19:22Z,Caption 124,10.3146,-131.477,https://epic.gsfc.nasa.gov/124
epic_000125,2026-04-26T15:56:03Z,Caption 125,-26.2005,-137.2054,https://epic.gsfc.nasa.gov/125
epic_000126,2026-09-02T02:05:55Z,Caption 126,3.9486,157.7829,https://epic.gsfc.nasa.gov/126
epic_000127,2026-02-03T15:26:29Z,Caption 127,-2.0963,9.0218,https://epic.gsfc.nasa.gov/127
epic_000128,2026-01-11T07:56:06Z,Caption 128,-24.6188,-129.4191,https://epic.gsfc.nasa.gov/128
epic_000129,2026-02-09T06:28:02Z,Caption 129,24.4881,68.5131,https://epic.gsfc.nasa.gov/129
epic_000130,2026-08-09T14:33:01Z,Caption 130,57.6819,-55.8986,https://epic.gsfc.nasa.gov/130
epic_000131,2026-08-07T16:58:51Z,Caption 131,-27.305,-5.8349,https://epic.gsfc.nasa.gov/131
epic_000132,2026-03-21T10:16:02Z,Caption 132,84.8549,-79.7472,https://epic.gsfc.nasa.gov/132
epic_000133,2026-02-24T09:45:17Z,Caption 133,16.513,134.1146,https://epic.gsfc.nasa.gov/133
epic_000134,2026-10-06T02:22:11Z,Caption 134,-26.5063,83.5265,https://epic.gsfc.nasa.gov/134
epic_000135,2026-07-25T15:13:15Z,Caption 135,-63.5349,5.0649,https://epic.gsfc.nasa.gov/135
epic_000136,2026-09-28T00:28:07Z,Caption 136,-65.5783,159.3083,https://epic.gsfc.nasa.gov/136
epic_000137,2026-01-10T21:38:35Z,Caption 137,-80.1243,-19.181,https://epic.gsfc.nasa.gov/137
epic_000138,2026-03-22T15:01:44Z,Caption 138,-22.6371,92.7009,https://epic.gsfc.nasa.gov/138
epic_000139,2026-04-11T21:14:18Z,Caption 139,-0.7014,-68.3662,https://epic.gsfc.nasa.gov/139
epic_000140,2026-01-07T09:40:47Z,Caption 140,47.4736,-143.6184,https://epic.gsfc.nasa.gov/140
epic_000141,2026-08-25T07:33:16Z,Caption 141,73.7934,100.2056,https://epic.gsfc.nasa.gov/141
epic_000142,2026-03-05T23:36:31Z,Caption 142,-88.2626,-31.8541,https://epic.gsfc.nasa.gov/142
epic_000143,2026-06-08T15:21:14Z,Caption 143,47.8752,-139.3264,https://epic.gsfc.nasa.gov/143
epic_000144,2026-09-09T16:23:53Z,Caption 144,73.5242,-133.0023,https://epic.gsfc.nasa.gov/144
epic_000145,2026-01-03T01:05:16Z,Caption 145,79.2496,-120.3761,https://epic.gsfc.nasa.gov/145
epic_000146,2026-02-13T14:41:22Z,Caption 146,-31.4201,-22.1444,https://epic.gsfc.nasa.gov/146
epic_000147,2026-05-20T20:42:08Z,Caption 147,34.689,-21.4904,https://epic.gsfc.nasa.gov/147
epic_000148,2026-05-12T12:02:21Z,Caption 148,-20.8929,-5.8127,https://epic.gsfc.nasa.gov/148
epic_000149,2026-09-25T23:22:10Z,Caption 149,52.9308,-82.3051,https://epic.gsfc.nasa.gov/149
