objectID,title,body,section,tags
SR-0030,What Kentucky Farmers Know,Guest Preacher Rev. Odell Cauthen | /sermons/sr-0030 | 2026-06-21,sermon,sermon;sunday
SR-0031,Midweek Prayer Summer Series One,Elder Bud Osteen |  | 2026-06-24,sermon,midweek;audio_only
SR-0032,The Word Made Flesh in Everyday Work,Pastor James Whitlow | /sermons/sr-0032 | 2026-06-28,sermon,sermon;sunday
SR-0033,Back to School with the Beatitudes,Pastor James Whitlow | /sermons/sr-0033 | 2026-07-05,sermon,sermon;sunday
SR-0034,A Cup of Cold Water,Pastor James Whitlow | /sermons/sr-0034 | 2026-07-12,sermon,sermon;sunday
SR-0035,The Faithful Steward,Pastor James Whitlow | /sermons/sr-0035 | 2026-07-19,sermon,sermon;sunday
SR-0036,Midweek Prayer Summer Series Two,Elder Bud Osteen |  | 2026-07-22,sermon,midweek;audio_only
SR-0037,Harvest and Gratitude,Pastor James Whitlow | /sermons/sr-0037 | 2026-07-26,sermon,sermon;sunday
SR-0038,Autumn of the Soul,Pastor James Whitlow | /sermons/sr-0038 | 2026-08-02,sermon,sermon;sunday
SR-0039,The Widow's Two Coins,Pastor James Whitlow | /sermons/sr-0039 | 2026-08-09,sermon,sermon;sunday
SR-0040,Elijah on the Mountain,Pastor James Whitlow | /sermons/sr-0040 | 2026-08-16,sermon,sermon;sunday
SR-0041,On Forgiving Seven Times Seventy,Pastor James Whitlow | /sermons/sr-0041 | 2026-08-23,sermon,sermon;sunday
SR-0042,Ruth in a Foreign Field,Pastor James Whitlow | /sermons/sr-0042 | 2026-08-30,sermon,sermon;sunday
SR-0043,What the Prophets Would Say Now,Pastor James Whitlow | /sermons/sr-0043 | 2026-09-06,sermon,sermon;sunday
SR-0044,The Quiet Work of the Spirit,Pastor James Whitlow | /sermons/sr-0044 | 2026-09-13,sermon,sermon;sunday
SR-0045,Midweek Prayer Fall Series One,Elder Bud Osteen |  | 2026-09-16,sermon,midweek;audio_only
SR-0046,A Farmer's Almanac and Providence,Pastor James Whitlow | /sermons/sr-0046 | 2026-09-20,sermon,sermon;sunday
SR-0047,What Baptism Still Means,Pastor James Whitlow | /sermons/sr-0047 | 2026-09-27,sermon,sermon;sunday
SR-0048,Autumn Communion,Pastor James Whitlow |  | 2026-10-04,sermon,sermon;sunday;pending_review
SR-0049,Preparing the Way,Pastor James Whitlow |  | 2026-10-11,sermon,sermon;sunday
SR-0050,Midweek Prayer Fall Series Two,Elder Bud Osteen |  | 2026-10-14,sermon,midweek;audio_only
SR-0051,Ambassadors of Reconciliation,Pastor James Whitlow |  | 2026-10-18,sermon,sermon;sunday
SR-0052,The Vine and the Branches Revisited,Pastor James Whitlow |  | 2026-10-25,sermon,sermon;sunday
PAGE-easter-2026-stale,Easter Services 2026 — Schedule, | /easter-service-2026 | 2026-03-15,page,easter;stale;404
PAGE-visit,Plan Your Visit, | /visit | 2020-04-01,page,visit;landing
PAGE-give,Give, | /give | 2020-04-01,page,give;landing
