id,contact_id,state,title,created_at,updated_at,assignee_id,open
conv-248,ic-348,snoozed,Chat 48,2026-11-01,2026-11-10,ic-agent2,False
conv-249,ic-349,closed,Chat 49,2026-11-01,2026-11-10,ic-agent2,True
conv-250,ic-350,snoozed,Chat 50,2026-11-01,2026-11-10,ic-agent2,True
conv-251,ic-351,open,Chat 51,2026-11-01,2026-11-10,ic-agent2,True
conv-252,ic-352,closed,Chat 52,2026-11-01,2026-11-10,ic-agent2,False
conv-253,ic-353,closed,Chat 53,2026-11-01,2026-11-10,ic-greg,False
conv-254,ic-354,open,Chat 54,2026-11-01,2026-11-10,ic-greg,True
conv-255,ic-355,open,Chat 55,2026-11-01,2026-11-10,ic-agent2,True
conv-256,ic-356,open,Chat 56,2026-11-01,2026-11-10,ic-agent2,False
conv-257,ic-357,snoozed,Chat 57,2026-11-01,2026-11-10,ic-greg,False
conv-258,ic-358,open,Chat 58,2026-11-01,2026-11-10,ic-agent2,True
conv-259,ic-359,closed,Chat 59,2026-11-01,2026-11-10,ic-agent2,True
conv-260,ic-360,closed,Chat 60,2026-11-01,2026-11-10,ic-agent2,False
conv-261,ic-361,closed,Chat 61,2026-11-01,2026-11-10,ic-greg,True
conv-262,ic-362,closed,Chat 62,2026-11-01,2026-11-10,ic-agent2,False
conv-263,ic-363,closed,Chat 63,2026-11-01,2026-11-10,ic-greg,False
conv-264,ic-364,closed,Chat 64,2026-11-01,2026-11-10,ic-agent2,True
conv-265,ic-365,snoozed,Chat 65,2026-11-01,2026-11-10,ic-greg,True
conv-266,ic-366,snoozed,Chat 66,2026-11-01,2026-11-10,ic-agent2,False
conv-267,ic-367,closed,Chat 67,2026-11-01,2026-11-10,ic-greg,False
conv-268,ic-368,open,Chat 68,2026-11-01,2026-11-10,ic-agent2,True
conv-269,ic-369,snoozed,Chat 69,2026-11-01,2026-11-10,ic-agent2,False
conv-270,ic-370,open,Chat 70,2026-11-01,2026-11-10,ic-greg,False
conv-271,ic-371,open,Chat 71,2026-11-01,2026-11-10,ic-greg,True
conv-272,ic-372,snoozed,Chat 72,2026-11-01,2026-11-10,ic-agent2,True
conv-273,ic-373,closed,Chat 73,2026-11-01,2026-11-10,ic-agent2,False
conv-274,ic-374,snoozed,Chat 74,2026-11-01,2026-11-10,ic-agent2,True
conv-275,ic-375,closed,Chat 75,2026-11-01,2026-11-10,ic-agent2,False
conv-276,ic-376,snoozed,Chat 76,2026-11-01,2026-11-10,ic-greg,True
conv-277,ic-377,closed,Chat 77,2026-11-01,2026-11-10,ic-agent2,True
conv-278,ic-378,closed,Chat 78,2026-11-01,2026-11-10,ic-agent2,False
conv-279,ic-379,snoozed,Chat 79,2026-11-01,2026-11-10,ic-greg,False
conv-280,ic-380,snoozed,Chat 80,2026-11-01,2026-11-10,ic-agent2,True
conv-281,ic-381,snoozed,Chat 81,2026-11-01,2026-11-10,ic-agent2,False
conv-282,ic-382,closed,Chat 82,2026-11-01,2026-11-10,ic-agent2,True
conv-283,ic-383,open,Chat 83,2026-11-01,2026-11-10,ic-greg,True
conv-284,ic-384,snoozed,Chat 84,2026-11-01,2026-11-10,ic-agent2,True
conv-285,ic-385,open,Chat 85,2026-11-01,2026-11-10,ic-greg,True
conv-286,ic-386,open,Chat 86,2026-11-01,2026-11-10,ic-greg,True
conv-287,ic-387,closed,Chat 87,2026-11-01,2026-11-10,ic-agent2,False
conv-288,ic-388,open,Chat 88,2026-11-01,2026-11-10,ic-agent2,False
conv-289,ic-389,snoozed,Chat 89,2026-11-01,2026-11-10,ic-agent2,True
conv-290,ic-390,closed,Chat 90,2026-11-01,2026-11-10,ic-agent2,False
conv-291,ic-391,closed,Chat 91,2026-11-01,2026-11-10,ic-greg,False
conv-292,ic-392,open,Chat 92,2026-11-01,2026-11-10,ic-greg,True
conv-293,ic-393,closed,Chat 93,2026-11-01,2026-11-10,ic-agent2,True
conv-294,ic-394,snoozed,Chat 94,2026-11-01,2026-11-10,ic-agent2,True
conv-295,ic-395,closed,Chat 95,2026-11-01,2026-11-10,ic-agent2,False
conv-296,ic-396,snoozed,Chat 96,2026-11-01,2026-11-10,ic-greg,True
conv-297,ic-397,open,Chat 97,2026-11-01,2026-11-10,ic-agent2,True
conv-298,ic-398,open,Chat 98,2026-11-01,2026-11-10,ic-greg,True
conv-299,ic-399,closed,Chat 99,2026-11-01,2026-11-10,ic-greg,True
conv-300,ic-400,open,Chat 100,2026-11-01,2026-11-10,ic-agent2,True
conv-301,ic-401,snoozed,Chat 101,2026-11-01,2026-11-10,ic-greg,False
conv-302,ic-402,closed,Chat 102,2026-11-01,2026-11-10,ic-greg,True
conv-303,ic-403,snoozed,Chat 103,2026-11-01,2026-11-10,ic-greg,True
conv-304,ic-404,snoozed,Chat 104,2026-11-01,2026-11-10,ic-agent2,False
conv-305,ic-405,closed,Chat 105,2026-11-01,2026-11-10,ic-greg,True
conv-306,ic-406,open,Chat 106,2026-11-01,2026-11-10,ic-agent2,False
conv-307,ic-407,open,Chat 107,2026-11-01,2026-11-10,ic-agent2,False
conv-308,ic-408,open,Chat 108,2026-11-01,2026-11-10,ic-agent2,False
conv-309,ic-409,snoozed,Chat 109,2026-11-01,2026-11-10,ic-agent2,False
conv-310,ic-410,closed,Chat 110,2026-11-01,2026-11-10,ic-greg,True
conv-311,ic-411,closed,Chat 111,2026-11-01,2026-11-10,ic-agent2,False
conv-312,ic-412,snoozed,Chat 112,2026-11-01,2026-11-10,ic-greg,False
conv-313,ic-413,open,Chat 113,2026-11-01,2026-11-10,ic-agent2,True
conv-314,ic-414,open,Chat 114,2026-11-01,2026-11-10,ic-greg,True
conv-315,ic-415,closed,Chat 115,2026-11-01,2026-11-10,ic-agent2,True
conv-316,ic-416,closed,Chat 116,2026-11-01,2026-11-10,ic-greg,True
conv-317,ic-417,snoozed,Chat 117,2026-11-01,2026-11-10,ic-agent2,True
conv-318,ic-418,snoozed,Chat 118,2026-11-01,2026-11-10,ic-agent2,False
conv-319,ic-419,snoozed,Chat 119,2026-11-01,2026-11-10,ic-agent2,True
conv-320,ic-420,closed,Chat 120,2026-11-01,2026-11-10,ic-agent2,True
conv-321,ic-421,open,Chat 121,2026-11-01,2026-11-10,ic-agent2,False
conv-322,ic-422,closed,Chat 122,2026-11-01,2026-11-10,ic-agent2,True
conv-323,ic-423,open,Chat 123,2026-11-01,2026-11-10,ic-greg,False
conv-324,ic-424,snoozed,Chat 124,2026-11-01,2026-11-10,ic-greg,True
conv-325,ic-425,closed,Chat 125,2026-11-01,2026-11-10,ic-agent2,True
conv-326,ic-426,closed,Chat 126,2026-11-01,2026-11-10,ic-greg,True
conv-327,ic-427,open,Chat 127,2026-11-01,2026-11-10,ic-agent2,True
conv-328,ic-428,snoozed,Chat 128,2026-11-01,2026-11-10,ic-agent2,False
conv-329,ic-429,open,Chat 129,2026-11-01,2026-11-10,ic-agent2,True
conv-330,ic-430,snoozed,Chat 130,2026-11-01,2026-11-10,ic-agent2,True
conv-331,ic-431,open,Chat 131,2026-11-01,2026-11-10,ic-greg,True
conv-332,ic-432,snoozed,Chat 132,2026-11-01,2026-11-10,ic-agent2,False
conv-333,ic-433,closed,Chat 133,2026-11-01,2026-11-10,ic-greg,True
conv-334,ic-434,closed,Chat 134,2026-11-01,2026-11-10,ic-agent2,True
conv-335,ic-435,open,Chat 135,2026-11-01,2026-11-10,ic-greg,False
conv-336,ic-436,closed,Chat 136,2026-11-01,2026-11-10,ic-greg,True
conv-337,ic-437,snoozed,Chat 137,2026-11-01,2026-11-10,ic-agent2,False
conv-338,ic-438,snoozed,Chat 138,2026-11-01,2026-11-10,ic-greg,True
conv-339,ic-439,closed,Chat 139,2026-11-01,2026-11-10,ic-agent2,True
conv-340,ic-440,closed,Chat 140,2026-11-01,2026-11-10,ic-greg,True
conv-341,ic-441,closed,Chat 141,2026-11-01,2026-11-10,ic-agent2,False
conv-342,ic-442,open,Chat 142,2026-11-01,2026-11-10,ic-greg,False
conv-343,ic-443,open,Chat 143,2026-11-01,2026-11-10,ic-greg,False
conv-344,ic-444,open,Chat 144,2026-11-01,2026-11-10,ic-greg,False
conv-345,ic-445,open,Chat 145,2026-11-01,2026-11-10,ic-greg,True
conv-346,ic-446,snoozed,Chat 146,2026-11-01,2026-11-10,ic-greg,True
conv-347,ic-447,snoozed,Chat 147,2026-11-01,2026-11-10,ic-greg,True
conv-348,ic-448,snoozed,Chat 148,2026-11-01,2026-11-10,ic-agent2,False
conv-349,ic-449,closed,Chat 149,2026-11-01,2026-11-10,ic-greg,False
conv-350,ic-300,open,Chat 150,2026-11-01,2026-11-10,ic-greg,True
conv-351,ic-301,closed,Chat 151,2026-11-01,2026-11-10,ic-agent2,False
conv-352,ic-302,closed,Chat 152,2026-11-01,2026-11-10,ic-agent2,True
conv-353,ic-303,snoozed,Chat 153,2026-11-01,2026-11-10,ic-greg,False
conv-354,ic-304,open,Chat 154,2026-11-01,2026-11-10,ic-agent2,False
conv-355,ic-305,closed,Chat 155,2026-11-01,2026-11-10,ic-agent2,False
conv-356,ic-306,closed,Chat 156,2026-11-01,2026-11-10,ic-greg,False
conv-357,ic-307,closed,Chat 157,2026-11-01,2026-11-10,ic-greg,True
conv-358,ic-308,open,Chat 158,2026-11-01,2026-11-10,ic-greg,False
conv-359,ic-309,closed,Chat 159,2026-11-01,2026-11-10,ic-agent2,False
conv-360,ic-310,open,Chat 160,2026-11-01,2026-11-10,ic-agent2,False
conv-361,ic-311,snoozed,Chat 161,2026-11-01,2026-11-10,ic-greg,False
conv-362,ic-312,closed,Chat 162,2026-11-01,2026-11-10,ic-agent2,True
conv-363,ic-313,snoozed,Chat 163,2026-11-01,2026-11-10,ic-greg,True
conv-364,ic-314,closed,Chat 164,2026-11-01,2026-11-10,ic-agent2,True
conv-365,ic-315,closed,Chat 165,2026-11-01,2026-11-10,ic-agent2,True
conv-366,ic-316,snoozed,Chat 166,2026-11-01,2026-11-10,ic-greg,False
conv-367,ic-317,snoozed,Chat 167,2026-11-01,2026-11-10,ic-agent2,False
conv-368,ic-318,snoozed,Chat 168,2026-11-01,2026-11-10,ic-agent2,True
conv-369,ic-319,closed,Chat 169,2026-11-01,2026-11-10,ic-greg,False
conv-370,ic-320,snoozed,Chat 170,2026-11-01,2026-11-10,ic-greg,True
conv-371,ic-321,closed,Chat 171,2026-11-01,2026-11-10,ic-greg,True
conv-372,ic-322,open,Chat 172,2026-11-01,2026-11-10,ic-greg,False
conv-373,ic-323,open,Chat 173,2026-11-01,2026-11-10,ic-greg,False
conv-374,ic-324,closed,Chat 174,2026-11-01,2026-11-10,ic-agent2,True
conv-375,ic-325,closed,Chat 175,2026-11-01,2026-11-10,ic-greg,True
conv-376,ic-326,closed,Chat 176,2026-11-01,2026-11-10,ic-agent2,True
conv-377,ic-327,closed,Chat 177,2026-11-01,2026-11-10,ic-agent2,True
conv-378,ic-328,snoozed,Chat 178,2026-11-01,2026-11-10,ic-agent2,True
conv-379,ic-329,open,Chat 179,2026-11-01,2026-11-10,ic-agent2,True
conv-380,ic-330,closed,Chat 180,2026-11-01,2026-11-10,ic-greg,True
conv-381,ic-331,open,Chat 181,2026-11-01,2026-11-10,ic-greg,True
conv-382,ic-332,snoozed,Chat 182,2026-11-01,2026-11-10,ic-greg,True
conv-383,ic-333,snoozed,Chat 183,2026-11-01,2026-11-10,ic-greg,True
conv-384,ic-334,open,Chat 184,2026-11-01,2026-11-10,ic-greg,False
conv-385,ic-335,snoozed,Chat 185,2026-11-01,2026-11-10,ic-agent2,False
conv-386,ic-336,closed,Chat 186,2026-11-01,2026-11-10,ic-agent2,False
conv-387,ic-337,closed,Chat 187,2026-11-01,2026-11-10,ic-greg,True
conv-388,ic-338,closed,Chat 188,2026-11-01,2026-11-10,ic-greg,True
conv-389,ic-339,snoozed,Chat 189,2026-11-01,2026-11-10,ic-agent2,False
conv-390,ic-340,closed,Chat 190,2026-11-01,2026-11-10,ic-greg,True
conv-391,ic-341,open,Chat 191,2026-11-01,2026-11-10,ic-greg,False
conv-392,ic-342,open,Chat 192,2026-11-01,2026-11-10,ic-agent2,True
conv-393,ic-343,open,Chat 193,2026-11-01,2026-11-10,ic-agent2,True
conv-394,ic-344,snoozed,Chat 194,2026-11-01,2026-11-10,ic-agent2,False
conv-395,ic-345,open,Chat 195,2026-11-01,2026-11-10,ic-greg,False
conv-396,ic-346,closed,Chat 196,2026-11-01,2026-11-10,ic-agent2,True
conv-397,ic-347,snoozed,Chat 197,2026-11-01,2026-11-10,ic-agent2,True
conv-398,ic-348,open,Chat 198,2026-11-01,2026-11-10,ic-agent2,False
conv-399,ic-349,open,Chat 199,2026-11-01,2026-11-10,ic-agent2,False
conv-400,ic-350,closed,Chat 200,2026-11-01,2026-11-10,ic-greg,True
conv-401,ic-351,open,Chat 201,2026-11-01,2026-11-10,ic-agent2,False
conv-402,ic-352,snoozed,Chat 202,2026-11-01,2026-11-10,ic-agent2,True
conv-403,ic-353,open,Chat 203,2026-11-01,2026-11-10,ic-agent2,False
conv-404,ic-354,snoozed,Chat 204,2026-11-01,2026-11-10,ic-greg,True
conv-405,ic-355,closed,Chat 205,2026-11-01,2026-11-10,ic-greg,False
conv-406,ic-356,open,Chat 206,2026-11-01,2026-11-10,ic-greg,False
conv-407,ic-357,snoozed,Chat 207,2026-11-01,2026-11-10,ic-greg,True
conv-408,ic-358,closed,Chat 208,2026-11-01,2026-11-10,ic-greg,False
conv-409,ic-359,open,Chat 209,2026-11-01,2026-11-10,ic-agent2,True
conv-410,ic-360,open,Chat 210,2026-11-01,2026-11-10,ic-agent2,False
conv-411,ic-361,open,Chat 211,2026-11-01,2026-11-10,ic-agent2,True
conv-412,ic-362,snoozed,Chat 212,2026-11-01,2026-11-10,ic-agent2,False
conv-413,ic-363,closed,Chat 213,2026-11-01,2026-11-10,ic-agent2,False
conv-414,ic-364,closed,Chat 214,2026-11-01,2026-11-10,ic-greg,False
conv-415,ic-365,snoozed,Chat 215,2026-11-01,2026-11-10,ic-greg,True
conv-416,ic-366,open,Chat 216,2026-11-01,2026-11-10,ic-agent2,True
conv-417,ic-367,open,Chat 217,2026-11-01,2026-11-10,ic-greg,False
conv-418,ic-368,open,Chat 218,2026-11-01,2026-11-10,ic-greg,False
conv-419,ic-369,snoozed,Chat 219,2026-11-01,2026-11-10,ic-agent2,False
conv-420,ic-370,open,Chat 220,2026-11-01,2026-11-10,ic-greg,True
conv-421,ic-371,snoozed,Chat 221,2026-11-01,2026-11-10,ic-agent2,False
conv-422,ic-372,open,Chat 222,2026-11-01,2026-11-10,ic-agent2,False
conv-423,ic-373,open,Chat 223,2026-11-01,2026-11-10,ic-agent2,True
conv-424,ic-374,closed,Chat 224,2026-11-01,2026-11-10,ic-greg,True
conv-425,ic-375,open,Chat 225,2026-11-01,2026-11-10,ic-greg,True
conv-426,ic-376,open,Chat 226,2026-11-01,2026-11-10,ic-greg,True
conv-427,ic-377,snoozed,Chat 227,2026-11-01,2026-11-10,ic-agent2,False
conv-428,ic-378,closed,Chat 228,2026-11-01,2026-11-10,ic-greg,True
conv-429,ic-379,closed,Chat 229,2026-11-01,2026-11-10,ic-agent2,True
conv-430,ic-380,snoozed,Chat 230,2026-11-01,2026-11-10,ic-agent2,False
conv-431,ic-381,snoozed,Chat 231,2026-11-01,2026-11-10,ic-greg,True
conv-432,ic-382,snoozed,Chat 232,2026-11-01,2026-11-10,ic-agent2,False
conv-433,ic-383,snoozed,Chat 233,2026-11-01,2026-11-10,ic-agent2,False
conv-434,ic-384,closed,Chat 234,2026-11-01,2026-11-10,ic-greg,False
conv-435,ic-385,open,Chat 235,2026-11-01,2026-11-10,ic-agent2,False
conv-436,ic-386,closed,Chat 236,2026-11-01,2026-11-10,ic-agent2,False
conv-437,ic-387,open,Chat 237,2026-11-01,2026-11-10,ic-agent2,True
conv-438,ic-388,snoozed,Chat 238,2026-11-01,2026-11-10,ic-agent2,False
conv-439,ic-389,snoozed,Chat 239,2026-11-01,2026-11-10,ic-greg,True
conv-440,ic-390,snoozed,Chat 240,2026-11-01,2026-11-10,ic-greg,True
conv-441,ic-391,open,Chat 241,2026-11-01,2026-11-10,ic-greg,False
conv-442,ic-392,snoozed,Chat 242,2026-11-01,2026-11-10,ic-agent2,False
conv-443,ic-393,closed,Chat 243,2026-11-01,2026-11-10,ic-greg,True
conv-444,ic-394,closed,Chat 244,2026-11-01,2026-11-10,ic-agent2,True
conv-445,ic-395,snoozed,Chat 245,2026-11-01,2026-11-10,ic-agent2,False
conv-446,ic-396,snoozed,Chat 246,2026-11-01,2026-11-10,ic-agent2,False
conv-447,ic-397,closed,Chat 247,2026-11-01,2026-11-10,ic-greg,True
conv-448,ic-398,snoozed,Chat 248,2026-11-01,2026-11-10,ic-greg,False
conv-449,ic-399,open,Chat 249,2026-11-01,2026-11-10,ic-greg,True
conv-450,ic-400,open,Chat 250,2026-11-01,2026-11-10,ic-agent2,False
conv-451,ic-401,snoozed,Chat 251,2026-11-01,2026-11-10,ic-greg,True
conv-452,ic-402,open,Chat 252,2026-11-01,2026-11-10,ic-agent2,False
conv-453,ic-403,snoozed,Chat 253,2026-11-01,2026-11-10,ic-greg,True
conv-454,ic-404,closed,Chat 254,2026-11-01,2026-11-10,ic-greg,False
conv-455,ic-405,closed,Chat 255,2026-11-01,2026-11-10,ic-agent2,True
conv-456,ic-406,snoozed,Chat 256,2026-11-01,2026-11-10,ic-agent2,False
conv-457,ic-407,open,Chat 257,2026-11-01,2026-11-10,ic-greg,True
conv-458,ic-408,open,Chat 258,2026-11-01,2026-11-10,ic-agent2,True
conv-459,ic-409,open,Chat 259,2026-11-01,2026-11-10,ic-agent2,True
conv-460,ic-410,closed,Chat 260,2026-11-01,2026-11-10,ic-greg,True
conv-461,ic-411,snoozed,Chat 261,2026-11-01,2026-11-10,ic-greg,True
conv-462,ic-412,closed,Chat 262,2026-11-01,2026-11-10,ic-agent2,False
conv-463,ic-413,open,Chat 263,2026-11-01,2026-11-10,ic-agent2,True
conv-464,ic-414,open,Chat 264,2026-11-01,2026-11-10,ic-greg,False
conv-465,ic-415,open,Chat 265,2026-11-01,2026-11-10,ic-agent2,True
conv-466,ic-416,open,Chat 266,2026-11-01,2026-11-10,ic-agent2,False
conv-467,ic-417,snoozed,Chat 267,2026-11-01,2026-11-10,ic-greg,False
conv-468,ic-418,open,Chat 268,2026-11-01,2026-11-10,ic-greg,True
conv-469,ic-419,open,Chat 269,2026-11-01,2026-11-10,ic-agent2,False
conv-470,ic-420,snoozed,Chat 270,2026-11-01,2026-11-10,ic-agent2,True
conv-471,ic-421,closed,Chat 271,2026-11-01,2026-11-10,ic-agent2,False
conv-472,ic-422,snoozed,Chat 272,2026-11-01,2026-11-10,ic-agent2,False
conv-473,ic-423,snoozed,Chat 273,2026-11-01,2026-11-10,ic-greg,False
conv-474,ic-424,open,Chat 274,2026-11-01,2026-11-10,ic-agent2,False
conv-475,ic-425,open,Chat 275,2026-11-01,2026-11-10,ic-greg,True
conv-476,ic-426,open,Chat 276,2026-11-01,2026-11-10,ic-agent2,False
conv-477,ic-427,closed,Chat 277,2026-11-01,2026-11-10,ic-agent2,True
conv-478,ic-428,closed,Chat 278,2026-11-01,2026-11-10,ic-agent2,True
conv-479,ic-429,open,Chat 279,2026-11-01,2026-11-10,ic-agent2,True
conv-480,ic-430,snoozed,Chat 280,2026-11-01,2026-11-10,ic-agent2,False
conv-481,ic-431,open,Chat 281,2026-11-01,2026-11-10,ic-agent2,True
conv-482,ic-432,snoozed,Chat 282,2026-11-01,2026-11-10,ic-agent2,False
conv-483,ic-433,closed,Chat 283,2026-11-01,2026-11-10,ic-agent2,True
conv-484,ic-434,open,Chat 284,2026-11-01,2026-11-10,ic-agent2,True
conv-485,ic-435,open,Chat 285,2026-11-01,2026-11-10,ic-agent2,True
conv-486,ic-436,snoozed,Chat 286,2026-11-01,2026-11-10,ic-greg,False
conv-487,ic-437,snoozed,Chat 287,2026-11-01,2026-11-10,ic-greg,False
conv-488,ic-438,open,Chat 288,2026-11-01,2026-11-10,ic-greg,False
conv-489,ic-439,closed,Chat 289,2026-11-01,2026-11-10,ic-greg,False
conv-490,ic-440,closed,Chat 290,2026-11-01,2026-11-10,ic-agent2,True
conv-491,ic-441,open,Chat 291,2026-11-01,2026-11-10,ic-greg,True
conv-492,ic-442,open,Chat 292,2026-11-01,2026-11-10,ic-agent2,False
conv-493,ic-443,snoozed,Chat 293,2026-11-01,2026-11-10,ic-greg,True
conv-494,ic-444,closed,Chat 294,2026-11-01,2026-11-10,ic-agent2,True
conv-495,ic-445,closed,Chat 295,2026-11-01,2026-11-10,ic-agent2,False
conv-496,ic-446,open,Chat 296,2026-11-01,2026-11-10,ic-greg,False
conv-497,ic-447,closed,Chat 297,2026-11-01,2026-11-10,ic-greg,False
conv-498,ic-448,snoozed,Chat 298,2026-11-01,2026-11-10,ic-greg,True
conv-499,ic-449,open,Chat 299,2026-11-01,2026-11-10,ic-agent2,False
conv-500,ic-300,snoozed,Chat 300,2026-11-01,2026-11-10,ic-agent2,False
conv-501,ic-301,snoozed,Chat 301,2026-11-01,2026-11-10,ic-agent2,True
conv-502,ic-302,open,Chat 302,2026-11-01,2026-11-10,ic-agent2,True
conv-503,ic-303,snoozed,Chat 303,2026-11-01,2026-11-10,ic-agent2,False
conv-504,ic-304,open,Chat 304,2026-11-01,2026-11-10,ic-agent2,False
conv-505,ic-305,open,Chat 305,2026-11-01,2026-11-10,ic-agent2,False
conv-506,ic-306,open,Chat 306,2026-11-01,2026-11-10,ic-greg,True
conv-507,ic-307,snoozed,Chat 307,2026-11-01,2026-11-10,ic-greg,True
conv-508,ic-308,snoozed,Chat 308,2026-11-01,2026-11-10,ic-agent2,False
conv-509,ic-309,open,Chat 309,2026-11-01,2026-11-10,ic-greg,False
conv-510,ic-310,snoozed,Chat 310,2026-11-01,2026-11-10,ic-greg,False
conv-511,ic-311,open,Chat 311,2026-11-01,2026-11-10,ic-agent2,False
conv-512,ic-312,closed,Chat 312,2026-11-01,2026-11-10,ic-greg,False
conv-513,ic-313,snoozed,Chat 313,2026-11-01,2026-11-10,ic-agent2,True
conv-514,ic-314,closed,Chat 314,2026-11-01,2026-11-10,ic-greg,True
conv-515,ic-315,closed,Chat 315,2026-11-01,2026-11-10,ic-greg,False
conv-516,ic-316,open,Chat 316,2026-11-01,2026-11-10,ic-agent2,False
conv-517,ic-317,closed,Chat 317,2026-11-01,2026-11-10,ic-agent2,False
conv-518,ic-318,snoozed,Chat 318,2026-11-01,2026-11-10,ic-greg,True
conv-519,ic-319,closed,Chat 319,2026-11-01,2026-11-10,ic-agent2,True
conv-520,ic-320,closed,Chat 320,2026-11-01,2026-11-10,ic-agent2,False
conv-521,ic-321,closed,Chat 321,2026-11-01,2026-11-10,ic-greg,False
conv-522,ic-322,open,Chat 322,2026-11-01,2026-11-10,ic-greg,False
conv-523,ic-323,closed,Chat 323,2026-11-01,2026-11-10,ic-agent2,False
conv-524,ic-324,closed,Chat 324,2026-11-01,2026-11-10,ic-agent2,False
conv-525,ic-325,closed,Chat 325,2026-11-01,2026-11-10,ic-greg,True
conv-526,ic-326,open,Chat 326,2026-11-01,2026-11-10,ic-greg,True
conv-527,ic-327,open,Chat 327,2026-11-01,2026-11-10,ic-greg,False
conv-528,ic-328,open,Chat 328,2026-11-01,2026-11-10,ic-agent2,True
conv-529,ic-329,open,Chat 329,2026-11-01,2026-11-10,ic-greg,True
conv-530,ic-330,open,Chat 330,2026-11-01,2026-11-10,ic-agent2,True
conv-531,ic-331,open,Chat 331,2026-11-01,2026-11-10,ic-agent2,True
