id,company_id,name,plan,monthly_spend,user_count,industry,created_at
icc-32,icc-32,Payer L,enterprise,0,78,Insurance,2020-01-01
icc-33,icc-33,Payer M,enterprise,0,38,Insurance,2020-01-01
icc-34,icc-34,Payer N,enterprise,0,68,Insurance,2020-01-01
icc-35,icc-35,Payer O,enterprise,0,48,Insurance,2020-01-01
icc-36,icc-36,Payer P,enterprise,0,67,Insurance,2020-01-01
icc-37,icc-37,Payer Q,enterprise,0,49,Insurance,2020-01-01
icc-38,icc-38,Payer R,enterprise,0,46,Insurance,2020-01-01
icc-39,icc-39,Payer S,enterprise,0,15,Insurance,2020-01-01
icc-40,icc-40,Payer T,enterprise,0,23,Insurance,2020-01-01
icc-41,icc-41,Payer U,enterprise,0,23,Insurance,2020-01-01
icc-42,icc-42,Payer B,enterprise,0,68,Insurance,2020-01-01
icc-43,icc-43,Payer C,enterprise,0,39,Insurance,2020-01-01
icc-44,icc-44,Payer D,enterprise,0,61,Insurance,2020-01-01
icc-45,icc-45,Payer E,enterprise,0,39,Insurance,2020-01-01
icc-46,icc-46,Payer F,enterprise,0,38,Insurance,2020-01-01
icc-47,icc-47,Payer G,enterprise,0,46,Insurance,2020-01-01
icc-48,icc-48,Payer H,enterprise,0,52,Insurance,2020-01-01
icc-49,icc-49,Payer I,enterprise,0,27,Insurance,2020-01-01
icc-50,icc-50,Payer J,enterprise,0,67,Insurance,2020-01-01
icc-51,icc-51,Payer K,enterprise,0,42,Insurance,2020-01-01
icc-52,icc-52,Payer L,enterprise,0,21,Insurance,2020-01-01
icc-53,icc-53,Payer M,enterprise,0,21,Insurance,2020-01-01
icc-54,icc-54,Payer N,enterprise,0,37,Insurance,2020-01-01
icc-55,icc-55,Payer O,enterprise,0,52,Insurance,2020-01-01
icc-56,icc-56,Payer P,enterprise,0,55,Insurance,2020-01-01
icc-57,icc-57,Payer Q,enterprise,0,21,Insurance,2020-01-01
icc-58,icc-58,Payer R,enterprise,0,72,Insurance,2020-01-01
icc-59,icc-59,Payer S,enterprise,0,71,Insurance,2020-01-01
icc-60,icc-60,Payer T,enterprise,0,48,Insurance,2020-01-01
icc-61,icc-61,Payer U,enterprise,0,70,Insurance,2020-01-01
icc-62,icc-62,Payer B,enterprise,0,66,Insurance,2020-01-01
icc-63,icc-63,Payer C,enterprise,0,30,Insurance,2020-01-01
icc-64,icc-64,Payer D,enterprise,0,37,Insurance,2020-01-01
icc-65,icc-65,Payer E,enterprise,0,37,Insurance,2020-01-01
icc-66,icc-66,Payer F,enterprise,0,63,Insurance,2020-01-01
icc-67,icc-67,Payer G,enterprise,0,37,Insurance,2020-01-01
icc-68,icc-68,Payer H,enterprise,0,57,Insurance,2020-01-01
icc-69,icc-69,Payer I,enterprise,0,10,Insurance,2020-01-01
icc-70,icc-70,Payer J,enterprise,0,35,Insurance,2020-01-01
icc-71,icc-71,Payer K,enterprise,0,23,Insurance,2020-01-01
icc-72,icc-72,Payer L,enterprise,0,62,Insurance,2020-01-01
icc-73,icc-73,Payer M,enterprise,0,28,Insurance,2020-01-01
icc-74,icc-74,Payer N,enterprise,0,41,Insurance,2020-01-01
icc-75,icc-75,Payer O,enterprise,0,68,Insurance,2020-01-01
icc-76,icc-76,Payer P,enterprise,0,68,Insurance,2020-01-01
icc-77,icc-77,Payer Q,enterprise,0,9,Insurance,2020-01-01
icc-78,icc-78,Payer R,enterprise,0,79,Insurance,2020-01-01
icc-79,icc-79,Payer S,enterprise,0,73,Insurance,2020-01-01
icc-80,icc-80,Payer T,enterprise,0,80,Insurance,2020-01-01
icc-81,icc-81,Payer U,enterprise,0,7,Insurance,2020-01-01
icc-82,icc-82,Payer B,enterprise,0,77,Insurance,2020-01-01
icc-83,icc-83,Payer C,enterprise,0,62,Insurance,2020-01-01
icc-84,icc-84,Payer D,enterprise,0,63,Insurance,2020-01-01
icc-85,icc-85,Payer E,enterprise,0,24,Insurance,2020-01-01
icc-86,icc-86,Payer F,enterprise,0,11,Insurance,2020-01-01
icc-87,icc-87,Payer G,enterprise,0,62,Insurance,2020-01-01
icc-88,icc-88,Payer H,enterprise,0,60,Insurance,2020-01-01
icc-89,icc-89,Payer I,enterprise,0,19,Insurance,2020-01-01
icc-90,icc-90,Payer J,enterprise,0,38,Insurance,2020-01-01
icc-91,icc-91,Payer K,enterprise,0,49,Insurance,2020-01-01
icc-92,icc-92,Payer L,enterprise,0,70,Insurance,2020-01-01
icc-93,icc-93,Payer M,enterprise,0,12,Insurance,2020-01-01
icc-94,icc-94,Payer N,enterprise,0,53,Insurance,2020-01-01
icc-95,icc-95,Payer O,enterprise,0,66,Insurance,2020-01-01
icc-96,icc-96,Payer P,enterprise,0,25,Insurance,2020-01-01
icc-97,icc-97,Payer Q,enterprise,0,8,Insurance,2020-01-01
icc-98,icc-98,Payer R,enterprise,0,79,Insurance,2020-01-01
icc-99,icc-99,Payer S,enterprise,0,64,Insurance,2020-01-01
icc-100,icc-100,Payer T,enterprise,0,30,Insurance,2020-01-01
icc-101,icc-101,Payer U,enterprise,0,76,Insurance,2020-01-01
icc-102,icc-102,Payer B,enterprise,0,58,Insurance,2020-01-01
icc-103,icc-103,Payer C,enterprise,0,65,Insurance,2020-01-01
icc-104,icc-104,Payer D,enterprise,0,63,Insurance,2020-01-01
icc-105,icc-105,Payer E,enterprise,0,46,Insurance,2020-01-01
icc-106,icc-106,Payer F,enterprise,0,70,Insurance,2020-01-01
icc-107,icc-107,Payer G,enterprise,0,14,Insurance,2020-01-01
icc-108,icc-108,Payer H,enterprise,0,52,Insurance,2020-01-01
icc-109,icc-109,Payer I,enterprise,0,35,Insurance,2020-01-01
icc-110,icc-110,Payer J,enterprise,0,39,Insurance,2020-01-01
