"pair","base","currency","amount"
"SYN057-USD","SYN057","USD","548.29"
"SYN058-USD","SYN058","USD","626.22"
"SYN059-USD","SYN059","USD","972.46"
"SYN060-USD","SYN060","USD","4322.59"
"SYN061-USD","SYN061","USD","3711.84"
"SYN062-USD","SYN062","USD","1914.61"
"SYN063-USD","SYN063","USD","2988.93"
"SYN064-USD","SYN064","USD","2014.18"
"SYN065-USD","SYN065","USD","3343.62"
"SYN066-USD","SYN066","USD","2818.36"
"SYN067-USD","SYN067","USD","4533.37"
"SYN068-USD","SYN068","USD","3473.17"
"SYN069-USD","SYN069","USD","3328.13"
"SYN070-USD","SYN070","USD","2783"
"SYN071-USD","SYN071","USD","551.44"
"SYN072-USD","SYN072","USD","3098.07"
"SYN073-USD","SYN073","USD","2388.23"
"SYN074-USD","SYN074","USD","4913.43"
"SYN075-USD","SYN075","USD","2982.15"
"SYN076-USD","SYN076","USD","2128.39"
"SYN077-USD","SYN077","USD","809.03"
"SYN078-USD","SYN078","USD","1640.12"
"SYN079-USD","SYN079","USD","2580.08"
"SYN080-USD","SYN080","USD","581.32"
"SYN081-USD","SYN081","USD","211.48"
"SYN082-USD","SYN082","USD","1584.56"
"SYN083-USD","SYN083","USD","2606.42"
