Date	Activity_Type	Title	Distance_mi	Moving_Time_min	Avg_Pace_per_mi	Elevation_ft	Calories	Avg_HR	Notes
2025-05-05	Run	Monday Easy Run	4.79	46	9:39	106	444	142	Easy recovery run
2025-05-07	Run	Wednesday Easy Run	3.83	40	10:30	77	368	153	Midweek aerobic base run
2025-05-10	Run	Saturday Long Run	9.22	99	10:45	230	1003	154	Fueled at mile 6 with gel
2025-05-12	Run	Monday Easy Run	3.71	35	9:35	106	333	143	Easy recovery run
2025-05-14	Run	Wednesday Easy Run	3.53	34	9:51	131	354	147	Midweek aerobic base run
2025-05-15	Run	Thursday Speed Work	4.13	32	7:59	99	440	159	Interval workout 8x400m at tempo pace
2025-05-19	Run	Monday Easy Run	3.54	34	9:38	114	332	144	Easy recovery run
2025-05-21	Run	Wednesday Easy Run	4.36	44	10:14	106	399	146	Midweek aerobic base run
2025-05-24	Run	Saturday Long Run	9.43	94	10:04	188	962	144	Trail surface on Olentangy mixed gravel and asphalt
2025-05-28	Run	Wednesday Easy Run	3.60	37	10:25	80	351	138	Midweek aerobic base run
2025-05-29	Run	Thursday Speed Work	5.11	40	7:59	104	581	160	Left hamstring tightness noted post-run
2025-05-31	Run	Saturday Long Run	9.94	101	10:10	187	1019	147	Whetstone Park to Antrim loop
2025-06-02	Run	Monday Easy Run	4.26	42	10:03	86	402	145	Easy recovery run
2025-06-04	Run	Wednesday Easy Run	4.02	38	9:31	97	363	138	Hot and humid cut short by 0.5 mi
2025-06-05	Run	Thursday Speed Work	5.96	46	7:46	130	650	172	Interval workout 8x400m at tempo pace
2025-06-07	Run	Saturday Long Run	9.65	103	10:42	246	1052	154	Trail surface on Olentangy mixed gravel and asphalt
2025-06-09	Run	Monday Easy Run	4.96	48	9:51	85	491	140	Easy recovery run
2025-06-11	Run	Wednesday Easy Run	3.58	34	9:38	66	324	146	Midweek aerobic base run
2025-06-14	Run	Saturday Long Run	9.38	98	10:32	192	985	151	Long run Whetstone Park and Clintonville loop
2025-06-16	Run	Monday Easy Run	3.32	33	9:58	60	311	143	Easy recovery run
2025-06-18	Run	Wednesday Easy Run	4.32	42	9:45	69	409	144	Midweek aerobic base run
2025-06-21	Run	Saturday Long Run	9.47	99	10:32	171	995	158	Long run Whetstone Park and Clintonville loop
2025-06-25	Run	Wednesday Easy Run	3.72	37	10:07	70	358	138	Hot and humid cut short by 0.5 mi
2025-06-26	Run	Thursday Speed Work	4.17	33	8:00	137	486	160	Interval workout 8x400m at tempo pace
2025-06-28	Run	Saturday Long Run	9.88	102	10:24	203	1070	146	Trail surface on Olentangy mixed gravel and asphalt
2025-06-30	Run	Monday Easy Run	4.29	40	9:32	125	427	144	Easy recovery run
2025-07-02	Run	Wednesday Easy Run	3.71	37	10:03	129	368	138	Midweek aerobic base run
2025-07-03	Run	Thursday Speed Work	5.79	45	7:51	158	657	161	Left hamstring tightness noted post-run
2025-07-07	Run	Monday Easy Run	4.92	48	9:54	117	482	138	Easy recovery run
2025-07-09	Run	Wednesday Easy Run	4.52	45	10:01	98	409	152	Midweek aerobic base run
2025-07-10	Run	Thursday Speed Work	5.01	38	7:47	81	573	166	Left hamstring tightness noted post-run
2025-07-12	Run	Saturday Long Run	10.25	103	10:04	187	1076	148	Whetstone Park to Antrim loop
2025-07-14	Run	Monday Easy Run	4.95	49	10:01	108	454	145	Easy recovery run
2025-07-23	Run	Wednesday Easy Run	3.57	36	10:10	90	323	142	Midweek aerobic base run
2025-07-24	Run	Thursday Speed Work	5.39	42	7:49	142	580	158	Interval workout 8x400m at tempo pace
2025-07-26	Run	Saturday Long Run	10.97	110	10:06	175	1183	151	Trail surface on Olentangy mixed gravel and asphalt
2025-07-28	Run	Monday Easy Run	3.93	37	9:37	130	365	142	Easy recovery run
2025-07-30	Run	Wednesday Easy Run	3.53	35	9:59	74	347	152	Midweek aerobic base run
2025-07-31	Run	Thursday Speed Work	5.83	46	7:59	96	625	167	Left hamstring tightness noted post-run
2025-08-02	Run	Saturday Long Run	10.26	106	10:23	153	1112	150	Olentangy Trail long run felt strong
2025-08-04	Run	Monday Easy Run	3.46	36	10:27	122	333	138	Easy recovery run
2025-08-06	Run	Wednesday Easy Run	4.52	44	9:55	103	418	151	Midweek aerobic base run
2025-08-07	Run	Thursday Speed Work	5.68	42	7:30	111	652	163	Interval workout 8x400m at tempo pace
2025-08-09	Run	Saturday Long Run	10.93	117	10:45	123	1154	150	Fueled at mile 6 with gel
2025-08-13	Run	Wednesday Easy Run	4.80	45	9:34	111	463	146	Midweek aerobic base run
2025-08-14	Run	Thursday Speed Work	4.10	32	7:51	106	470	172	Hamstring flare cut intervals short
2025-08-16	Run	Saturday Long Run	10.44	107	10:20	168	1113	155	Long run Whetstone Park and Clintonville loop
2025-08-18	Run	Monday Easy Run	4.26	44	10:28	130	419	141	Easy recovery run
2025-08-21	Run	Thursday Speed Work	4.90	38	7:54	87	560	171	Hamstring flare cut intervals short
2025-08-25	Run	Monday Easy Run	3.25	32	10:00	113	309	142	Easy recovery run
2025-08-27	Run	Wednesday Easy Run	4.96	48	9:46	116	466	147	Midweek aerobic base run
2025-08-28	Run	Thursday Speed Work	4.24	33	7:50	90	450	161	Interval workout 8x400m at tempo pace
2025-08-30	Run	Saturday Long Run	10.55	110	10:28	205	1134	155	Long run route through Clintonville north loop
2025-09-01	Run	Monday Easy Run	3.49	33	9:41	103	346	139	Easy recovery run
2025-09-03	Run	Wednesday Easy Run	4.71	45	9:42	67	453	150	Midweek aerobic base run
2025-09-04	Run	Thursday Speed Work	5.05	38	7:42	104	556	170	Interval workout 8x400m at tempo pace
2025-09-08	Run	Monday Easy Run	4.94	47	9:38	124	482	148	Easy recovery run
2025-09-10	Run	Wednesday Easy Run	3.64	38	10:27	96	349	150	Midweek aerobic base run
2025-09-11	Run	Thursday Speed Work	4.86	37	7:39	72	522	158	Interval workout 8x400m at tempo pace
2025-09-13	Run	Saturday Long Run	11.76	127	10:51	241	1266	142	Olentangy Trail long run felt strong
2025-09-15	Run	Monday Easy Run	4.85	50	10:22	127	469	145	Easy recovery run
2025-09-20	Run	Saturday Long Run	11.68	128	11:00	237	1206	143	Long run Whetstone Park and Clintonville loop
2025-09-22	Run	Monday Easy Run	3.47	36	10:28	64	328	140	Easy recovery run
2025-09-24	Run	Wednesday Easy Run	4.16	42	10:18	79	381	140	Midweek aerobic base run
2025-09-25	Run	Thursday Speed Work	5.89	44	7:36	119	643	161	Interval workout 8x400m at tempo pace
2025-09-27	Run	Saturday Long Run	11.00	116	10:34	197	1183	150	Fueled at mile 6 with gel
2025-09-29	Run	Monday Easy Run	4.77	47	10:00	127	448	146	Easy recovery run
2025-10-01	Run	Wednesday Easy Run	4.56	44	9:49	72	414	144	Midweek aerobic base run
2025-10-02	Run	Thursday Speed Work	5.35	41	7:43	80	584	161	Interval workout 8x400m at tempo pace
2025-10-04	Run	Saturday Long Run	12.00	122	10:14	246	1234	152	Good long run solid aerobic base
2025-10-06	Run	Monday Easy Run	3.79	36	9:30	97	372	139	Easy recovery run
2025-10-15	Run	Wednesday Easy Run	3.97	41	10:22	89	371	152	Midweek aerobic base run
2025-10-16	Run	Thursday Speed Work	5.52	42	7:39	83	626	165	Interval workout 8x400m at tempo pace
2025-10-18	Run	Saturday Long Run	12.00	126	10:31	226	1237	146	Good long run solid aerobic base
2025-10-19	Run	Long run Scioto Mile route	13.10	139	10:37	182	1387	161	Longest run of the year solo exploration route
2025-10-23	Run	Thursday Speed Work	4.83	37	7:52	77	522	164	Interval workout 8x400m at tempo pace
2025-10-25	Run	Saturday Long Run	12.00	124	10:20	148	1240	147	Taper week long run kept easy
2025-10-27	Run	Monday Easy Run	4.30	43	10:03	119	390	142	Easy recovery run
2025-10-29	Run	Wednesday Easy Run	4.06	39	9:51	121	375	141	Midweek aerobic base run
2025-11-01	Run	Saturday Long Run	9.35	102	10:56	151	977	154	Fueled at mile 6 with gel
2025-11-03	Run	Monday Easy Run	3.62	37	10:21	115	328	138	Easy recovery run
2025-11-05	Run	Wednesday Easy Run	4.31	42	9:58	89	409	149	Midweek aerobic base run
2025-11-06	Run	Thursday Speed Work	4.95	38	7:50	122	539	170	Interval workout 8x400m at tempo pace
2025-11-08	Run	Saturday Long Run	9.40	97	10:24	128	1016	144	Long run Whetstone Park and Clintonville loop
2025-11-10	Run	Monday Easy Run	4.49	46	10:27	137	427	143	Easy recovery run
2025-11-12	Run	Wednesday Easy Run	4.43	43	9:46	105	417	147	Midweek aerobic base run
2025-11-15	Run	Saturday Long Run	9.92	105	10:40	136	1014	149	Olentangy Trail long run felt strong
2025-11-17	Run	Monday Easy Run	4.91	50	10:19	109	462	152	Easy recovery run
2025-11-19	Run	Wednesday Easy Run	4.89	47	9:41	66	463	142	Midweek aerobic base run
2025-11-20	Run	Thursday Speed Work	4.66	35	7:40	128	515	170	Interval workout 8x400m at tempo pace
2025-11-22	Run	Saturday Long Run	9.08	92	10:12	220	943	149	Good long run solid aerobic base
2025-11-27	Run	Thursday Speed Work	4.65	35	7:43	83	495	162	Interval workout 8x400m at tempo pace
2025-11-29	Run	Saturday Long Run	9.21	96	10:26	247	994	147	Whetstone Park to Antrim loop
2025-12-03	Run	Wednesday Easy Run	4.84	47	9:45	133	446	147	Midweek aerobic base run
2025-12-04	Run	Thursday Speed Work	5.13	39	7:41	102	591	162	Interval workout 8x400m at tempo pace
2025-12-06	Run	Saturday Long Run	6.25	64	10:15	180	645	151	Whetstone Park to Antrim loop
2025-12-08	Run	Monday Easy Run	3.79	36	9:45	124	373	141	Easy recovery run
2025-12-11	Run	Thursday Speed Work	4.07	30	7:30	130	441	171	Interval workout 8x400m at tempo pace
2025-12-13	Run	Saturday Long Run	6.37	69	10:56	195	667	145	Long run Whetstone Park and Clintonville loop
2025-12-15	Run	Monday Easy Run	4.95	50	10:07	84	454	143	Easy recovery run
2025-12-17	Run	Wednesday Easy Run	4.40	45	10:19	65	404	149	Midweek aerobic base run
2025-12-18	Run	Thursday Speed Work	4.74	35	7:34	75	514	162	Interval workout 8x400m at tempo pace
2025-12-22	Run	Monday Easy Run	4.83	50	10:22	61	458	144	Easy recovery run
2025-12-24	Run	Wednesday Easy Run	3.97	38	9:43	69	388	153	Midweek aerobic base run
2025-12-27	Run	Saturday Long Run	6.40	67	10:35	159	710	144	Long run route through Clintonville north loop
2025-12-29	Run	Monday Easy Run	3.54	34	9:48	99	342	138	Easy recovery run
2025-12-31	Run	Wednesday Easy Run	4.04	40	9:56	67	386	144	Midweek aerobic base run
