metric,scope,base_value,amplitude,unit
wifi.bandwidth.usage.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,82,22,count
wifi.bandwidth.usage.host_hg_pms_primary,host:hg-pms-primary,62,10,count
wifi.bandwidth.usage.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,75,10,count
pos.transaction.rate.host_hg_front_desk_01,host:hg-front-desk-01,69,21,count
pos.transaction.rate.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,64,22,count
pos.transaction.rate.host_hg_pms_primary,host:hg-pms-primary,76,10,count
pos.transaction.rate.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,60,10,count
key_encoder.error_rate.host_hg_front_desk_01,host:hg-front-desk-01,89,21,count
key_encoder.error_rate.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,57,22,count
key_encoder.error_rate.host_hg_pms_primary,host:hg-pms-primary,84,10,count
key_encoder.error_rate.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,50,10,count
cctv.storage.utilization.host_hg_front_desk_01,host:hg-front-desk-01,61,21,percent
cctv.storage.utilization.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,89,22,percent
cctv.storage.utilization.host_hg_pms_primary,host:hg-pms-primary,80,10,percent
cctv.storage.utilization.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,89,10,percent
hvac.temp.north.host_hg_front_desk_01,host:hg-front-desk-01,68,21,count
hvac.temp.north.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,60,22,count
hvac.temp.north.host_hg_pms_primary,host:hg-pms-primary,76,10,count
hvac.temp.north.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,83,10,count
hvac.temp.south.host_hg_front_desk_01,host:hg-front-desk-01,58,21,count
hvac.temp.south.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,64,22,count
hvac.temp.south.host_hg_pms_primary,host:hg-pms-primary,52,10,count
hvac.temp.south.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,54,10,count
elevator.dispatch.avg_wait.host_hg_front_desk_01,host:hg-front-desk-01,63,21,count
elevator.dispatch.avg_wait.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,72,22,count
elevator.dispatch.avg_wait.host_hg_pms_primary,host:hg-pms-primary,64,10,count
elevator.dispatch.avg_wait.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,71,10,count
