id,createdTime,OrderNumber,Vendor,Item,Quantity,UnitPrice,TotalPrice,Status
recO0177,2026-09-18T09:00:00-04:00,PO-BG-177,Sherwin-Williams Automotive,wheel bearings,2,36.19,72.38,ordered
recO0178,2026-06-19T09:00:00-04:00,PO-BG-178,Dent Fix Equipment,fender panel,26,30.37,789.62,backordered
recO0179,2026-06-26T09:00:00-04:00,PO-BG-179,PPG Industries,door handle,30,23.38,701.4,received
recO0180,2026-06-11T09:00:00-04:00,PO-BG-180,AutoZone,side mirror,30,133.42,4002.6,ordered
recO0181,2026-08-10T09:00:00-04:00,PO-BG-181,Keystone Automotive,body filler,39,31.05,1210.95,backordered
recO0182,2026-09-26T09:00:00-04:00,PO-BG-182,AutoZone,tail light,13,33.98,441.74,backordered
recO0183,2026-08-12T09:00:00-04:00,PO-BG-183,NAPA Auto Parts,masking film,2,99.34,198.68,received
recO0184,2026-06-18T09:00:00-04:00,PO-BG-184,Sherwin-Williams Automotive,side mirror,6,31.46,188.76,ordered
recO0185,2026-07-10T09:00:00-04:00,PO-BG-185,3M Automotive,brake rotors,33,67.11,2214.63,received
recO0186,2026-08-10T09:00:00-04:00,PO-BG-186,AutoZone,fender panel,16,103.28,1652.48,ordered
recO0187,2026-08-23T09:00:00-04:00,PO-BG-187,NAPA Auto Parts,bumper cover,10,14.17,141.7,received
recO0188,2026-06-24T09:00:00-04:00,PO-BG-188,Keystone Automotive,brake rotors,2,88.72,177.44,ordered
recO0189,2026-09-10T09:00:00-04:00,PO-BG-189,NAPA Auto Parts,tail light,13,57.83,751.79,received
recO0190,2026-09-12T09:00:00-04:00,PO-BG-190,3M Automotive,tail light,19,108.46,2060.74,backordered
recO0191,2026-07-22T09:00:00-04:00,PO-BG-191,AutoZone,clearcoat gallon,31,66.61,2064.91,received
recO0192,2026-07-16T09:00:00-04:00,PO-BG-192,Advance Auto Parts,headlight assembly,38,112.02,4256.76,received
recO0193,2026-07-04T09:00:00-04:00,PO-BG-193,Keystone Automotive,bumper cover,3,57.4,172.2,ordered
recO0194,2026-09-21T09:00:00-04:00,PO-BG-194,Advance Auto Parts,paint primer,5,25.07,125.35,ordered
