date,day_of_week,location,station_id,pressure_hpa_morning,pressure_hpa_evening,pressure_delta_24h_hpa,temp_high_f,temp_low_f,temp_avg_f,precip_mm,precip_type,humidity_pct_morning,humidity_pct_afternoon,humidity_pct_avg,wind_mph_avg,wind_gust_mph_max,wind_direction_prevailing,cloud_cover_pct_avg,conditions_summary,sunrise_local,sunset_local,daylight_hours,aqi,uv_index_max,notes
2026-08-24,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1003,1002,-2,81,58,69,1.2,light_rain,86,59,72,14,24,NE,89,showers,06:02,19:23,13.35,23,6,
2026-08-25,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1004,1002,0,73,59,66,3.6,moderate_rain,67,49,58,13,31,NE,91,showers,06:03,19:21,13.3,63,6,
2026-08-26,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1001,1002,0,71,64,67,0.9,light_rain,84,57,70,13,21,NW,97,showers,06:04,19:20,13.27,35,7,
2026-08-27,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1002,1002,0,78,57,67,1.6,light_rain,88,55,71,9,25,SE,81,showers,06:05,19:18,13.22,63,7,
2026-08-28,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1001,1002,0,75,60,67,3.8,moderate_rain,87,42,64,12,20,NW,78,showers,06:06,19:17,13.18,33,7,
2026-08-29,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1003,1005,3,73,59,66,0.0,none,65,42,53,8,14,SW,78,mostly_cloudy,06:07,19:15,13.13,31,5,
2026-08-30,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1006,1002,-3,78,59,68,1.6,light_rain,62,38,50,10,21,NW,79,showers,06:08,19:14,13.1,57,6,
2026-08-31,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1002,1005,3,72,63,67,0.0,none,65,57,61,13,25,SE,58,partly_cloudy,06:09,19:12,13.05,53,5,
2026-09-01,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1006,1007,2,77,60,68,0.0,none,72,45,58,4,16,N,36,partly_cloudy,06:10,19:10,13.0,45,6,
2026-09-02,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1009,1011,4,78,56,67,0.0,none,79,49,64,5,12,E,81,mostly_cloudy,06:11,19:09,12.97,63,6,
2026-09-03,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1013,1016,5,69,55,62,0.0,none,69,48,58,6,14,SW,87,overcast,06:12,19:07,12.92,62,6,
2026-09-04,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1017,1021,5,69,58,63,0.0,none,82,44,63,14,22,NE,20,clear,06:13,19:06,12.88,55,5,
2026-09-05,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1021,1021,0,72,58,65,0.0,none,80,39,59,12,21,SW,91,overcast,06:14,19:04,12.83,38,5,
2026-09-06,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1022,1015,-6,68,59,63,8.5,heavy_rain,65,49,57,5,10,S,90,heavy_rain_front,06:16,19:03,12.78,30,6,front_moving_through_watch_for_pressure_swing
2026-09-07,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1016,1010,-5,74,57,65,4.7,moderate_rain,77,39,58,7,24,S,81,showers,06:17,19:01,12.73,33,6,
2026-09-08,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1010,1013,3,76,62,69,0.0,none,80,61,70,6,18,NW,46,partly_cloudy,06:18,19:00,12.7,33,6,
2026-09-09,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1013,1017,4,77,59,68,0.0,none,68,49,58,7,18,NE,17,clear,06:19,18:58,12.65,66,5,
2026-09-10,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1016,1021,4,71,60,65,0.0,none,71,48,59,6,18,S,29,clear,06:20,18:57,12.62,41,5,
2026-09-11,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1021,1015,-6,76,56,66,2.9,moderate_rain,88,46,67,5,10,SW,81,showers,06:21,18:55,12.57,64,5,
2026-09-12,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1016,1007,-8,74,54,64,1.5,light_rain,77,55,66,13,19,E,84,showers,06:22,18:53,12.52,61,5,large_pressure_drop_migraine_risk_flag
2026-09-13,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1007,1008,1,70,52,61,0.0,none,82,41,61,14,25,S,73,mostly_cloudy,06:23,18:52,12.48,43,6,
2026-09-14,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1008,1010,2,75,53,64,0.0,none,83,41,62,13,27,N,16,clear,06:24,18:50,12.43,44,5,
2026-09-15,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1011,1005,-5,70,59,64,3.6,moderate_rain,85,49,67,10,17,S,97,showers,06:25,18:49,12.4,28,6,
2026-09-16,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1005,1012,7,66,54,60,0.0,none,77,60,68,13,19,N,33,partly_cloudy,06:26,18:47,12.35,61,5,recovery_high_pressure_ridge
2026-09-17,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1011,1004,-8,71,60,65,6.2,heavy_rain,72,62,67,14,25,NE,78,heavy_rain_front,06:27,18:46,12.32,33,5,front_moving_through_watch_for_pressure_swing
2026-09-18,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1006,1002,-2,67,58,62,0.3,light_rain,63,56,59,7,19,NE,91,showers,06:28,18:44,12.27,29,4,
2026-09-19,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1001,1003,1,73,55,64,0.0,none,64,58,61,9,24,W,68,mostly_cloudy,06:30,18:43,12.22,67,4,
2026-09-20,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1005,1007,4,74,51,62,0.0,none,66,38,52,14,32,NE,71,mostly_cloudy,06:31,18:41,12.17,65,5,
2026-09-21,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1006,1007,0,69,58,63,0.0,none,71,62,66,8,26,S,66,mostly_cloudy,06:32,18:39,12.12,47,5,
2026-09-22,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1008,1008,-9,71,58,63,4.2,moderate_rain,84,59,71,14,30,W,77,showers,06:33,18:38,12.08,65,4,large_pressure_drop_migraine_risk_flag
2026-09-23,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1015,1015,7,71,54,66,0.0,none,75,41,58,6,17,E,81,mostly_cloudy,06:34,18:36,12.03,62,3,recovery_high_pressure_ridge
2026-09-24,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1016,1017,2,69,58,68,0.0,none,65,50,57,10,24,N,17,clear,06:35,18:35,12.0,39,3,
2026-09-25,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1017,1016,-1,73,53,67,0.0,none,68,42,55,8,16,W,74,mostly_cloudy,06:36,18:33,11.95,40,4,
2026-09-26,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1019,1019,3,69,54,64,0.0,none,71,53,62,14,26,SE,29,clear,06:37,18:32,11.92,25,4,
2026-09-27,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1021,1020,1,71,51,65,0.0,none,85,52,68,6,12,NW,87,overcast,06:38,18:30,11.87,44,5,
2026-09-28,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1013,1014,-6,72,56,62,1.1,light_rain,76,51,63,8,22,N,83,showers,06:39,18:29,11.83,59,3,
2026-09-29,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1016,1017,3,68,54,66,0.0,none,83,57,70,7,14,W,40,partly_cloudy,06:40,18:27,11.78,22,4,
2026-09-30,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1008,1007,-10,71,54,60,3.5,moderate_rain,76,48,62,13,30,NW,96,showers,06:41,18:26,11.75,25,4,large_pressure_drop_migraine_risk_flag
2026-10-01,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1013,1013,6,68,55,64,0.0,none,82,41,61,14,22,N,34,partly_cloudy,06:42,18:24,11.7,41,3,
2026-10-02,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1017,1018,5,71,53,66,0.0,none,70,57,63,14,24,SE,27,clear,06:44,18:22,11.63,30,3,
2026-10-03,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1020,1020,2,62,54,68,0.0,none,85,47,66,11,23,E,29,clear,06:45,18:21,11.6,22,3,
2026-10-04,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1014,1015,-5,64,48,64,0.0,none,70,57,63,13,21,W,42,partly_cloudy,06:46,18:19,11.55,55,3,
2026-10-05,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1016,1017,2,64,50,65,0.0,none,88,56,72,14,21,SE,20,clear,06:47,18:18,11.52,64,2,
2026-10-06,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1018,1019,2,68,51,67,0.0,none,76,44,60,11,23,W,32,partly_cloudy,06:48,18:16,11.47,49,2,
2026-10-07,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1014,1013,-6,69,54,64,0.4,light_rain,63,46,54,14,22,SE,77,showers,06:49,18:15,11.43,40,3,
2026-10-08,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1015,1016,3,62,52,66,0.0,none,88,56,72,10,23,N,31,partly_cloudy,06:50,18:13,11.38,41,3,
2026-10-09,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1017,1018,2,65,47,67,0.0,none,81,58,69,6,12,SW,28,clear,06:51,18:12,11.35,31,3,
2026-10-10,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1021,1020,2,64,47,66,0.0,none,79,38,58,7,24,NE,52,partly_cloudy,06:52,18:10,11.3,51,3,
2026-10-11,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1022,1021,1,64,47,65,0.0,none,86,40,63,14,28,W,83,mostly_cloudy,06:53,18:08,11.25,66,3,
2026-10-12,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1006,1006,-15,65,50,58,6.8,heavy_rain,80,42,61,6,17,W,98,heavy_rain_front,06:54,18:07,11.22,34,3,front_moving_through_watch_for_pressure_swing
2026-10-13,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1015,1014,8,60,46,63,0.0,none,68,58,63,12,30,SE,21,clear,06:55,18:05,11.17,36,2,recovery_high_pressure_ridge
2026-10-14,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1016,1017,3,63,45,65,0.0,none,83,40,61,9,26,SW,79,mostly_cloudy,06:56,18:04,11.13,52,2,
2026-10-15,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1015,1015,-2,59,48,64,0.0,none,68,46,57,6,16,E,33,partly_cloudy,06:58,18:02,11.07,44,3,
2026-10-16,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1017,1018,3,63,49,65,0.0,none,74,43,58,7,17,W,81,mostly_cloudy,06:59,18:01,11.03,62,1,
2026-10-17,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1019,1019,1,61,50,66,0.0,none,81,38,59,11,21,SE,77,mostly_cloudy,07:00,17:59,10.98,30,2,
2026-10-18,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1020,1020,1,60,50,65,0.0,none,83,56,69,10,24,NE,80,mostly_cloudy,07:01,17:58,10.95,63,3,
2026-10-19,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1016,1017,-3,64,45,64,0.0,none,81,46,63,6,18,S,48,partly_cloudy,07:02,17:56,10.9,56,2,
2026-10-20,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1018,1018,1,63,46,66,0.0,none,66,43,54,12,24,NW,27,clear,07:03,17:55,10.87,24,3,
2026-10-21,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1020,1019,1,63,49,66,0.0,none,79,42,60,9,14,NE,39,partly_cloudy,07:04,17:53,10.82,28,1,
