id,capture_id,status,amount_value,currency_code,note_to_payer,create_time
REF00042,CAP000042,COMPLETED,10.00,CAD,Partial refund,2026-04-12T00:00:00Z
REF00043,CAP000043,COMPLETED,10.00,CAD,Partial refund,2026-04-13T00:00:00Z
REF00044,CAP000044,COMPLETED,10.00,CAD,Partial refund,2026-04-14T00:00:00Z
REF00045,CAP000045,COMPLETED,10.00,CAD,Partial refund,2026-04-15T00:00:00Z
REF00046,CAP000046,COMPLETED,10.00,CAD,Partial refund,2026-04-16T00:00:00Z
REF00047,CAP000047,COMPLETED,10.00,CAD,Partial refund,2026-04-17T00:00:00Z
REF00048,CAP000048,COMPLETED,10.00,CAD,Partial refund,2026-04-18T00:00:00Z
REF00049,CAP000049,COMPLETED,10.00,CAD,Partial refund,2026-04-19T00:00:00Z
REF00050,CAP000050,COMPLETED,10.00,CAD,Partial refund,2026-04-20T00:00:00Z
REF00051,CAP000051,COMPLETED,10.00,CAD,Partial refund,2026-04-21T00:00:00Z
REF00052,CAP000052,COMPLETED,10.00,CAD,Partial refund,2026-04-22T00:00:00Z
REF00053,CAP000053,COMPLETED,10.00,CAD,Partial refund,2026-04-23T00:00:00Z
REF00054,CAP000054,COMPLETED,10.00,CAD,Partial refund,2026-04-24T00:00:00Z
REF00055,CAP000055,COMPLETED,10.00,CAD,Partial refund,2026-04-25T00:00:00Z
REF00056,CAP000056,COMPLETED,10.00,CAD,Partial refund,2026-04-26T00:00:00Z
REF00057,CAP000057,COMPLETED,10.00,CAD,Partial refund,2026-04-27T00:00:00Z
REF00058,CAP000058,COMPLETED,10.00,CAD,Partial refund,2026-04-28T00:00:00Z
REF00059,CAP000059,COMPLETED,10.00,CAD,Partial refund,2026-04-29T00:00:00Z
REF00060,CAP000060,COMPLETED,10.00,CAD,Partial refund,2026-04-30T00:00:00Z
REF00061,CAP000061,COMPLETED,10.00,CAD,Partial refund,2026-05-01T00:00:00Z
REF00062,CAP000062,COMPLETED,10.00,CAD,Partial refund,2026-05-02T00:00:00Z
REF00063,CAP000063,COMPLETED,10.00,CAD,Partial refund,2026-05-03T00:00:00Z
REF00064,CAP000064,COMPLETED,10.00,CAD,Partial refund,2026-05-04T00:00:00Z
REF00065,CAP000065,COMPLETED,10.00,CAD,Partial refund,2026-05-05T00:00:00Z
REF00066,CAP000066,COMPLETED,10.00,CAD,Partial refund,2026-05-06T00:00:00Z
REF00067,CAP000067,COMPLETED,10.00,CAD,Partial refund,2026-05-07T00:00:00Z
REF00068,CAP000068,COMPLETED,10.00,CAD,Partial refund,2026-05-08T00:00:00Z
REF00069,CAP000069,COMPLETED,10.00,CAD,Partial refund,2026-05-09T00:00:00Z
REF00070,CAP000070,COMPLETED,10.00,CAD,Partial refund,2026-05-10T00:00:00Z
REF00071,CAP000071,COMPLETED,10.00,CAD,Partial refund,2026-05-11T00:00:00Z
REF00072,CAP000072,COMPLETED,10.00,CAD,Partial refund,2026-05-12T00:00:00Z
REF00073,CAP000073,COMPLETED,10.00,CAD,Partial refund,2026-05-13T00:00:00Z
REF00074,CAP000074,COMPLETED,10.00,CAD,Partial refund,2026-05-14T00:00:00Z
REF00075,CAP000075,COMPLETED,10.00,CAD,Partial refund,2026-05-15T00:00:00Z
REF00076,CAP000076,COMPLETED,10.00,CAD,Partial refund,2026-05-16T00:00:00Z
REF00077,CAP000077,COMPLETED,10.00,CAD,Partial refund,2026-05-17T00:00:00Z
REF00078,CAP000078,COMPLETED,10.00,CAD,Partial refund,2026-05-18T00:00:00Z
REF00079,CAP000079,COMPLETED,10.00,CAD,Partial refund,2026-05-19T00:00:00Z
REF00080,CAP000080,COMPLETED,10.00,CAD,Partial refund,2026-05-20T00:00:00Z
REF00081,CAP000081,COMPLETED,10.00,CAD,Partial refund,2026-05-21T00:00:00Z
REF00082,CAP000082,COMPLETED,10.00,CAD,Partial refund,2026-05-22T00:00:00Z
REF00083,CAP000083,COMPLETED,10.00,CAD,Partial refund,2026-05-23T00:00:00Z
REF00084,CAP000084,COMPLETED,10.00,CAD,Partial refund,2026-05-24T00:00:00Z
REF00085,CAP000085,COMPLETED,10.00,CAD,Partial refund,2026-05-25T00:00:00Z
REF00086,CAP000086,COMPLETED,10.00,CAD,Partial refund,2026-05-26T00:00:00Z
REF00087,CAP000087,COMPLETED,10.00,CAD,Partial refund,2026-05-27T00:00:00Z
REF00088,CAP000088,COMPLETED,10.00,CAD,Partial refund,2026-05-28T00:00:00Z
REF00089,CAP000089,COMPLETED,10.00,CAD,Partial refund,2026-05-29T00:00:00Z
REF00090,CAP000090,COMPLETED,10.00,CAD,Partial refund,2026-05-30T00:00:00Z
REF00091,CAP000091,COMPLETED,10.00,CAD,Partial refund,2026-05-31T00:00:00Z
REF00092,CAP000092,COMPLETED,10.00,CAD,Partial refund,2026-06-01T00:00:00Z
REF00093,CAP000093,COMPLETED,10.00,CAD,Partial refund,2026-06-02T00:00:00Z
REF00094,CAP000094,COMPLETED,10.00,CAD,Partial refund,2026-06-03T00:00:00Z
REF00095,CAP000095,COMPLETED,10.00,CAD,Partial refund,2026-06-04T00:00:00Z
REF00096,CAP000096,COMPLETED,10.00,CAD,Partial refund,2026-06-05T00:00:00Z
REF00097,CAP000097,COMPLETED,10.00,CAD,Partial refund,2026-06-06T00:00:00Z
REF00098,CAP000098,COMPLETED,10.00,CAD,Partial refund,2026-06-07T00:00:00Z
REF00099,CAP000099,COMPLETED,10.00,CAD,Partial refund,2026-06-08T00:00:00Z
REF00100,CAP000100,COMPLETED,10.00,CAD,Partial refund,2026-06-09T00:00:00Z
REF00101,CAP000101,COMPLETED,10.00,CAD,Partial refund,2026-06-10T00:00:00Z
REF00102,CAP000102,COMPLETED,10.00,CAD,Partial refund,2026-06-11T00:00:00Z
REF00103,CAP000103,COMPLETED,10.00,CAD,Partial refund,2026-06-12T00:00:00Z
REF00104,CAP000104,COMPLETED,10.00,CAD,Partial refund,2026-06-13T00:00:00Z
