order_id,date,vendor,item,quantity,unit,unit_price_jpy,total_jpy,status
MO-0064,2024-07-03,Osaka_Ceramic_Supply,Custer_feldspar_25kg,2,bag,6617,13234,received
MO-0065,2024-07-12,Kansai_Clay_Kobo,Custer_feldspar_25kg,2,bag,7130,14260,received
MO-0066,2024-08-01,Shigaraki_wood_yard,Custer_feldspar_25kg,2,bag,6569,13138,in_transit
MO-0067,2024-08-13,Kansai_Clay_Kobo,wooden_ribs_set,4,each,2459,9836,received
MO-0068,2024-08-13,farm_gate_purchase,Kyoto_porcelain_15kg,3,bag,5232,15696,in_transit
MO-0069,2024-08-22,Shigaraki_wood_yard,thermocouple_probe,4,each,15395,61580,cancelled
MO-0070,2024-08-25,Miyazaki_Materials,Shigaraki_fine_clay_20kg,2,bag,4309,8618,received
MO-0071,2024-08-27,farm_gate_purchase,hydrometer_replacement,5,each,6100,30500,received
MO-0072,2024-09-05,Kyoto_Tokei_Ceramics,Whiting_25kg,5,bag,2154,10770,in_transit
MO-0073,2024-09-07,Shigaraki_Tojo_Kaikan,oak_kama_taki_cord,6,cord,26175,157050,backordered
MO-0074,2024-09-29,Miyazaki_Materials,Silica_325_25kg,2,bag,3181,6362,received
MO-0075,2024-10-05,Osaka_Ceramic_Supply,pyrometric_cones_10_box,4,each,3925,15700,received
MO-0076,2024-10-20,Shigaraki_Tojo_Kaikan,thermocouple_probe,1,each,15769,15769,received
MO-0077,2024-10-29,Shigaraki_Tojo_Kaikan,pyrometric_cones_10_box,2,each,3623,7246,backordered
MO-0078,2024-10-29,Kansai_Clay_Kobo,Cobalt_carbonate_1kg,5,bag,9800,49000,in_transit
MO-0079,2024-11-02,Shigaraki_wood_yard,Silica_325_25kg,2,bag,3440,6880,cancelled
MO-0080,2024-11-05,Kyoto_Tokei_Ceramics,Kyoto_porcelain_15kg,5,bag,5261,26305,received
MO-0081,2024-11-12,Fukui_mill_offcut,thermocouple_probe,4,each,15481,61924,received
MO-0082,2024-11-26,Kansai_Clay_Kobo,thermocouple_probe,4,each,15492,61968,backordered
MO-0083,2024-11-29,Shigaraki_wood_yard,trimming_tools_set,5,each,4459,22295,backordered
MO-0084,2024-11-29,farm_gate_purchase,pine_slab_offcut_cord,2,cord,14229,28458,received
MO-0085,2024-12-16,farm_gate_purchase,Kyoto_porcelain_15kg,4,bag,5012,20048,received
MO-0086,2024-12-24,Miyazaki_Materials,trimming_tools_set,6,each,4472,26832,received
MO-0087,2025-01-20,Shigaraki_wood_yard,Red_iron_oxide_5kg,4,bag,3406,13624,received
MO-0088,2025-02-03,Shigaraki_Tojo_Kaikan,pine_slab_offcut_cord,6,cord,14381,86286,received
MO-0089,2025-02-04,Fukui_mill_offcut,Shigaraki_fine_clay_20kg,3,bag,3884,11652,in_transit
MO-0090,2025-02-19,Osaka_Ceramic_Supply,Red_iron_oxide_5kg,6,bag,3969,23814,received
MO-0091,2025-02-27,Kyoto_Tokei_Ceramics,Shigaraki_coarse_clay_20kg,6,bag,3633,21798,in_transit
MO-0092,2025-03-08,Shigaraki_wood_yard,Shigaraki_coarse_clay_20kg,1,bag,4159,4159,received
MO-0093,2025-03-09,Fukui_mill_offcut,Shigaraki_fine_clay_20kg,2,bag,3795,7590,received
MO-0094,2025-03-10,Fukui_mill_offcut,oak_kama_taki_cord,3,cord,25721,77163,cancelled
MO-0095,2025-03-12,Kansai_Clay_Kobo,wooden_ribs_set,5,each,2647,13235,received
MO-0096,2025-03-14,Shigaraki_wood_yard,Shigaraki_fine_clay_20kg,4,bag,4261,17044,cancelled
MO-0097,2025-04-13,Kyoto_Tokei_Ceramics,Shigaraki_coarse_clay_20kg,4,bag,3524,14096,received
MO-0098,2025-06-01,Shigaraki_Tojo_Kaikan,Custer_feldspar_25kg,4,bag,7171,28684,received
MO-0099,2025-06-06,Shigaraki_Tojo_Kaikan,oak_kama_taki_cord,6,cord,26362,158172,received
MO-0100,2025-06-18,farm_gate_purchase,Custer_feldspar_25kg,1,bag,6624,6624,received
MO-0101,2025-06-20,farm_gate_purchase,kiln_shelves_pair,5,each,13030,65150,backordered
MO-0102,2025-07-02,Kansai_Clay_Kobo,pyrometric_cones_10_box,1,each,4040,4040,in_transit
MO-0103,2025-07-11,Miyazaki_Materials,Kyoto_porcelain_15kg,2,bag,5330,10660,backordered
MO-0104,2025-07-14,Shigaraki_wood_yard,kiln_shelves_pair,6,each,12966,77796,received
MO-0105,2025-07-18,Shigaraki_Tojo_Kaikan,Shigaraki_fine_clay_20kg,2,bag,4433,8866,backordered
MO-0106,2025-07-25,Shigaraki_wood_yard,kiln_posts_set,4,each,3032,12128,cancelled
MO-0107,2025-08-12,Kansai_Clay_Kobo,Rutile_5kg,4,bag,4102,16408,received
MO-0108,2025-08-13,Kyoto_Tokei_Ceramics,kiln_posts_set,5,each,3761,18805,received
MO-0109,2025-08-15,farm_gate_purchase,kiln_posts_set,4,each,3027,12108,received
MO-0110,2025-09-15,Osaka_Ceramic_Supply,Shigaraki_coarse_clay_20kg,2,bag,3458,6916,received
MO-0111,2025-09-15,Miyazaki_Materials,Kyoto_porcelain_15kg,3,bag,5565,16695,cancelled
MO-0112,2025-09-26,Osaka_Ceramic_Supply,pyrometric_cones_10_box,2,each,3948,7896,cancelled
MO-0113,2025-10-13,Kyoto_Tokei_Ceramics,trimming_tools_set,5,each,4551,22755,cancelled
MO-0114,2025-11-02,Shigaraki_Tojo_Kaikan,Whiting_25kg,1,bag,2436,2436,received
MO-0115,2025-11-28,Fukui_mill_offcut,kiln_posts_set,5,each,3369,16845,in_transit
MO-0116,2025-12-21,Kyoto_Tokei_Ceramics,Cobalt_carbonate_1kg,3,bag,10168,30504,backordered
MO-0117,2026-01-15,Miyazaki_Materials,Kyoto_porcelain_15kg,4,bag,4811,19244,received
MO-0118,2026-01-18,farm_gate_purchase,kiln_shelves_pair,5,each,12883,64415,received
MO-0119,2026-01-31,Kyoto_Tokei_Ceramics,Red_iron_oxide_5kg,1,bag,3737,3737,in_transit
MO-0120,2026-02-12,Miyazaki_Materials,kiln_posts_set,4,each,3120,12480,in_transit
MO-0121,2026-02-19,Fukui_mill_offcut,kiln_posts_set,6,each,3104,18624,received
MO-0122,2026-02-27,Fukui_mill_offcut,Shigaraki_coarse_clay_20kg,4,bag,3981,15924,received
MO-0123,2026-03-28,Shigaraki_Tojo_Kaikan,thermocouple_probe,6,each,15164,90984,received
MO-0124,2026-04-01,Kansai_Clay_Kobo,Cobalt_carbonate_1kg,6,bag,9972,59832,in_transit
MO-0125,2026-04-08,Fukui_mill_offcut,kiln_posts_set,6,each,3157,18942,received
MO-0126,2026-04-14,Kyoto_Tokei_Ceramics,hydrometer_replacement,1,each,6284,6284,in_transit
MO-0127,2026-05-04,Shigaraki_wood_yard,kiln_shelves_pair,1,each,12727,12727,cancelled
MO-0128,2026-05-10,Miyazaki_Materials,Whiting_25kg,3,bag,2005,6015,in_transit
MO-0129,2026-05-17,Kansai_Clay_Kobo,Shigaraki_coarse_clay_20kg,6,bag,3547,21282,received
MO-0130,2026-05-22,Shigaraki_Tojo_Kaikan,pine_slab_offcut_cord,6,cord,14236,85416,in_transit
MO-0131,2026-06-02,farm_gate_purchase,Cobalt_carbonate_1kg,1,bag,9657,9657,received
MO-0132,2026-06-06,Fukui_mill_offcut,kiln_shelves_pair,4,each,12808,51232,received
MO-0133,2026-06-22,Shigaraki_Tojo_Kaikan,Silica_325_25kg,6,bag,3014,18084,backordered
MO-0134,2026-06-29,Osaka_Ceramic_Supply,oak_kama_taki_cord,1,cord,25867,25867,received
MO-0135,2026-07-07,farm_gate_purchase,Shigaraki_coarse_clay_20kg,6,bag,3516,21096,received
MO-0136,2026-07-18,farm_gate_purchase,Silica_325_25kg,1,bag,3466,3466,received
MO-0137,2026-08-04,Kyoto_Tokei_Ceramics,kiln_posts_set,6,each,3752,22512,in_transit
MO-0138,2026-08-19,Shigaraki_Tojo_Kaikan,Kyoto_porcelain_15kg,2,bag,4821,9642,cancelled
MO-0139,2026-08-28,Kansai_Clay_Kobo,kiln_shelves_pair,6,each,12947,77682,cancelled
MO-0140,2026-09-14,Miyazaki_Materials,hydrometer_replacement,4,each,6522,26088,cancelled
