firing_id,date,kiln_type,cone_target,cone_reached,reduction_hold_hours,atmosphere_notes,pieces_loaded,pieces_sound,pieces_lost,wood_source,notes
KL-0067,2024-08-28,electric_bisque,8,8,0.0,bisque_oxidation,49,48,1,,"damper adjustment worked, will note ratio"
KL-0068,2024-09-06,gas_reduction,10,10,3.5,body_reduction_only,50,46,4,,"damper adjustment worked, will note ratio"
KL-0069,2024-09-22,electric_bisque,8,8,0.0,bisque_oxidation,16,15,1,,"clean firing, keep this schedule"
KL-0070,2024-10-21,gas_reduction,10,9,1.2,body_reduction_only,47,45,2,,ash deposit uneven on the flame side
KL-0071,2024-10-22,electric_bisque,8,9,0.0,bisque_oxidation,17,17,0,,"slow climb after cone eight, added propane"
KL-0072,2024-11-09,gas_reduction,10,11,2.0,light_reduction,31,31,0,,"wood was drier than expected, hot early"
KL-0073,2024-11-21,anagama,12,12,42.3,medium_reduction,7,6,1,chestnut_stack_B,kiln stalled around cone nine for an hour
KL-0074,2024-11-22,gas_reduction,10,10,2.4,cone_10_reduction,58,58,0,,"damper adjustment worked, will note ratio"
KL-0075,2024-12-11,electric_bisque,8,8,0.0,bisque_oxidation,14,13,1,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0076,2024-12-14,gas_reduction,10,11,2.9,body_reduction_only,12,12,0,,ash deposit uneven on the flame side
KL-0077,2024-12-25,gas_reduction,10,10,1.1,light_reduction,47,47,0,,"hairline on one large jar, everything else sound"
KL-0078,2025-01-17,gas_reduction,10,9,1.9,light_reduction,57,55,2,,"clean climb, no pinholing on test tiles"
KL-0079,2025-01-21,electric_bisque,8,8,0.0,bisque_oxidation,28,26,2,,"slow climb after cone eight, added propane"
KL-0080,2025-01-24,electric_bisque,8,8,0.0,bisque_oxidation,19,18,1,,kiln stalled around cone nine for an hour
KL-0081,2025-01-25,gas_reduction,10,10,2.2,cone_10_reduction,18,17,1,,ash deposit uneven on the flame side
KL-0082,2025-02-07,gas_reduction,10,10,3.4,body_reduction_only,30,29,1,,"clean firing, keep this schedule"
KL-0083,2025-02-10,gas_reduction,10,11,0.9,cone_10_reduction,16,15,1,,"steady reduction, iron reds pulled well"
KL-0084,2025-02-12,gas_reduction,10,11,0.6,light_reduction,45,44,1,,"steady reduction, iron reds pulled well"
KL-0085,2025-03-03,gas_reduction,10,11,2.2,body_reduction_only,21,20,1,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0086,2025-03-07,gas_reduction,10,9,2.1,cone_10_reduction,36,33,3,,ash deposit uneven on the flame side
KL-0087,2025-03-25,gas_reduction,10,10,2.5,light_reduction,32,30,2,,"hairline on one large jar, everything else sound"
KL-0088,2025-03-27,electric_bisque,8,9,0.0,bisque_oxidation,44,41,3,,"hairline on one large jar, everything else sound"
KL-0089,2025-04-11,electric_bisque,8,8,0.0,bisque_oxidation,18,18,0,,"steady reduction, iron reds pulled well"
KL-0090,2025-04-12,electric_bisque,8,7,0.0,bisque_oxidation,49,49,0,,"clean climb, no pinholing on test tiles"
KL-0091,2025-04-28,electric_bisque,8,8,0.0,bisque_oxidation,10,10,0,,ash deposit uneven on the flame side
KL-0092,2025-05-07,gas_reduction,10,10,2.5,cone_10_reduction,24,22,2,,"clean climb, no pinholing on test tiles"
KL-0093,2025-05-10,anagama,12,12,55.6,medium_reduction,13,11,2,oak_kama_taki,"slow climb after cone eight, added propane"
KL-0094,2025-05-12,gas_reduction,10,11,3.3,body_reduction_only,33,33,0,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0095,2025-05-26,electric_bisque,8,8,0.0,bisque_oxidation,16,16,0,,ash deposit uneven on the flame side
KL-0096,2025-06-08,electric_bisque,8,8,0.0,bisque_oxidation,44,43,1,,kiln stalled around cone nine for an hour
KL-0097,2025-06-27,gas_reduction,10,11,2.4,cone_10_reduction,53,51,2,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0098,2025-07-11,electric_bisque,8,9,0.0,bisque_oxidation,37,34,3,,"slow climb after cone eight, added propane"
KL-0099,2025-07-27,gas_reduction,10,10,3.1,cone_10_reduction,31,31,0,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0100,2025-08-06,electric_bisque,8,8,0.0,bisque_oxidation,20,19,1,,"slow climb after cone eight, added propane"
KL-0101,2025-08-14,gas_reduction,10,10,0.8,body_reduction_only,19,18,1,,"steady reduction, iron reds pulled well"
KL-0102,2025-08-27,gas_reduction,10,10,0.8,light_reduction,23,22,1,,"clean firing, keep this schedule"
KL-0103,2025-09-05,gas_reduction,10,10,3.1,body_reduction_only,16,16,0,,"wood was drier than expected, hot early"
KL-0104,2025-09-25,electric_bisque,8,8,0.0,bisque_oxidation,31,29,2,,"clean firing, keep this schedule"
KL-0105,2025-10-07,electric_bisque,8,9,0.0,bisque_oxidation,45,44,1,,"damper adjustment worked, will note ratio"
KL-0106,2025-10-09,gas_reduction,10,11,2.5,light_reduction,14,13,1,,"cold spot near door, watch stacking next round"
KL-0107,2025-10-14,electric_bisque,8,8,0.0,bisque_oxidation,26,26,0,,"damper adjustment worked, will note ratio"
KL-0108,2025-10-29,electric_bisque,8,8,0.0,bisque_oxidation,53,52,1,,"cold spot near door, watch stacking next round"
KL-0109,2025-11-19,gas_reduction,10,9,3.2,body_reduction_only,54,51,3,,"front row over-fired slightly, back row good"
KL-0110,2025-12-03,gas_reduction,10,11,1.1,cone_10_reduction,47,46,1,,"cold spot near door, watch stacking next round"
KL-0111,2025-12-25,electric_bisque,8,7,0.0,bisque_oxidation,42,40,2,,"front row over-fired slightly, back row good"
KL-0112,2025-12-29,electric_bisque,8,7,0.0,bisque_oxidation,21,21,0,,"wood was drier than expected, hot early"
KL-0113,2026-01-18,gas_reduction,10,11,3.0,cone_10_reduction,11,11,0,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0114,2026-02-14,gas_reduction,10,11,2.1,body_reduction_only,43,43,0,,"damper adjustment worked, will note ratio"
KL-0115,2026-02-22,gas_reduction,10,10,2.8,cone_10_reduction,44,42,2,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0116,2026-03-08,electric_bisque,8,7,0.0,bisque_oxidation,46,43,3,,"clean firing, keep this schedule"
KL-0117,2026-04-21,gas_reduction,10,10,1.8,cone_10_reduction,25,25,0,,"wood was drier than expected, hot early"
KL-0118,2026-04-25,electric_bisque,8,8,0.0,bisque_oxidation,58,57,1,,"steady reduction, iron reds pulled well"
KL-0119,2026-04-26,electric_bisque,8,7,0.0,bisque_oxidation,30,30,0,,"clean firing, keep this schedule"
KL-0120,2026-04-28,electric_bisque,8,8,0.0,bisque_oxidation,51,49,2,,"clean climb, no pinholing on test tiles"
KL-0121,2026-05-04,anagama,12,12,48.0,heavy_reduction_with_flashing_shigaraki_style,34,30,4,oak_kama_taki_mika_stack,"reference firing for museum work, natural ash flow on the flame side sat exactly where I wanted it"
KL-0122,2026-05-05,anagama,12,12,35.3,clean_ash_deposit,6,6,0,oak_kama_taki,"front row over-fired slightly, back row good"
KL-0123,2026-05-06,gas_reduction,10,10,2.5,cone_10_reduction_museum_test_tiles,18,18,0,,"museum test tile round for the corrected mountain-ash blend, everything came through sound"
KL-0124,2026-05-17,electric_bisque,8,8,0.0,bisque_oxidation,28,27,1,,"damper adjustment worked, will note ratio"
KL-0125,2026-05-31,anagama,12,12,50.4,clean_ash_deposit,38,33,5,oak_kama_taki,"wood was drier than expected, hot early"
KL-0126,2026-06-04,gas_reduction,10,11,1.0,light_reduction,57,56,1,,"wood was drier than expected, hot early"
KL-0127,2026-06-17,gas_reduction,10,10,2.4,body_reduction_only,18,17,1,,"damper adjustment worked, will note ratio"
KL-0128,2026-06-22,gas_reduction,10,10,2.9,cone_10_reduction,47,44,3,,"slow climb after cone eight, added propane"
KL-0129,2026-07-09,gas_reduction,10,10,0.7,light_reduction,27,26,1,,ash deposit uneven on the flame side
KL-0130,2026-08-12,electric_bisque,8,8,0.0,bisque_oxidation,43,40,3,,"clean firing, keep this schedule"
KL-0131,2026-08-14,gas_reduction,10,10,1.8,cone_10_reduction,23,23,0,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0132,2026-08-20,electric_bisque,8,8,0.0,bisque_oxidation,49,45,4,,"front row over-fired slightly, back row good"
