vendor,item_category,item,unit,price_jpy,lead_time_days,last_updated
Shigaraki_Tojo_Kaikan,clay,Shigaraki_coarse_20kg,bag,3600,10,2026-07-03
Shigaraki_Tojo_Kaikan,clay,Shigaraki_fine_20kg,bag,3900,10,2026-07-30
Shigaraki_Tojo_Kaikan,clay,Iga_grog_20kg,bag,4200,14,2026-07-27
Kansai_Clay_Kobo,clay,Reduction_stoneware_20kg,bag,3800,10,2026-08-17
Kansai_Clay_Kobo,clay,Wood_fire_stoneware_20kg,bag,4000,10,2026-08-27
Kansai_Clay_Kobo,glaze,Bone_ash_5kg,bag,6800,14,2026-07-28
Kansai_Clay_Kobo,glaze,Bentonite_10kg,bag,2400,10,2026-07-10
Kansai_Clay_Kobo,glaze,Gerstley_borate_5kg,bag,5800,14,2026-08-20
Osaka_Ceramic_Supply,tool,Wooden_ribs_set,set,2800,3,2026-08-11
Osaka_Ceramic_Supply,tool,Metal_ribs_set,set,3400,3,2026-07-06
Osaka_Ceramic_Supply,tool,Wire_cutter,each,1200,3,2026-08-15
Osaka_Ceramic_Supply,tool,Trimming_tools_set,set,4200,3,2026-07-04
Osaka_Ceramic_Supply,tool,Loop_tools_set,set,3800,3,2026-08-02
Osaka_Ceramic_Supply,tool,Sponges_pack_of_10,pack,1800,3,2026-07-19
Osaka_Ceramic_Supply,tool,Ware_boards_pair,pair,2600,7,2026-08-13
Osaka_Ceramic_Supply,tool,Sieve_60_mesh,each,1900,3,2026-08-15
Osaka_Ceramic_Supply,tool,Sieve_80_mesh,each,2200,3,2026-08-14
Osaka_Ceramic_Supply,tool,Sieve_100_mesh,each,2400,3,2026-08-26
Osaka_Ceramic_Supply,tool,Ball_mill_jar_2L,each,8800,7,2026-07-11
Osaka_Ceramic_Supply,tool,Pyrometric_cones_10_box,box,3800,3,2026-08-03
Osaka_Ceramic_Supply,tool,Pyrometric_cones_08_box,box,3600,3,2026-08-01
Osaka_Ceramic_Supply,tool,Pyrometric_cones_12_box,box,4400,3,2026-08-29
Osaka_Ceramic_Supply,tool,Thermocouple_probe,each,15400,14,2026-07-12
Osaka_Ceramic_Supply,tool,Hydrometer,each,6200,7,2026-07-27
Osaka_Ceramic_Supply,tool,Calipers_wooden,each,2400,3,2026-07-25
Osaka_Ceramic_Supply,tool,Bat_pins_set,set,1400,3,2026-08-20
Osaka_Ceramic_Supply,tool,Kiln_shelves_pair,pair,12800,10,2026-07-08
Osaka_Ceramic_Supply,tool,Kiln_posts_set,set,3400,10,2026-07-27
Shigaraki_wood_yard,fuel,oak_kama_taki_cord,cord,26000,10,2026-08-27
Shigaraki_wood_yard,fuel,chestnut_stack_cord,cord,22000,10,2026-07-08
Shigaraki_wood_yard,fuel,mixed_hardwood_cord,cord,18000,10,2026-08-23
Fukui_mill_offcut,fuel,pine_slab_offcut_cord,cord,14000,7,2026-08-16
Fukui_mill_offcut,fuel,cedar_offcut_cord,cord,12000,7,2026-08-03
Miyazaki_Materials,glaze,Mountain_ash_washed_5kg,bag,4800,21,2026-08-29
Miyazaki_Materials,glaze,Chestnut_ash_raw_5kg,bag,3200,21,2026-07-25
Miyazaki_Materials,glaze,Oak_ash_raw_5kg,bag,3400,21,2026-07-06
Miyazaki_Materials,glaze,Pine_ash_raw_5kg,bag,2800,21,2026-08-22
Miyazaki_Materials,glaze,Rice_straw_ash_5kg,bag,3600,21,2026-08-04
Miyazaki_Materials,glaze,Mixed_hardwood_ash_raw_5kg,bag,3000,21,2026-07-21
Kyoto_Studio_Supply,packaging,Kraft_paper_roll,roll,1400,3,2026-07-02
Kyoto_Studio_Supply,packaging,Bubble_wrap_roll,roll,2400,3,2026-07-14
Kyoto_Studio_Supply,packaging,Corrugated_boxes_medium,each,380,3,2026-08-26
Kyoto_Studio_Supply,packaging,Corrugated_boxes_large,each,620,3,2026-08-16
Kyoto_Studio_Supply,packaging,Wood_wool_kg,kg,1800,3,2026-07-24
Kyoto_Studio_Supply,packaging,Paulownia_boxes_pair,pair,4200,10,2026-08-08
Kyoto_Studio_Supply,office,Fude_brush_medium,each,2400,3,2026-08-02
Kyoto_Studio_Supply,office,Rice_paper_pack,pack,1200,3,2026-08-23
Kyoto_Studio_Supply,office,Sumi_ink_stick,each,1800,3,2026-07-05
HCC_shared_supply,shared,Kiln_wash_kg,kg,800,3,2026-07-18
HCC_shared_supply,shared,Alumina_hydrate_kg,kg,1200,3,2026-07-30
HCC_shared_supply,shared,Refractory_cement_kg,kg,1600,7,2026-08-16
HCC_shared_supply,shared,Kiln_gasket_rope_meter,meter,900,7,2026-08-25
HCC_shared_supply,shared,Propane_20L_tank,tank,5800,3,2026-08-30
Osaka_Ceramic_Supply,tool,Trimming_tools_set_variant_4,set,4048,6,2026-08-10
Kyoto_Tokei_Ceramics,clay,Kyoto_porcelain_15kg_variant_4,bag,5385,10,2026-07-15
Osaka_Ceramic_Supply,tool,Sieve_80_mesh_variant_2,each,2043,6,2026-07-02
Kyoto_Tokei_Ceramics,oxide,Cobalt_carbonate_1kg_variant_2,bag,9851,12,2026-08-17
Osaka_Ceramic_Supply,tool,Pyrometric_cones_08_box_variant_3,box,3973,6,2026-07-10
Kyoto_Studio_Supply,packaging,Kraft_paper_roll_variant_4,roll,1619,1,2026-07-24
Kyoto_Tokei_Ceramics,oxide,Manganese_dioxide_1kg_variant_5,bag,4134,17,2026-07-26
Kyoto_Studio_Supply,packaging,Kraft_paper_roll_variant_3,roll,1497,6,2026-07-06
Kansai_Clay_Kobo,clay,Wood_fire_stoneware_20kg_variant_5,bag,3959,10,2026-08-26
Osaka_Ceramic_Supply,tool,Sponges_pack_of_10_variant_4,pack,2065,1,2026-08-19
Osaka_Ceramic_Supply,tool,Trimming_tools_set_variant_5,set,4428,3,2026-08-21
Osaka_Ceramic_Supply,tool,Kiln_posts_set_variant_5,set,3792,10,2026-07-28
Kyoto_Tokei_Ceramics,glaze,Wollastonite_25kg_variant_5,bag,3776,14,2026-08-04
Shigaraki_Tojo_Kaikan,clay,Shigaraki_fine_20kg_variant_5,bag,4002,8,2026-08-18
Kyoto_Tokei_Ceramics,clay,Shigaraki_coarse_20kg_variant_3,bag,4006,7,2026-07-06
