subscriber_id,tag_kyoto_kansai,tag_tokyo_travel_in,tag_paris_european,tag_north_america,tag_warm_but_quiet,tag_repeat_buyer,tag_open_studio_last_spring,last_engagement_date
MC-0148,0,0,1,0,0,1,0,2026-08-28
MC-0149,0,0,1,0,0,1,0,2026-08-31
MC-0150,0,0,1,0,0,0,1,2026-09-11
MC-0151,0,0,1,0,0,0,0,2026-04-19
MC-0152,0,0,0,0,1,1,1,2021-05-08
MC-0153,0,0,0,0,1,0,0,2025-09-02
MC-0154,0,0,1,0,0,1,0,2026-08-31
MC-0155,0,0,1,0,0,0,0,2026-08-28
MC-0156,0,0,1,0,0,1,0,2026-08-27
MC-0157,0,0,0,0,1,0,0,2023-11-27
MC-0158,0,0,1,0,0,0,0,2025-12-07
MC-0159,0,0,1,0,0,1,0,2026-09-11
MC-0160,0,0,1,0,0,0,0,2026-09-04
MC-0161,0,0,0,0,1,1,0,2024-12-12
MC-0162,0,0,0,1,0,1,1,2026-08-16
MC-0163,0,0,0,0,1,0,0,2023-04-25
MC-0164,0,0,1,0,0,1,0,2026-09-06
MC-0165,0,0,1,0,0,1,1,2022-04-30
MC-0166,0,0,1,0,0,0,0,2026-09-03
MC-0167,0,0,0,1,0,0,1,2026-09-07
MC-0168,0,0,1,0,0,0,0,2025-12-29
MC-0169,0,0,0,1,0,0,0,2026-09-06
MC-0170,0,0,1,0,0,0,1,2026-03-10
MC-0171,0,0,1,0,0,0,0,2024-05-01
MC-0172,0,0,0,0,1,0,0,2024-12-20
MC-0173,0,0,0,1,0,0,0,2026-08-23
MC-0174,0,0,0,0,1,1,0,2025-01-19
MC-0175,0,0,0,1,0,0,0,2024-11-14
MC-0176,0,0,1,0,0,0,0,2026-09-04
MC-0177,0,0,0,0,1,0,1,2023-07-06
MC-0178,0,0,1,0,0,1,0,2025-03-23
MC-0179,0,0,1,0,0,1,0,2026-08-29
MC-0180,0,0,0,0,1,0,1,2023-08-31
MC-0181,0,0,1,0,0,0,0,2026-09-13
MC-0182,0,0,0,1,0,1,1,2025-08-29
MC-0183,0,0,1,0,0,0,0,2025-12-12
MC-0184,0,0,1,0,0,1,1,2026-09-07
MC-0185,0,0,1,0,0,1,0,2026-09-01
MC-0186,0,0,0,0,1,1,0,2020-10-23
MC-0187,0,0,0,0,1,0,1,2023-12-06
MC-0188,0,0,0,0,1,0,0,2022-12-27
MC-0189,0,0,1,0,0,0,0,2026-08-16
MC-0190,0,0,0,0,1,1,0,2025-08-14
MC-0191,0,0,0,0,1,1,0,2022-12-04
MC-0192,0,0,1,0,0,0,0,2026-09-05
MC-0193,0,0,0,0,1,0,0,2021-10-14
MC-0194,0,0,1,0,0,0,0,2026-08-21
MC-0195,0,0,0,0,1,1,0,2022-04-11
MC-0196,0,0,1,0,0,1,0,2026-08-21
MC-0197,0,0,1,0,0,0,0,2026-03-18
MC-0198,0,0,1,0,0,0,0,2026-08-19
MC-0199,0,0,0,1,0,0,0,2026-08-28
MC-0200,0,0,1,0,0,1,0,2026-09-12
MC-0201,0,0,0,0,1,0,0,2021-07-31
MC-0202,0,0,1,0,0,1,0,2026-01-01
MC-0203,0,0,1,0,0,0,0,2025-11-27
MC-0204,0,0,0,0,1,1,0,2024-01-13
MC-0205,0,0,1,0,0,1,0,2026-08-28
MC-0206,0,0,1,0,0,1,0,2024-03-13
MC-0207,0,0,1,0,0,1,0,2023-08-26
MC-0208,0,0,1,0,0,1,1,2026-09-12
MC-0209,0,0,0,0,1,0,0,2022-08-26
MC-0210,0,0,1,0,0,0,1,2025-10-07
MC-0211,0,0,1,0,0,1,1,2026-08-23
MC-0212,0,0,0,0,1,1,1,2024-08-25
MC-0213,0,0,0,0,1,1,1,2023-08-19
MC-0214,0,0,1,0,0,0,1,2026-08-31
MC-0215,0,0,1,0,0,0,0,2026-07-11
MC-0216,0,0,1,0,0,1,1,2026-09-05
MC-0217,0,0,1,0,0,1,0,2026-06-21
MC-0218,0,0,1,0,0,1,0,2026-08-19
MC-0219,0,0,0,0,1,1,1,2021-04-11
MC-0220,0,0,1,0,0,1,1,2026-03-02
MC-0221,0,0,0,0,1,1,0,2021-06-30
MC-0222,0,0,1,0,0,0,0,2026-08-24
MC-0223,0,0,0,0,1,0,1,2022-09-19
MC-0224,0,0,0,0,1,0,1,2024-01-30
MC-0225,0,0,1,0,0,0,0,2023-08-24
MC-0226,0,0,1,0,0,0,1,2026-08-26
MC-0227,0,0,0,0,1,0,0,2024-02-19
MC-0228,0,0,1,0,0,1,0,2026-09-10
MC-0229,0,0,0,0,1,0,1,2024-02-20
MC-0230,0,0,1,0,0,1,0,2026-01-23
MC-0231,0,0,0,0,1,0,1,2021-11-11
MC-0232,0,0,0,0,1,0,0,2024-04-13
MC-0233,0,0,0,0,1,1,0,2020-11-03
MC-0234,0,0,1,0,0,0,0,2025-09-18
MC-0235,0,0,0,0,1,0,0,2022-02-04
MC-0236,0,0,1,0,0,1,0,2025-03-25
MC-0237,0,0,1,0,0,1,0,2026-09-12
MC-0238,0,0,0,0,1,0,0,2022-05-25
MC-0239,0,0,1,0,0,0,0,2026-08-28
MC-0240,0,0,1,0,0,1,0,2025-11-09
