symbol,interval,open_time,open,high,low,close,volume,close_time
SOLUSDT,1h,1796106600000,54899.29,55997.27,53801.30,55173.79,381.60,1796110199999
SOLUSDT,1h,1796110200000,10808.03,11024.19,10591.87,10862.07,229.21,1796113799999
SOLUSDT,1h,1796113800000,56659.59,57792.78,55526.40,56942.89,92.49,1796117399999
SOLUSDT,1h,1796117400000,11372.44,11599.89,11144.99,11429.30,268.33,1796120999999
ADAUSDT,1h,1796063400000,20343.94,20750.82,19937.06,20445.66,325.34,1796066999999
ADAUSDT,1h,1796067000000,51955.41,52994.51,50916.30,52215.18,466.40,1796070599999
ADAUSDT,1h,1796070600000,70557.40,71968.55,69146.25,70910.19,89.06,1796074199999
ADAUSDT,1h,1796074200000,16726.21,17060.74,16391.69,16809.84,210.60,1796077799999
ADAUSDT,1h,1796077800000,29958.38,30557.55,29359.21,30108.17,498.81,1796081399999
ADAUSDT,1h,1796081400000,29397.97,29985.93,28810.01,29544.96,300.82,1796084999999
ADAUSDT,1h,1796085000000,29222.11,29806.55,28637.66,29368.22,466.65,1796088599999
ADAUSDT,1h,1796088600000,9135.92,9318.64,8953.20,9181.60,280.05,1796092199999
ADAUSDT,1h,1796092200000,39381.30,40168.92,38593.67,39578.20,247.02,1796095799999
ADAUSDT,1h,1796095800000,69742.47,71137.32,68347.62,70091.19,27.58,1796099399999
ADAUSDT,1h,1796099400000,30667.52,31280.87,30054.17,30820.86,255.06,1796102999999
ADAUSDT,1h,1796103000000,49836.05,50832.77,48839.33,50085.23,471.58,1796106599999
ADAUSDT,1h,1796106600000,35918.23,36636.60,35199.87,36097.82,57.15,1796110199999
ADAUSDT,1h,1796110200000,23992.21,24472.05,23512.37,24112.17,248.64,1796113799999
ADAUSDT,1h,1796113800000,81322.74,82949.19,79696.28,81729.35,326.91,1796117399999
ADAUSDT,1h,1796117400000,73044.74,74505.64,71583.85,73409.97,92.50,1796120999999
DOTUSDT,1h,1796063400000,32936.57,33595.30,32277.84,33101.25,241.16,1796066999999
DOTUSDT,1h,1796067000000,19010.61,19390.82,18630.40,19105.67,57.64,1796070599999
DOTUSDT,1h,1796070600000,55783.03,56898.69,54667.37,56061.94,47.96,1796074199999
DOTUSDT,1h,1796074200000,74404.55,75892.65,72916.46,74776.58,405.06,1796077799999
DOTUSDT,1h,1796077800000,45907.27,46825.42,44989.13,46136.81,224.87,1796081399999
DOTUSDT,1h,1796081400000,69220.48,70604.89,67836.07,69566.58,347.08,1796084999999
DOTUSDT,1h,1796085000000,66189.75,67513.54,64865.95,66520.69,196.82,1796088599999
DOTUSDT,1h,1796088600000,62351.99,63599.03,61104.95,62663.75,152.85,1796092199999
DOTUSDT,1h,1796092200000,35957.71,36676.86,35238.55,36137.50,307.96,1796095799999
DOTUSDT,1h,1796095800000,86679.16,88412.74,84945.57,87112.55,211.34,1796099399999
DOTUSDT,1h,1796099400000,26650.10,27183.10,26117.10,26783.35,224.82,1796102999999
DOTUSDT,1h,1796103000000,35712.86,36427.12,34998.60,35891.43,363.14,1796106599999
DOTUSDT,1h,1796106600000,22406.26,22854.38,21958.13,22518.29,273.62,1796110199999
DOTUSDT,1h,1796110200000,50668.84,51682.22,49655.47,50922.19,148.35,1796113799999
DOTUSDT,1h,1796113800000,39150.98,39934.00,38367.96,39346.74,155.16,1796117399999
DOTUSDT,1h,1796117400000,2466.85,2516.19,2417.51,2479.18,273.26,1796120999999
BNBUSDT,1h,1796063400000,16611.60,16943.84,16279.37,16694.66,436.51,1796066999999
BNBUSDT,1h,1796067000000,23706.06,24180.18,23231.94,23824.59,267.85,1796070599999
BNBUSDT,1h,1796070600000,34827.42,35523.97,34130.87,35001.56,65.65,1796074199999
BNBUSDT,1h,1796074200000,485.72,495.43,476.00,488.15,376.15,1796077799999
BNBUSDT,1h,1796077800000,74755.72,76250.84,73260.61,75129.50,458.83,1796081399999
BNBUSDT,1h,1796081400000,61896.72,63134.66,60658.79,62206.21,214.02,1796084999999
BNBUSDT,1h,1796085000000,18371.71,18739.15,18004.28,18463.57,191.90,1796088599999
BNBUSDT,1h,1796088600000,69746.86,71141.79,68351.92,70095.59,72.28,1796092199999
BNBUSDT,1h,1796092200000,63345.96,64612.88,62079.04,63662.69,408.06,1796095799999
BNBUSDT,1h,1796095800000,5022.07,5122.51,4921.63,5047.18,292.20,1796099399999
BNBUSDT,1h,1796099400000,2148.34,2191.31,2105.38,2159.08,85.58,1796102999999
BNBUSDT,1h,1796103000000,53995.06,55074.96,52915.16,54265.04,452.17,1796106599999
BNBUSDT,1h,1796106600000,46962.80,47902.06,46023.54,47197.61,32.92,1796110199999
BNBUSDT,1h,1796110200000,50568.51,51579.88,49557.14,50821.35,22.36,1796113799999
BNBUSDT,1h,1796113800000,13262.64,13527.89,12997.39,13328.95,225.15,1796117399999
BNBUSDT,1h,1796117400000,64858.24,66155.40,63561.07,65182.53,269.60,1796120999999
XRPUSDT,1h,1796063400000,81667.24,83300.59,80033.90,82075.58,100.85,1796066999999
XRPUSDT,1h,1796067000000,83602.92,85274.98,81930.86,84020.93,173.35,1796070599999
XRPUSDT,1h,1796070600000,48585.14,49556.84,47613.44,48828.07,351.28,1796074199999
XRPUSDT,1h,1796074200000,19595.13,19987.03,19203.22,19693.10,284.60,1796077799999
XRPUSDT,1h,1796077800000,87405.62,89153.73,85657.51,87842.65,436.65,1796081399999
XRPUSDT,1h,1796081400000,56777.02,57912.56,55641.48,57060.91,215.06,1796084999999
XRPUSDT,1h,1796085000000,87962.75,89722.00,86203.49,88402.56,256.01,1796088599999
XRPUSDT,1h,1796088600000,28655.11,29228.21,28082.00,28798.38,207.03,1796092199999
XRPUSDT,1h,1796092200000,57779.26,58934.85,56623.68,58068.16,283.20,1796095799999
XRPUSDT,1h,1796095800000,39051.26,39832.29,38270.24,39246.52,255.25,1796099399999
XRPUSDT,1h,1796099400000,80469.27,82078.66,78859.89,80871.62,438.41,1796102999999
XRPUSDT,1h,1796103000000,76327.30,77853.85,74800.76,76708.94,363.20,1796106599999
XRPUSDT,1h,1796106600000,88789.23,90565.02,87013.45,89233.18,231.69,1796110199999
XRPUSDT,1h,1796110200000,6823.18,6959.65,6686.72,6857.30,92.92,1796113799999
XRPUSDT,1h,1796113800000,58139.65,59302.44,56976.85,58430.35,235.36,1796117399999
XRPUSDT,1h,1796117400000,78903.85,80481.93,77325.77,79298.37,406.50,1796120999999
MATICUSDT,1h,1796063400000,25406.16,25914.28,24898.03,25533.19,46.45,1796066999999
MATICUSDT,1h,1796067000000,22768.30,23223.66,22312.93,22882.14,66.00,1796070599999
MATICUSDT,1h,1796070600000,6476.97,6606.51,6347.43,6509.36,201.32,1796074199999
MATICUSDT,1h,1796074200000,85500.63,87210.64,83790.62,85928.13,305.66,1796077799999
MATICUSDT,1h,1796077800000,3097.71,3159.66,3035.75,3113.20,96.56,1796081399999
MATICUSDT,1h,1796081400000,46071.49,46992.92,45150.06,46301.85,250.39,1796084999999
MATICUSDT,1h,1796085000000,41068.34,41889.71,40246.97,41273.68,478.27,1796088599999
MATICUSDT,1h,1796088600000,80660.13,82273.34,79046.93,81063.43,425.58,1796092199999
MATICUSDT,1h,1796092200000,41974.10,42813.58,41134.62,42183.97,230.04,1796095799999
MATICUSDT,1h,1796095800000,60231.03,61435.65,59026.41,60532.19,439.06,1796099399999
MATICUSDT,1h,1796099400000,55721.66,56836.10,54607.23,56000.27,293.10,1796102999999
MATICUSDT,1h,1796103000000,29541.46,30132.29,28950.63,29689.17,311.72,1796106599999
MATICUSDT,1h,1796106600000,21088.26,21510.02,20666.49,21193.70,21.64,1796110199999
MATICUSDT,1h,1796110200000,576.70,588.23,565.16,579.58,23.54,1796113799999
MATICUSDT,1h,1796113800000,46875.08,47812.59,45937.58,47109.46,300.69,1796117399999
MATICUSDT,1h,1796117400000,80047.36,81648.31,78446.41,80447.60,451.16,1796120999999
