symbol,price,priceChange,priceChangePercent,highPrice,lowPrice,volume
ARB58USDT,30598.03,-59.0,0.07,57784.74,34832.11,30000.66
OP59USDT,6518.51,441.81,3.29,996.23,45184.87,587923.33
BTC60USDT,35179.8,110.98,-5.72,53303.95,27639.44,580438.37
ETH61USDT,58101.06,444.41,7.82,49899.51,9140.64,169629.12
SOL62USDT,41672.66,480.05,6.43,42185.63,38346.67,766345.74
ADA63USDT,21846.94,487.71,-5.81,49521.92,46403.58,629548.12
DOT64USDT,3455.42,-106.22,-4.0,56043.03,26464.98,381599.35
MATIC65USDT,54464.67,24.07,6.64,701.72,46574.9,422197.81
AVAX66USDT,45071.17,-75.59,-1.2,23614.77,34205.17,454980.86
LINK67USDT,1495.21,-363.14,-5.03,24175.24,35767.36,563591.58
UNI68USDT,54643.78,-0.83,-2.78,38170.7,3510.24,317389.09
ATOM69USDT,18589.24,-145.43,7.73,53295.72,20837.28,135946.58
XRP70USDT,35152.24,391.03,3.51,21630.69,50226.09,851924.51
LTC71USDT,10451.93,50.15,-3.04,12290.71,17184.08,214919.42
BCH72USDT,16124.56,-499.9,-3.99,23985.85,51294.0,772045.97
ALGO73USDT,24755.57,-238.45,7.26,34158.56,35624.77,104533.32
XLM74USDT,53750.67,-34.94,3.11,55674.29,55768.55,476733.49
FIL75USDT,14064.9,-298.77,-3.16,18652.74,3322.19,474098.58
NEAR76USDT,37986.11,207.93,-2.21,45052.88,1132.84,218498.18
APT77USDT,38982.82,-159.77,6.0,10379.66,55933.78,662170.27
ARB78USDT,48468.57,239.09,5.21,18943.1,19424.82,150367.15
OP79USDT,54960.43,-379.02,4.38,20067.39,14269.49,483642.07
BTC80USDT,24708.65,42.54,1.76,7867.23,50214.84,268527.4
ETH81USDT,14572.82,443.3,-3.53,22601.75,48804.26,298871.45
SOL82USDT,4503.93,-159.32,3.1,3427.75,31846.51,733577.75
ADA83USDT,41975.78,390.76,-1.71,33650.7,14867.49,612452.24
DOT84USDT,46750.84,110.5,7.47,45545.49,45314.3,736296.95
MATIC85USDT,29233.75,-305.07,2.84,7775.29,38637.71,362598.11
AVAX86USDT,53670.43,-300.35,0.57,27531.46,37715.8,644247.29
LINK87USDT,7371.23,-153.76,5.42,1998.84,50849.44,412083.88
UNI88USDT,39744.39,-496.81,-3.66,13472.79,13315.83,374875.94
ATOM89USDT,14028.08,-29.9,-4.6,7408.08,1728.97,267457.36
XRP90USDT,9094.31,126.34,-7.22,24244.88,43129.64,8301.1
LTC91USDT,19432.44,-114.37,7.77,23634.77,19930.88,773851.55
BCH92USDT,49361.66,-425.13,0.77,33105.18,29636.1,154613.65
ALGO93USDT,36471.01,-333.1,-1.83,44276.69,39538.48,862718.94
XLM94USDT,14126.27,141.51,-5.62,13130.69,22017.84,258725.12
FIL95USDT,12669.15,327.98,-5.04,22987.99,58564.78,634756.65
NEAR96USDT,12897.66,238.45,-6.31,23935.52,35277.48,746902.86
APT97USDT,19314.19,446.12,0.1,16984.86,41563.71,193176.08
ARB98USDT,42171.23,381.08,-2.3,60938.88,2474.45,887800.05
OP99USDT,3531.53,370.04,1.73,11676.85,4418.14,96070.86
BTC100USDT,12589.05,362.98,-3.84,19656.09,35069.17,765260.69
ETH101USDT,51242.4,-7.21,-2.25,32745.17,4851.74,469089.81
SOL102USDT,26241.21,176.7,-6.86,10894.34,9041.15,396752.36
ADA103USDT,42907.32,226.27,-7.28,13317.0,20341.42,371086.54
DOT104USDT,49935.89,-247.51,-1.32,33351.6,22793.56,203618.55
