id,short_id,org_slug,project_slug,title,culprit,level,status,count,user_count,first_seen,last_seen
481,URISN-481,ciph,urisn-ingestion,Minor warning 481,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
482,URISN-482,ciph,urisn-ingestion,Minor warning 482,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
483,URISN-483,ciph,urisn-ingestion,Minor warning 483,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
484,URISN-484,ciph,urisn-ingestion,Minor warning 484,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
485,URISN-485,ciph,urisn-ingestion,Minor warning 485,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
486,URISN-486,ciph,urisn-ingestion,Minor warning 486,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
487,URISN-487,ciph,urisn-ingestion,Minor warning 487,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
488,URISN-488,ciph,urisn-ingestion,Minor warning 488,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
489,URISN-489,ciph,urisn-ingestion,Minor warning 489,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
490,URISN-490,ciph,urisn-ingestion,Minor warning 490,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
491,URISN-491,ciph,urisn-ingestion,Minor warning 491,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
492,URISN-492,ciph,urisn-ingestion,Minor warning 492,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
493,URISN-493,ciph,urisn-ingestion,Minor warning 493,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
494,URISN-494,ciph,urisn-ingestion,Minor warning 494,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
495,URISN-495,ciph,urisn-ingestion,Minor warning 495,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
496,URISN-496,ciph,urisn-ingestion,Minor warning 496,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
497,URISN-497,ciph,urisn-ingestion,Minor warning 497,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
498,URISN-498,ciph,urisn-ingestion,Minor warning 498,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
499,URISN-499,ciph,urisn-ingestion,Minor warning 499,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
500,URISN-500,ciph,urisn-ingestion,Minor warning 500,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
501,URISN-501,ciph,urisn-ingestion,Minor warning 501,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
502,URISN-502,ciph,urisn-ingestion,Minor warning 502,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
503,URISN-503,ciph,urisn-ingestion,Minor warning 503,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
504,URISN-504,ciph,urisn-ingestion,Minor warning 504,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
505,URISN-505,ciph,urisn-ingestion,Minor warning 505,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
506,URISN-506,ciph,urisn-ingestion,Minor warning 506,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
507,URISN-507,ciph,urisn-ingestion,Minor warning 507,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
508,URISN-508,ciph,urisn-ingestion,Minor warning 508,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
509,URISN-509,ciph,urisn-ingestion,Minor warning 509,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
510,URISN-510,ciph,urisn-ingestion,Minor warning 510,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
511,URISN-511,ciph,urisn-ingestion,Minor warning 511,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
512,URISN-512,ciph,urisn-ingestion,Minor warning 512,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
513,URISN-513,ciph,urisn-ingestion,Minor warning 513,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
514,URISN-514,ciph,urisn-ingestion,Minor warning 514,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
515,URISN-515,ciph,urisn-ingestion,Minor warning 515,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
516,URISN-516,ciph,urisn-ingestion,Minor warning 516,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
517,URISN-517,ciph,urisn-ingestion,Minor warning 517,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
518,URISN-518,ciph,urisn-ingestion,Minor warning 518,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
519,URISN-519,ciph,urisn-ingestion,Minor warning 519,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
520,URISN-520,ciph,urisn-ingestion,Minor warning 520,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
521,URISN-521,ciph,urisn-ingestion,Minor warning 521,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
522,URISN-522,ciph,urisn-ingestion,Minor warning 522,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
523,URISN-523,ciph,urisn-ingestion,Minor warning 523,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
524,URISN-524,ciph,urisn-ingestion,Minor warning 524,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
525,URISN-525,ciph,urisn-ingestion,Minor warning 525,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
526,URISN-526,ciph,urisn-ingestion,Minor warning 526,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
527,URISN-527,ciph,urisn-ingestion,Minor warning 527,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
528,URISN-528,ciph,urisn-ingestion,Minor warning 528,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
529,URISN-529,ciph,urisn-ingestion,Minor warning 529,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
530,URISN-530,ciph,urisn-ingestion,Minor warning 530,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
531,URISN-531,ciph,urisn-ingestion,Minor warning 531,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
532,URISN-532,ciph,urisn-ingestion,Minor warning 532,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
533,URISN-533,ciph,urisn-ingestion,Minor warning 533,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
534,URISN-534,ciph,urisn-ingestion,Minor warning 534,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
535,URISN-535,ciph,urisn-ingestion,Minor warning 535,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
536,URISN-536,ciph,urisn-ingestion,Minor warning 536,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
537,URISN-537,ciph,urisn-ingestion,Minor warning 537,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
538,URISN-538,ciph,urisn-ingestion,Minor warning 538,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
539,URISN-539,ciph,urisn-ingestion,Minor warning 539,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
540,URISN-540,ciph,urisn-ingestion,Minor warning 540,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
541,URISN-541,ciph,urisn-ingestion,Minor warning 541,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
